Sample REF	1F43A50D-9930-4F21-8EF8-1A09A5DABDF4
NF2-R-C	-0.147916826
Notch1-R-V	-0.499951318
P-Cadherin-R-C	0.281652845
p21-R-V	0.514396192
p27-R-V	-0.186529039
p27_pT157-R-C	-0.113367374
p27_pT198-R-V	-0.189976511
p38_MAPK-R-V	-0.031249214
p38_pT180_Y182-R-V	0.379153664
p53-R-E	-0.127790696
p62-LCK-ligand-M-C	0.120224097
p70S6K-R-V	0.014748663
p70S6K_pT389-R-V	-0.32931966
p90RSK-R-C	0.078336131
p90RSK_pT359_S363-R-C	0.403822408
PAI-1-M-E	1.371711618
PARP_cleaved-M-E	-0.139250549
Paxillin-R-C	-0.0853353260000001
PCNA-M-C	0.254325561
PDCD4-R-C	-0.163267082
PDK1-R-V	-0.166762017
PDK1_pS241-R-V	-0.32428565
PEA15-R-V	-0.105309108
PEA15_pS116-R-V	-0.18436191
PI3K-p110-alpha-R-C	0.127131036
PI3K-p85-R-V	0.09199219
PKC-alpha-M-V	-0.577001415
PKC-alpha_pS657-R-C	-0.516468955
PKC-delta_pS664-R-V	-0.131830524
PKC-pan_BetaII_pS660-R-V	0.285986783
PR-R-V	0.049118488
PRAS40_pT246-R-V	0.091187944
PRDX1-R-V	0.361922616
PREX1-R-E	-0.236782961
PTEN-R-V	0.121001861
Rab11-R-E	0.113345662
Rab25-R-V	0.187067323
Rad50-M-V	-0.676125901
Rad51-R-V	-0.133488277
Raptor-R-V	0.118278621
Rb-M-E	-0.049525078
Rb_pS807_S811-R-V	0.301333897
RBM15-R-V	-0.414279884
Rictor-R-C	0.025549517
Rictor_pT1135-R-V	0.225602882
S6-R-E	-0.515459675
S6_pS235_S236-R-V	-0.122095204
S6_pS240_S244-R-V	-0.369655206
SCD-M-V	-0.049018572
SETD2-R-E	0.14040696
SF2-M-V	-0.304535292
Shc_pY317-R-E	-0.161549646
Smac-M-E	0
Smad1-R-V	-0.433462729
Smad3-R-V	0.109549012
Smad4-M-V	0.010121933
Snail-M-E	-0.0928444730000001
Src-M-V	-0.158339208
Src_pY416-R-C	-0.176715995
Src_pY527-R-V	0.228098474
STAT3_pY705-R-V	0.398266408
STAT5-alpha-R-V	-0.455205726
Stathmin-R-V	0.321832283
Syk-M-V	-0.267659796
TAZ-R-V	0.252890819
TIGAR-R-V	0.309416046
Transglutaminase-M-V	0.35834929
TFRC-R-V	1.4625272
TSC1-R-C	0.064711809
TTF1-R-V	-0.0134049339999999
Tuberin-R-E	-0.71786682
Tuberin_pT1462-R-V	0.0281677459999999
VEGFR2-R-V	-0.270208843
EPPK1-M-E	0.461410437
XBP1-G-C	0.587863494
XRCC1-R-E	0.0873224200000001
YAP-R-E	-0.0828705459999999
YAP_pS127-R-E	-0.385080077
YB-1-R-V	-0.00840121400000005
YB-1_pS102-R-V	0.145802995
JAB1-M-C	-0.185621221
PARP1-R-V	0.0901781019999999
A-Raf-R-V	0.255719457
ARID1A-R-C	-0.294751056
B-Raf_pS445-R-V	-0.102817584
Bcl2A1-R-V	0.235050966
BRD4-R-V	-0.119760634
c-Abl-R-V	0.057322595
Caspase-3-R-C	-0.00893553100000005
CD26-R-V	0.200621201
Chk1_pS296-R-V	-0.015841175
COG3-R-V	-0.1176332
DUSP4-R-V	0.0841888689999999
ERCC5-R-C	0.009455043
IGF1R_pY1135_Y1136-R-V	0.080863133
IRF-1-R-C	-0.287112516
Jak2-R-V	-0.601944208
p16_INK4a-R-V	-0.256867193
SHP-2_pY542-R-C	0.00492427500000009
CDK1_pY15-R-C	0.16162096
