Sample REF	BB6C8BE2-DCC9-43E3-A15F-19252A08BBA9
STAT5-alpha-R-V	-1.815401715
Stathmin-R-V	0.183034863
Syk-M-V	0.031050145
TAZ-R-V	0.088797716
TIGAR-R-V	0.200991219
Transglutaminase-M-V	0.218554767
TFRC-R-V	0.12045974
TSC1-R-C	0.223570868
TTF1-R-V	-0.0457504799999999
Tuberin-R-E	-0.790948919
Tuberin_pT1462-R-V	-0.347317683
VEGFR2-R-V	0.665742601
EPPK1-M-E	-0.71046366
XBP1-G-C	-0.340664006
XRCC1-R-E	-0.0941859030000001
YAP-R-E	0.330264715
YAP_pS127-R-E	0.277230632
YB-1-R-V	-0.649203055
YB-1_pS102-R-V	-0.0373619869999999
JAB1-M-C	0.297279373
PARP1-R-V	-0.182453812
A-Raf-R-V	0.00389338300000008
ARID1A-R-C	-1.075903211
B-Raf_pS445-R-V	0.199210393
Bcl2A1-R-V	0.550785176
BRD4-R-V	-1.118314076
c-Abl-R-V	0.193390839
Caspase-3-R-C	-0.169751734
CD26-R-V	0.0468649369999998
Chk1_pS296-R-V	0.11748374
COG3-R-V	-0.66801832
DUSP4-R-V	-0.00771883000000018
ERCC5-R-C	0.455712274
IGF1R_pY1135_Y1136-R-V	0.124444612
IRF-1-R-C	-0.115559372
Jak2-R-V	-0.927735428
p16_INK4a-R-V	0.288698971
SHP-2_pY542-R-C	-0.0459547549999999
CDK1_pY15-R-C	0.637840602
