Sample REF	41413CCA-EDCB-4BA1-945E-81C34DBFF006
mTOR_pS2448-R-C	0.0356096139999997
MYH11-R-V	1.429609386
Myosin-IIa_pS1943-R-V	-0.258375102
N-Cadherin-R-V	-0.0630169500000003
N-Ras-M-V	-0.0928472910000003
NDRG1_pT346-R-V	0.161503743
NF-kB-p65_pS536-R-C	0.352352551
NF2-R-C	-0.30110194
Notch1-R-V	-0.0414466580000004
P-Cadherin-R-C	-0.222938809
p21-R-V	0.773356064
p27-R-V	-0.0839979670000004
p27_pT157-R-C	-0.131480812
p27_pT198-R-V	-0.100869399
p38_MAPK-R-V	0.0452017699999997
p38_pT180_Y182-R-V	0.435426843
p53-R-E	0.0513385879999997
p62-LCK-ligand-M-C	-0.0320160810000003
p70S6K-R-V	-0.239934699
p70S6K_pT389-R-V	-0.129139118
p90RSK-R-C	-0.153064779
p90RSK_pT359_S363-R-C	-0.146605746
PAI-1-M-E	1.253614546
PARP_cleaved-M-E	-0.101335656
Paxillin-R-C	0.202917033
PCNA-M-C	-0.397866872
PDCD4-R-C	1.058657067
PDK1-R-V	-0.141042071
PDK1_pS241-R-V	-0.0858525930000004
PEA15-R-V	0.212688697
PEA15_pS116-R-V	0.0670300059999996
PI3K-p110-alpha-R-C	0.148592042
PI3K-p85-R-V	0.442540824
PKC-alpha-M-V	0.672842598
PKC-alpha_pS657-R-C	1.077705494
PKC-delta_pS664-R-V	0.168106226
PKC-pan_BetaII_pS660-R-V	0.356937521
PR-R-V	0.00550197699999977
PRAS40_pT246-R-V	0.100672435
PRDX1-R-V	-0.228230028
PREX1-R-E	-0.00546090600000038
PTEN-R-V	-0.0829206120000004
Rab11-R-E	-0.186307554
Rab25-R-V	-0.477441959000001
Rad50-M-V	0.18645508
Rad51-R-V	0.349617983
Raptor-R-V	0.0656625949999996
Rb-M-E	0.0867471099999996
Rb_pS807_S811-R-V	0.702169579
RBM15-R-V	-0.86115815
Rictor-R-C	2.959218988
Rictor_pT1135-R-V	0.261674584
S6-R-E	-0.433020702
S6_pS235_S236-R-V	0.632611094
S6_pS240_S244-R-V	-0.12716061
SCD-M-V	-0.0559601510000003
SETD2-R-E	-0.209155025
SF2-M-V	0.205404326
Shc_pY317-R-E	-0.182213389
Smac-M-E	-0.336015373
Smad1-R-V	-0.134562305
Smad3-R-V	-0.0438066580000004
Smad4-M-V	-0.157489374000001
Snail-M-E	0
Src-M-V	0.0847854209999996
Src_pY416-R-C	0.713199745
Src_pY527-R-V	0.0452789739999997
STAT3_pY705-R-V	0.19885034
STAT5-alpha-R-V	-0.0171683430000004
Stathmin-R-V	0.0992254299999996
Syk-M-V	-0.303362634
TAZ-R-V	0.0709226899999996
TIGAR-R-V	-0.274435024
Transglutaminase-M-V	-0.237122355
TFRC-R-V	0.0136400489999997
TSC1-R-C	0.120964727
TTF1-R-V	-0.0610525280000003
Tuberin-R-E	-0.364782048
Tuberin_pT1462-R-V	0.101300747
VEGFR2-R-V	0.202733543
EPPK1-M-E	-0.329330004
XBP1-G-C	-0.0634723710000005
XRCC1-R-E	-0.399107924
YAP-R-E	0.237115462
YAP_pS127-R-E	0.631494306
YB-1-R-V	-0.109575837
YB-1_pS102-R-V	0.0457353729999996
JAB1-M-C	-0.0316094270000005
PARP1-R-V	-0.196790588
A-Raf-R-V	0.153902558
ARID1A-R-C	-0.12727685
B-Raf_pS445-R-V	-0.0684793420000004
Bcl2A1-R-V	-0.0248818260000003
BRD4-R-V	-0.208436795
c-Abl-R-V	-0.0607540540000003
Caspase-3-R-C	-0.218697566
CD26-R-V	-0.124846758
Chk1_pS296-R-V	0.0630898389999996
COG3-R-V	-0.319634832
DUSP4-R-V	-0.321672796000001
ERCC5-R-C	0.0908413649999996
IGF1R_pY1135_Y1136-R-V	0.0707448089999997
IRF-1-R-C	0.135671481
Jak2-R-V	-0.228421871
p16_INK4a-R-V	-0.726928911
SHP-2_pY542-R-C	0.219659487
CDK1_pY15-R-C	-0.122383914
