Sample REF	D9039497-FD01-4832-966C-FCE8F17A7971
FoxM1-R-V	-0.216934789
FOXO3a-R-C	0.272708033
FOXO3a_pS318_S321-R-C	-0.385020559
G6PD-M-V	0.00228700399999998
GAB2-R-V	-0.224772518
GAPDH-M-C	0.55108453
GATA3-M-V	0.0691493440000001
GSK3-alpha-beta-M-V	0.282101203
GSK3-alpha-beta_pS21_S9-R-V	-0.817888859
GSK3_pS9-R-V	-1.230707546
HER2-M-V	-0.908675806
HER2_pY1248-R-C	-0.556346338
HER3-R-V	-0.509764483
HER3_pY1289-R-C	0.320007658
Heregulin-R-V	0.355742515
HSP70-R-C	-0.183829688
IGFBP2-R-V	-0.79230287
INPP4B-R-V	-0.148268204
IRS1-R-V	-0.117254753
JNK_pT183_pY185-R-V	-0.18487545
JNK2-R-C	-0.286413799
Ku80-R-C	-0.207046061
Lck-R-V	0.373910649
LKB1-M-E	0.063257798
MAPK_pT202_Y204-R-V	-0.640959445
MEK1-R-V	0.487676444
MEK1_pS217_S221-R-V	-0.0154191289999999
MIG-6-M-V	0.251881015
Mre11-R-C	0.0592969550000002
MSH2-M-V	-0.119041231
MSH6-R-C	-0.227823053
mTOR-R-V	0.309604072
mTOR_pS2448-R-C	-0.365993106
MYH11-R-V	-1.640004372
Myosin-IIa_pS1943-R-V	0.327205753
N-Cadherin-R-V	0.102571319
N-Ras-M-V	0.2072456
NDRG1_pT346-R-V	0.72773749
NF-kB-p65_pS536-R-C	-0.756682724
NF2-R-C	0.151039823
Notch1-R-V	-0.661160101
P-Cadherin-R-C	0.289789622
p21-R-V	-0.384031757
p27-R-V	-0.239536294
p27_pT157-R-C	0.0498386810000001
p27_pT198-R-V	0.033408302
p38_MAPK-R-V	0.32476626
p38_pT180_Y182-R-V	-0.723631425
p53-R-E	0.0909936920000002
p62-LCK-ligand-M-C	-0.435669426
p70S6K-R-V	0.089650213
p70S6K_pT389-R-V	-0.222723239
p90RSK-R-C	0.081759537
p90RSK_pT359_S363-R-C	0.015697021
PAI-1-M-E	1.882284833
PARP_cleaved-M-E	-0.116579539
Paxillin-R-C	-0.507298416
PCNA-M-C	0.161546307
PDCD4-R-C	-2.171808769
PDK1-R-V	0.206662737
PDK1_pS241-R-V	0.328116638
PEA15-R-V	0.297710274
PEA15_pS116-R-V	-0.0351927009999999
PI3K-p110-alpha-R-C	0.018992878
PI3K-p85-R-V	0.217330927
PKC-alpha-M-V	-0.113506486
PKC-alpha_pS657-R-C	-0.582016006
PKC-delta_pS664-R-V	-0.0590166539999999
PKC-pan_BetaII_pS660-R-V	-0.534163477
PR-R-V	0.062976343
PRAS40_pT246-R-V	-0.299128214
PRDX1-R-V	0.00828615500000007
PREX1-R-E	0.427995355
PTEN-R-V	-0.349870424
Rab11-R-E	0.0922645360000001
Rab25-R-V	0.0157327289999999
Rad50-M-V	-0.109017073
Rad51-R-V	0.00981621800000004
Raptor-R-V	0.323536828
Rb-M-E	-0.101495295
Rb_pS807_S811-R-V	-0.894453632
RBM15-R-V	-0.477248429
Rictor-R-C	-0.302611418
Rictor_pT1135-R-V	0.060975257
S6-R-E	0.299451023
S6_pS235_S236-R-V	-0.291148551
S6_pS240_S244-R-V	-0.138491567
SCD-M-V	0.119411667
SETD2-R-E	-0.0130003499999998
SF2-M-V	-0.277270345
Shc_pY317-R-E	-0.0923653209999998
Smac-M-E	-0.189034324
Smad1-R-V	-0.00430609399999993
Smad3-R-V	0.121358002
Smad4-M-V	0.0440908509999999
Snail-M-E	-0.051029139
Src-M-V	0.128220472
Src_pY416-R-C	-0.828192631
Src_pY527-R-V	-1.677642317
STAT3_pY705-R-V	-0.0774981079999998
STAT5-alpha-R-V	-0.64033816
Stathmin-R-V	0.0585259670000001
Syk-M-V	0.0151275510000001
TAZ-R-V	0.00483045599999998
TIGAR-R-V	0.145889816
Transglutaminase-M-V	0.11137262
TFRC-R-V	0.624040051
TSC1-R-C	0.070615762
TTF1-R-V	0.0225694060000001
Tuberin-R-E	-0.088750492
Tuberin_pT1462-R-V	-0.302613582
VEGFR2-R-V	0.713757759
EPPK1-M-E	0.703619365
XBP1-G-C	-0.449079526
XRCC1-R-E	-0.348817555
YAP-R-E	0.300676224
YAP_pS127-R-E	-0.553283399
YB-1-R-V	-0.038773398
YB-1_pS102-R-V	-0.0610117469999999
JAB1-M-C	0.168867988
PARP1-R-V	-0.218909313
A-Raf-R-V	0.158064511
ARID1A-R-C	0.0121924870000001
B-Raf_pS445-R-V	-0.196705637
Bcl2A1-R-V	0.366463616
BRD4-R-V	-0.29114707
c-Abl-R-V	0.138496852
Caspase-3-R-C	0.16296372
CD26-R-V	-0.084085985
Chk1_pS296-R-V	0.105892498
COG3-R-V	-0.276775515
DUSP4-R-V	0.211189507
ERCC5-R-C	-0.196892281
IGF1R_pY1135_Y1136-R-V	0.158956413
IRF-1-R-C	-0.310803395
Jak2-R-V	-0.0273777109999999
p16_INK4a-R-V	0.652402757
SHP-2_pY542-R-C	-0.34139782
CDK1_pY15-R-C	-0.485978007
