Sample REF	CAC8649C-9172-4F4F-8083-62EFF39FB4D6
CD26-R-V	0.000667444999999961
Chk1_pS296-R-V	0.10511763
COG3-R-V	0.555586668
DUSP4-R-V	0.922195281
ERCC5-R-C	0.37690677
IGF1R_pY1135_Y1136-R-V	0.0646267310000001
IRF-1-R-C	-0.026014299
Jak2-R-V	-0.032512828
p16_INK4a-R-V	-0.243568088
SHP-2_pY542-R-C	-0.466664531
CDK1_pY15-R-C	0.223480883
