Sample REF	6EE028AB-9CE6-46AD-8B4E-488E38706EDF
YAP-R-E	-0.0646745660000001
YAP_pS127-R-E	0.0770766349999999
YB-1-R-V	-0.0733412130000001
YB-1_pS102-R-V	-0.0482755860000001
JAB1-M-C	-0.239417194
PARP1-R-V	0.204583024
A-Raf-R-V	0.0884809029999999
ARID1A-R-C	0.447503636
B-Raf_pS445-R-V	-0.107362053
Bcl2A1-R-V	0.0149010239999999
BRD4-R-V	0.441313836
c-Abl-R-V	-0.206723971
Caspase-3-R-C	-0.231388098
CD26-R-V	-0.0481561420000002
Chk1_pS296-R-V	-0.0328857960000001
COG3-R-V	-0.0400195880000001
DUSP4-R-V	-0.207938085
ERCC5-R-C	-0.170592165
IGF1R_pY1135_Y1136-R-V	-0.147875476
IRF-1-R-C	0.0930238579999999
Jak2-R-V	0.278896622
p16_INK4a-R-V	-0.796869089
SHP-2_pY542-R-C	0.389265945
CDK1_pY15-R-C	0.290850775
