Sample REF	C86A293C-53BA-4937-AC97-FF272952998A
B-Raf_pS445-R-V	-0.485686264
Bcl2A1-R-V	-0.105935462
BRD4-R-V	0.268216293
c-Abl-R-V	-0.076046543
Caspase-3-R-C	0.00896621999999991
CD26-R-V	-0.0819371300000001
Chk1_pS296-R-V	0.04385684
COG3-R-V	-0.112168767
DUSP4-R-V	-0.116124964
ERCC5-R-C	-0.0479286520000001
IGF1R_pY1135_Y1136-R-V	0.027599787
IRF-1-R-C	-0.196139323
Jak2-R-V	0.808749387
p16_INK4a-R-V	-0.135894231
SHP-2_pY542-R-C	-0.444650399
CDK1_pY15-R-C	-0.396670157
