Sample REF	1F3D85EE-2B7F-4EDF-B976-4471D4AE5C08
CD49b-M-V	0.185541438
CDK1-R-V	0.0286614259999998
Chk1-M-C	-0.363690312
Chk1_pS345-R-C	0.0798811879999999
Chk2-M-E	-0.155748963
Chk2_pT68-R-C	-0.00318451600000003
cIAP-R-V	-0.12827869
Claudin-7-R-V	-0.260699226
Collagen_VI-R-V	-0.223810923
Cyclin_B1-R-V	-0.0349280000000001
Cyclin_D1-R-V	0.613530741
Cyclin_E1-M-V	-0.349875778
Cyclin_E2-R-C	-0.0917317650000001
DJ-1-R-E	-0.18045016
Dvl3-R-V	0.245222083
E-Cadherin-R-V	0.391345901
eEF2-R-C	0.347977301
eEF2K-R-V	0.674036471
EGFR-R-V	0.287748517
EGFR_pY1068-R-C	0.0936112100000002
EGFR_pY1173-R-V	-0.0900045350000002
eIF4E-R-V	-0.166062385
eIF4G-R-C	0.150359885999999
ER-alpha-R-V	0.23187593
ER-alpha_pS118-R-V	0.0554052519999999
ERCC1-M-V	0.194343521
ERK2-R-E	0.10000487
ETS-1-R-V	0.34061856
FASN-R-V	-0.477305839
Fibronectin-R-V	-0.398204658
FoxM1-R-V	0.066139009
FOXO3a-R-C	-0.0272534760000003
FOXO3a_pS318_S321-R-C	0.0818251489999999
G6PD-M-V	0.0581788299999997
GAB2-R-V	0.487126677
GAPDH-M-C	0.0371200579999998
GATA3-M-V	0.24638266
GSK3-alpha-beta-M-V	-0.0548928040000002
GSK3-alpha-beta_pS21_S9-R-V	0.0554052519999999
GSK3_pS9-R-V	0.148194133
HER2-M-V	0.0602895729999999
HER2_pY1248-R-C	0.051455744
HER3-R-V	-0.0779757380000001
HER3_pY1289-R-C	-0.0792519150000001
Heregulin-R-V	-0.0194818890000001
HSP70-R-C	0.0798571189999999
IGFBP2-R-V	-0.239292028
INPP4B-R-V	-0.0800542310000001
IRS1-R-V	0.274069459
JNK_pT183_pY185-R-V	-0.20407776
JNK2-R-C	0.215062118
Ku80-R-C	0.118910331
Lck-R-V	0.905517257
LKB1-M-E	0.176243394
MAPK_pT202_Y204-R-V	-0.537089725
MEK1-R-V	-0.245439139
MEK1_pS217_S221-R-V	-0.0474463720000001
MIG-6-M-V	0.105114685
Mre11-R-C	-0.0197581620000001
MSH2-M-V	0.0554052519999999
MSH6-R-C	0.0729297979999999
mTOR-R-V	0.2399914
mTOR_pS2448-R-C	-0.0156454749999999
MYH11-R-V	-0.0897398080000001
Myosin-IIa_pS1943-R-V	-0.128622781
N-Cadherin-R-V	0.106705143
N-Ras-M-V	-0.0894052650000001
NDRG1_pT346-R-V	1.726485294
NF-kB-p65_pS536-R-C	1.050942376
NF2-R-C	0.149361072
Notch1-R-V	0.414106092
P-Cadherin-R-C	-0.0737548770000003
p21-R-V	-1.288646045
p27-R-V	0.0934524799999998
p27_pT157-R-C	-0.108871283
p27_pT198-R-V	0.118392519
p38_MAPK-R-V	0.246821478
p38_pT180_Y182-R-V	0.0554052519999999
p53-R-E	0.168109192
p62-LCK-ligand-M-C	-0.121343548
p70S6K-R-V	0.341034276
p70S6K_pT389-R-V	0.166487225
p90RSK-R-C	0.287416954
p90RSK_pT359_S363-R-C	0.394537501
PAI-1-M-E	0.542017292
PARP_cleaved-M-E	-0.473139039
Paxillin-R-C	0.0117369519999999
PCNA-M-C	-0.11538771
PDCD4-R-C	0.119843119
PDK1-R-V	0.0791938199999999
PDK1_pS241-R-V	0.118418548
PEA15-R-V	-0.0651210240000001
PEA15_pS116-R-V	0.285528921
PI3K-p110-alpha-R-C	0.302099573
PI3K-p85-R-V	0.0916646069999999
PKC-alpha-M-V	0.180568448
PKC-alpha_pS657-R-C	0.312487624
PKC-delta_pS664-R-V	0.191357735
PKC-pan_BetaII_pS660-R-V	0.42569683
PR-R-V	0
PRAS40_pT246-R-V	0.152806395
PRDX1-R-V	-0.0895910620000001
PREX1-R-E	0.544969677
PTEN-R-V	0.633841165
Rab11-R-E	0.0448187709999999
Rab25-R-V	-0.0642513200000001
Rad50-M-V	-0.216387193
Rad51-R-V	0.534363179
Raptor-R-V	0.237802964
Rb-M-E	-0.23602896
Rb_pS807_S811-R-V	-0.221327264
RBM15-R-V	0.252382526
Rictor-R-C	-0.07443745
Rictor_pT1135-R-V	-0.0531779690000001
S6-R-E	0.0100611579999999
S6_pS235_S236-R-V	-0.218270221
S6_pS240_S244-R-V	-0.35192523
SCD-M-V	-0.144736889
SETD2-R-E	-0.072227163
SF2-M-V	-0.514637636
Shc_pY317-R-E	-0.110481408
Smac-M-E	-0.460143712
Smad1-R-V	0.0335857159999999
Smad3-R-V	0.0189952959999999
Smad4-M-V	-0.10964201
Snail-M-E	-0.446133976
Src-M-V	0.352239821
Src_pY416-R-C	-0.0616929660000003
Src_pY527-R-V	-0.0964256480000001
STAT3_pY705-R-V	-0.298032669
STAT5-alpha-R-V	0.892737229
Stathmin-R-V	-0.156265222
Syk-M-V	0.853984723
TAZ-R-V	-0.108621829
TIGAR-R-V	-0.00229856500000014
Transglutaminase-M-V	0.0853204729999999
TFRC-R-V	0.88569901
TSC1-R-C	-0.0732022950000001
TTF1-R-V	0.24966037
Tuberin-R-E	0.258472901
Tuberin_pT1462-R-V	0.0338489439999998
VEGFR2-R-V	-0.702273089
EPPK1-M-E	-0.620853298
XBP1-G-C	-0.0216535500000004
XRCC1-R-E	-0.197967331
YAP-R-E	-0.389814602
YAP_pS127-R-E	-0.776954802
YB-1-R-V	-0.0126393680000001
YB-1_pS102-R-V	0.303853543
JAB1-M-C	-0.12352059
PARP1-R-V	-0.293016065
A-Raf-R-V	0.302716414
ARID1A-R-C	0.10243705
B-Raf_pS445-R-V	-0.355658685
Bcl2A1-R-V	0.0762557559999999
BRD4-R-V	0.117999781
c-Abl-R-V	-0.191082503
Caspase-3-R-C	-0.170540227
CD26-R-V	-0.0905760440000002
Chk1_pS296-R-V	-0.0115428150000001
COG3-R-V	0.185303523
DUSP4-R-V	-0.174199271
ERCC5-R-C	-0.290429293
IGF1R_pY1135_Y1136-R-V	-0.127932745
IRF-1-R-C	0.337302945
Jak2-R-V	1.149153697
p16_INK4a-R-V	-0.235372736
SHP-2_pY542-R-C	-0.211599803
CDK1_pY15-R-C	-0.24916723
