Sample REF	58DA0BF4-6F81-404C-B348-29BDA4104BAE
IRS1-R-V	-0.346040229
JNK_pT183_pY185-R-V	-0.0918575930000001
JNK2-R-C	-0.348463349
Ku80-R-C	0.18036739
Lck-R-V	-0.0164719460000001
LKB1-M-E	-0.159620275
MAPK_pT202_Y204-R-V	1.216026779
MEK1-R-V	-0.0409390680000001
MEK1_pS217_S221-R-V	0.20734629
MIG-6-M-V	-0.119454305
Mre11-R-C	-0.190869287
MSH2-M-V	-0.0572936420000003
MSH6-R-C	-0.218853769
mTOR-R-V	-0.12796105
mTOR_pS2448-R-C	0.180276137
MYH11-R-V	-1.934149719
Myosin-IIa_pS1943-R-V	-0.0211283630000001
N-Cadherin-R-V	-0.20247431
N-Ras-M-V	-0.117100016
NDRG1_pT346-R-V	1.255935323
NF-kB-p65_pS536-R-C	-0.213432418
NF2-R-C	-0.0128819890000001
Notch1-R-V	0.0872340129999998
P-Cadherin-R-C	-0.00272939800000027
p21-R-V	0.0208577299999998
p27-R-V	-0.227915335
p27_pT157-R-C	-0.0836498050000001
p27_pT198-R-V	0.0374153619999998
p38_MAPK-R-V	-0.0789266470000002
p38_pT180_Y182-R-V	0.255527861
p53-R-E	0.00141239800000026
p62-LCK-ligand-M-C	0.136342094
p70S6K-R-V	-0.12999466
p70S6K_pT389-R-V	0.088913638
p90RSK-R-C	0.110628377
p90RSK_pT359_S363-R-C	0.933030162
PAI-1-M-E	-1.391183111
PARP_cleaved-M-E	-0.0102612510000002
Paxillin-R-C	0.0406505779999998
PCNA-M-C	-0.0449270800000001
PDCD4-R-C	1.155386968
PDK1-R-V	-0.33559656
PDK1_pS241-R-V	-0.478802968
PEA15-R-V	-0.364686183
PEA15_pS116-R-V	-0.0416174720000001
PI3K-p110-alpha-R-C	0.262119623
PI3K-p85-R-V	-0.13475567
PKC-alpha-M-V	-0.406757162
PKC-alpha_pS657-R-C	-0.582972789
PKC-delta_pS664-R-V	0.0847771059999998
PKC-pan_BetaII_pS660-R-V	0.803958739
PR-R-V	-0.017110932
PRAS40_pT246-R-V	0.169719831
PRDX1-R-V	-0.47290993
PREX1-R-E	-0.179976531
PTEN-R-V	0.138272914
Rab11-R-E	0.0723351279999999
Rab25-R-V	0.809987206
Rad50-M-V	-0.308246627
Rad51-R-V	-0.253713762
Raptor-R-V	-0.251639191
Rb-M-E	-0.0993171850000002
Rb_pS807_S811-R-V	1.215782083
RBM15-R-V	0.463518615
Rictor-R-C	-0.244319596
Rictor_pT1135-R-V	0.116973712
S6-R-E	0.0589606779999998
S6_pS235_S236-R-V	1.279783686
S6_pS240_S244-R-V	1.364218439
SCD-M-V	-0.0552389630000001
SETD2-R-E	0.00500732100000001
SF2-M-V	0.055701241
Shc_pY317-R-E	0.615042742
Smac-M-E	-0.194353018
Smad1-R-V	0.114633645
Smad3-R-V	-0.0748417990000001
Smad4-M-V	-0.0474036870000003
Snail-M-E	0.00851660399999998
Src-M-V	-0.370792047
Src_pY416-R-C	0.784510713
Src_pY527-R-V	0.254690605
STAT3_pY705-R-V	-0.180861741
STAT5-alpha-R-V	0.186490148
Stathmin-R-V	-0.314738019
Syk-M-V	0.30203946
TAZ-R-V	-0.211366076
TIGAR-R-V	-0.0597972190000002
Transglutaminase-M-V	-0.42541539
TFRC-R-V	0.0232832989999998
TSC1-R-C	-0.0162303370000002
TTF1-R-V	0.0706116239999999
Tuberin-R-E	0.0949895909999998
Tuberin_pT1462-R-V	-0.0382731120000002
VEGFR2-R-V	0.0747844839999998
EPPK1-M-E	1.764590913
XBP1-G-C	-0.242205427
XRCC1-R-E	-0.16365396
YAP-R-E	-0.265701801
YAP_pS127-R-E	-0.389518549
YB-1-R-V	-0.172905251
YB-1_pS102-R-V	0.270558864
JAB1-M-C	-0.1317245
PARP1-R-V	0.0668319649999999
A-Raf-R-V	-0.219104438
ARID1A-R-C	0.302332512
B-Raf_pS445-R-V	0.184163655
Bcl2A1-R-V	-0.0789860150000001
BRD4-R-V	0.135409199
c-Abl-R-V	0.0372757599999999
Caspase-3-R-C	0.0938922239999999
CD26-R-V	-0.231824546
Chk1_pS296-R-V	-0.0240589290000001
COG3-R-V	0.224436517
DUSP4-R-V	-0.437922092
ERCC5-R-C	-0.0137582460000002
IGF1R_pY1135_Y1136-R-V	-0.106881631
IRF-1-R-C	0.543386531
Jak2-R-V	0.497671925
p16_INK4a-R-V	0.161505063
SHP-2_pY542-R-C	0.643510234
CDK1_pY15-R-C	0.338484894
