Sample REF	0095AB4C-70E1-460B-AFEB-74AAB65D1E95
Myosin-IIa_pS1943-R-V	-2.187970769
N-Cadherin-R-V	0.116372422
N-Ras-M-V	0.068637512
NDRG1_pT346-R-V	-1.545453195
NF-kB-p65_pS536-R-C	0.291867077
NF2-R-C	-0.053734584
Notch1-R-V	-0.439595011
P-Cadherin-R-C	-0.00558726100000007
p21-R-V	0.441215222
p27-R-V	0.439038879
p27_pT157-R-C	0.094485232
p27_pT198-R-V	-0.14620931
p38_MAPK-R-V	-0.023410297
p38_pT180_Y182-R-V	0.20237366
p53-R-E	0.150535299
p62-LCK-ligand-M-C	0.627963128
p70S6K-R-V	-0.339457755
p70S6K_pT389-R-V	-0.242015087
p90RSK-R-C	-0.126540287
p90RSK_pT359_S363-R-C	-0.33245573
PAI-1-M-E	-0.425793504
PARP_cleaved-M-E	3.921888181
Paxillin-R-C	-1.285033481
PCNA-M-C	0.473571729
PDCD4-R-C	-0.122297985
PDK1-R-V	-0.0463625900000001
PDK1_pS241-R-V	-0.113711651
PEA15-R-V	0.072421549
PEA15_pS116-R-V	-0.056188966
PI3K-p110-alpha-R-C	-0.190965449
PI3K-p85-R-V	-0.215992778
PKC-alpha-M-V	0.0332870730000001
PKC-alpha_pS657-R-C	0.187625631
PKC-delta_pS664-R-V	0.106229858
PKC-pan_BetaII_pS660-R-V	-0.247836752
PR-R-V	-0.0706256750000001
PRAS40_pT246-R-V	0.025099669
PRDX1-R-V	0.515687126
PREX1-R-E	-0.0891599150000002
PTEN-R-V	0.395016694
Rab11-R-E	0.150287573
Rab25-R-V	0.746943879
Rad50-M-V	-0.21438728
Rad51-R-V	-0.195786572
Raptor-R-V	-0.221185933
Rb-M-E	1.893016452
Rb_pS807_S811-R-V	0.014871431
RBM15-R-V	-0.189992159
Rictor-R-C	-0.853263854
Rictor_pT1135-R-V	-0.214725331
S6-R-E	0.059781106
S6_pS235_S236-R-V	-0.448128244
S6_pS240_S244-R-V	-0.221057671
SCD-M-V	0.936153292
SETD2-R-E	1.408384745
SF2-M-V	0.577265194
Shc_pY317-R-E	-0.0183402720000001
Smac-M-E	1.5352496
Smad1-R-V	-0.0230862610000001
Smad3-R-V	0.000278027999999972
Smad4-M-V	0.127887713
Snail-M-E	5.863423609
Src-M-V	0.586252417
Src_pY416-R-C	0.0919181130000002
Src_pY527-R-V	0.772556079
STAT3_pY705-R-V	-0.265717498
STAT5-alpha-R-V	-1.03749615
Stathmin-R-V	0.057447457
Syk-M-V	-0.029709756
TAZ-R-V	0.0655856759999999
TIGAR-R-V	1.315019177
Transglutaminase-M-V	0.640873002
TFRC-R-V	-0.864035282
TSC1-R-C	-0.30332854
TTF1-R-V	0.021290212
Tuberin-R-E	-0.166523263
Tuberin_pT1462-R-V	0.074206153
VEGFR2-R-V	-0.0621931480000001
EPPK1-M-E	-0.861826398
XBP1-G-C	-0.0534378600000003
XRCC1-R-E	0.55350175
YAP-R-E	-0.124644799
YAP_pS127-R-E	-0.470291563
YB-1-R-V	-0.267583055
YB-1_pS102-R-V	-0.173692387
JAB1-M-C	0.526597402
PARP1-R-V	0.117164442
A-Raf-R-V	0.233122128
ARID1A-R-C	-0.29960936
B-Raf_pS445-R-V	0.231390959
Bcl2A1-R-V	-0.085526364
BRD4-R-V	-0.204737979
c-Abl-R-V	-0.00899151400000003
Caspase-3-R-C	0.116612925
CD26-R-V	-0.0555220260000001
Chk1_pS296-R-V	-0.082511531
COG3-R-V	0.109371963
DUSP4-R-V	0.848677873
ERCC5-R-C	0.343440847
IGF1R_pY1135_Y1136-R-V	-0.0251019089999999
IRF-1-R-C	-0.40926965
Jak2-R-V	-0.2717314
p16_INK4a-R-V	-0.194390359
SHP-2_pY542-R-C	-0.207426776
CDK1_pY15-R-C	0.127464476
