Sample REF	B27BC67D-DE4A-4713-A07F-65322FB64A5B
c-Abl-R-V	-0.366272828
Caspase-3-R-C	-0.122768584
CD26-R-V	0.313090494
Chk1_pS296-R-V	-0.337093864
COG3-R-V	0.241116468
DUSP4-R-V	1.55195187
ERCC5-R-C	0.0650747149999999
IGF1R_pY1135_Y1136-R-V	-0.198644755
IRF-1-R-C	-0.200764842
Jak2-R-V	-0.184167981
p16_INK4a-R-V	-0.133175118
SHP-2_pY542-R-C	0.173341758
CDK1_pY15-R-C	-0.066488337
