Sample REF	F6177AB7-60E5-414C-87A0-80D3AA346E5D
XRCC1-R-E	-0.049874502
YAP-R-E	0.804422596
YAP_pS127-R-E	0.697967211
YB-1-R-V	0.570406612
YB-1_pS102-R-V	-0.026023642
JAB1-M-C	0.0512916919999997
PARP1-R-V	-0.420804605
A-Raf-R-V	0.168756337
ARID1A-R-C	-0.234117054
B-Raf_pS445-R-V	-0.645575214
Bcl2A1-R-V	0.725888886
BRD4-R-V	-0.289719593
c-Abl-R-V	0.054756079
Caspase-3-R-C	-0.221251394
CD26-R-V	0.465004274
Chk1_pS296-R-V	0.0953164390000001
COG3-R-V	-1.611492123
DUSP4-R-V	-0.0365304340000001
ERCC5-R-C	-0.602885057
IGF1R_pY1135_Y1136-R-V	0.489358234
IRF-1-R-C	0.33261682
Jak2-R-V	-0.262102627
p16_INK4a-R-V	0.381001648
SHP-2_pY542-R-C	-0.730421829
CDK1_pY15-R-C	-0.657803918
