Sample REF	FDBD4A06-DE72-4AB2-9949-A4929D93B712
Raptor-R-V	0.00441287900000009
Rb-M-E	0.241521702
Rb_pS807_S811-R-V	-0.329640504
RBM15-R-V	-2.218136252
Rictor-R-C	0.41210254
Rictor_pT1135-R-V	0.59171837
S6-R-E	-0.677643415
S6_pS235_S236-R-V	0.545564932
S6_pS240_S244-R-V	0.369828314
SCD-M-V	-0.0331487099999999
SETD2-R-E	0.199778204
SF2-M-V	-1.635061493
Shc_pY317-R-E	-0.0819381559999999
Smac-M-E	-0.0665962059999998
Smad1-R-V	-0.107781587
Smad3-R-V	0.0206535230000001
Smad4-M-V	-0.137722878
Snail-M-E	-1.119561875
Src-M-V	-0.134475624
Src_pY416-R-C	-0.113876685
Src_pY527-R-V	0.0217734500000002
STAT3_pY705-R-V	0.335879866
STAT5-alpha-R-V	-0.877236171
Stathmin-R-V	0.3173557
Syk-M-V	-0.70517622
TAZ-R-V	0.386394008
TIGAR-R-V	0.0751681200000002
Transglutaminase-M-V	0.641388612
TFRC-R-V	-0.613614425
TSC1-R-C	0.0565492740000001
TTF1-R-V	-0.181212544
Tuberin-R-E	-0.738169462
Tuberin_pT1462-R-V	0.011117032
VEGFR2-R-V	0.105707599
EPPK1-M-E	-0.576913493
XBP1-G-C	-0.364064275
XRCC1-R-E	-0.422022642
YAP-R-E	-0.0112518519999999
YAP_pS127-R-E	0.0363405410000002
YB-1-R-V	-0.320280745
YB-1_pS102-R-V	0.0367257080000002
JAB1-M-C	0.193258772
PARP1-R-V	-0.403051282
A-Raf-R-V	-0.291657225
ARID1A-R-C	-1.099477358
B-Raf_pS445-R-V	-0.287050302
Bcl2A1-R-V	0.521221623
BRD4-R-V	-1.088283641
c-Abl-R-V	0.272757917
Caspase-3-R-C	0.852583565
CD26-R-V	0.111183682
Chk1_pS296-R-V	0.368540824
COG3-R-V	0.024476194
DUSP4-R-V	0.110586303
ERCC5-R-C	-0.0700748659999999
IGF1R_pY1135_Y1136-R-V	0.451336436
IRF-1-R-C	-0.26074024
Jak2-R-V	-0.136837492
p16_INK4a-R-V	-0.534615157
SHP-2_pY542-R-C	0.0666199170000001
CDK1_pY15-R-C	-0.162965639
