Sample REF	ED4A2082-B683-4D56-A7D3-1136F0F1764F
G6PD-M-V	-0.310539672
GAB2-R-V	-0.420700869
GAPDH-M-C	0.0479203819999998
GATA3-M-V	0.190219437
GSK3-alpha-beta-M-V	0.219453518
GSK3-alpha-beta_pS21_S9-R-V	0.640201311
GSK3_pS9-R-V	1.074441412
HER2-M-V	-0.0585007550000002
HER2_pY1248-R-C	0.112831581
HER3-R-V	0.7351951
HER3_pY1289-R-C	0.151373606
Heregulin-R-V	-0.168326775
HSP70-R-C	-0.210823709
IGFBP2-R-V	1.549470497
INPP4B-R-V	-0.0795176679999998
IRS1-R-V	-0.229484918
JNK_pT183_pY185-R-V	-0.172751411
JNK2-R-C	-0.0203858720000002
Ku80-R-C	0.0370697979999999
Lck-R-V	0.264416781
LKB1-M-E	-0.0797065580000001
MAPK_pT202_Y204-R-V	-0.246108038
MEK1-R-V	0.282696349
MEK1_pS217_S221-R-V	-0.128927314
MIG-6-M-V	0.000610066999999825
Mre11-R-C	-0.0367889710000001
MSH2-M-V	0.279103522
MSH6-R-C	0.158868611
mTOR-R-V	-0.500735297
mTOR_pS2448-R-C	-0.195906961
MYH11-R-V	-0.472434208
Myosin-IIa_pS1943-R-V	0.261669946
N-Cadherin-R-V	-0.191795829
N-Ras-M-V	-0.0844698770000001
NDRG1_pT346-R-V	2.661817985
NF-kB-p65_pS536-R-C	0.66996728
NF2-R-C	-0.109461901
Notch1-R-V	0.473083063
P-Cadherin-R-C	-0.278618027
p21-R-V	-0.417767125
p27-R-V	0.0245447709999999
p27_pT157-R-C	-0.0514104310000001
p27_pT198-R-V	-0.0723002960000002
p38_MAPK-R-V	0.0711687679999998
p38_pT180_Y182-R-V	0.0239983539999998
p53-R-E	-0.0479378989999999
p62-LCK-ligand-M-C	-0.0647978380000001
p70S6K-R-V	-0.274376478
p70S6K_pT389-R-V	-0.286557955
p90RSK-R-C	0.408136858
p90RSK_pT359_S363-R-C	0.644461135
PAI-1-M-E	-0.63253352
PARP_cleaved-M-E	1.752961778
Paxillin-R-C	-0.0956480960000002
PCNA-M-C	-0.230928548
PDCD4-R-C	0.0253917149999998
PDK1-R-V	-0.0190911740000002
PDK1_pS241-R-V	-0.0323442390000002
PEA15-R-V	-0.287771985
PEA15_pS116-R-V	-0.0407177400000002
PI3K-p110-alpha-R-C	-0.101382603
PI3K-p85-R-V	0.190864224
PKC-alpha-M-V	-0.104135176
PKC-alpha_pS657-R-C	-0.367197008
PKC-delta_pS664-R-V	0.0113222709999998
PKC-pan_BetaII_pS660-R-V	0.143559628
PR-R-V	-0.11192018
PRAS40_pT246-R-V	0.255323435
PRDX1-R-V	-0.129869687
PREX1-R-E	0.0767308659999997
PTEN-R-V	-0.564729905
Rab11-R-E	0.105880528
Rab25-R-V	0.641731776
Rad50-M-V	-0.193069381
Rad51-R-V	-0.178452716
Raptor-R-V	-0.312620519
Rb-M-E	0.409974122
Rb_pS807_S811-R-V	0.280025879
RBM15-R-V	-0.256103777
Rictor-R-C	-0.610428152
Rictor_pT1135-R-V	-0.0498847860000002
S6-R-E	-0.129635984
S6_pS235_S236-R-V	0.632317211
S6_pS240_S244-R-V	0.324584612
SCD-M-V	0.134361406
SETD2-R-E	0.372792182
SF2-M-V	0.110750963
Shc_pY317-R-E	0
Smac-M-E	0.489441363
Smad1-R-V	0.228161409
Smad3-R-V	-0.00804438800000018
Smad4-M-V	-0.0430687010000002
Snail-M-E	2.252766804
Src-M-V	0.222640726
Src_pY416-R-C	1.526459955
Src_pY527-R-V	0.188177033
STAT3_pY705-R-V	-0.0579135900000002
STAT5-alpha-R-V	-0.0438326870000001
Stathmin-R-V	-0.0823316230000002
Syk-M-V	0.909178346
TAZ-R-V	-0.173293834
TIGAR-R-V	0.0273693639999998
Transglutaminase-M-V	-0.683257075
TFRC-R-V	0.275405732
TSC1-R-C	-0.246279362
TTF1-R-V	-0.0434145990000001
Tuberin-R-E	-0.261107654
Tuberin_pT1462-R-V	0.483107957
VEGFR2-R-V	0.418986606
EPPK1-M-E	0.672010046
XBP1-G-C	-0.124795192
XRCC1-R-E	-0.111134823
YAP-R-E	-0.0384062010000001
YAP_pS127-R-E	-0.159119425
YB-1-R-V	-0.00612011600000018
YB-1_pS102-R-V	0.420823148
JAB1-M-C	0.116962761
PARP1-R-V	-0.361783475
A-Raf-R-V	0.254130061
ARID1A-R-C	0.880072159
B-Raf_pS445-R-V	0.0942430709999998
Bcl2A1-R-V	-0.0613718990000002
BRD4-R-V	0.412606698
c-Abl-R-V	-0.0523746380000001
Caspase-3-R-C	0.125243221
CD26-R-V	-0.1942741
Chk1_pS296-R-V	0.00503224099999983
COG3-R-V	-0.392558425
DUSP4-R-V	-0.156578141
ERCC5-R-C	-0.216320115
IGF1R_pY1135_Y1136-R-V	-0.170040269
IRF-1-R-C	-0.0766988380000002
Jak2-R-V	0.0786272289999999
p16_INK4a-R-V	-0.156885743
SHP-2_pY542-R-C	0.362449965
CDK1_pY15-R-C	-0.0797585900000002
