Sample REF	2396FB56-1204-4736-8BD4-7C40A569A39E
Src-M-V	-0.047069365
Src_pY416-R-C	0.920131501
Src_pY527-R-V	0.758488485
STAT3_pY705-R-V	0.415161604
STAT5-alpha-R-V	-0.164142354
Stathmin-R-V	-0.114653094
Syk-M-V	-0.186896169
TAZ-R-V	-0.067050024
TIGAR-R-V	1.855613204
Transglutaminase-M-V	0.997551126
TFRC-R-V	0.499855264
TSC1-R-C	0.173531533
TTF1-R-V	-0.018533963
Tuberin-R-E	-0.0262685600000001
Tuberin_pT1462-R-V	-0.0339421560000001
VEGFR2-R-V	1.762712006
EPPK1-M-E	0.948294858
XBP1-G-C	-0.14525962
XRCC1-R-E	-0.114653094
YAP-R-E	0.10285142
YAP_pS127-R-E	0.345299504
YB-1-R-V	-0.057191104
YB-1_pS102-R-V	0.166233295
JAB1-M-C	-0.0475138820000002
PARP1-R-V	-0.250598844
A-Raf-R-V	-0.093059724
ARID1A-R-C	-0.210603716
B-Raf_pS445-R-V	-0.087513662
Bcl2A1-R-V	0.576344317
BRD4-R-V	-0.54777826
c-Abl-R-V	0.05958405
Caspase-3-R-C	0.00100216699999989
CD26-R-V	0.073231812
Chk1_pS296-R-V	-0.106130823
COG3-R-V	-0.15045035
DUSP4-R-V	1.538045045
ERCC5-R-C	0.102367747
IGF1R_pY1135_Y1136-R-V	0.056740927
IRF-1-R-C	0.194695717
Jak2-R-V	-0.245883057
p16_INK4a-R-V	0.184166672
SHP-2_pY542-R-C	0.67737567
CDK1_pY15-R-C	0.052630022
