Sample REF	321A85A8-BC4A-4D64-B8E6-89FC29A338CB
YAP_pS127-R-E	2.220867816
YB-1-R-V	0.150312136
YB-1_pS102-R-V	-0.068838968
JAB1-M-C	0.0528245969999999
PARP1-R-V	-0.167802346
A-Raf-R-V	0.114700004
ARID1A-R-C	-0.217958709
B-Raf_pS445-R-V	-0.081137956
Bcl2A1-R-V	0.884512725
BRD4-R-V	-0.0607132659999998
c-Abl-R-V	0.06356544
Caspase-3-R-C	0.0540443209999999
CD26-R-V	0.146174023
Chk1_pS296-R-V	0.362319456
COG3-R-V	-0.482254877
DUSP4-R-V	-0.242674205
ERCC5-R-C	-0.139547981
IGF1R_pY1135_Y1136-R-V	0.272549881
IRF-1-R-C	0.759016153
Jak2-R-V	-0.223696063
p16_INK4a-R-V	-0.840425552
SHP-2_pY542-R-C	-0.274258142
CDK1_pY15-R-C	-0.0301424349999999
