Sample REF	6424B36F-37F0-4816-8964-D1DB61A06F63
PRAS40_pT246-R-V	0.492351875
PRDX1-R-V	0.0577295349999999
PREX1-R-E	0.0718783039999998
PTEN-R-V	0.259242331
Rab11-R-E	0.116864421
Rab25-R-V	0.39061086
Rad50-M-V	-0.163995369
Rad51-R-V	-0.396718795
Raptor-R-V	0.104290145
Rb-M-E	-0.486956743
Rb_pS807_S811-R-V	1.101282713
RBM15-R-V	0.692114256
Rictor-R-C	-0.712233684
Rictor_pT1135-R-V	-0.0286404710000001
S6-R-E	0.019802064
S6_pS235_S236-R-V	0.826339472
S6_pS240_S244-R-V	0.991854194
SCD-M-V	-0.397792531
SETD2-R-E	-0.246517539
SF2-M-V	-0.200843676
Shc_pY317-R-E	0.131837945
Smac-M-E	0.242048157
Smad1-R-V	-0.061992774
Smad3-R-V	0.063472398
Smad4-M-V	-0.242449904
Snail-M-E	-0.047120016
Src-M-V	0.225575301
Src_pY416-R-C	-0.120593222
Src_pY527-R-V	0.968009143
STAT3_pY705-R-V	-0.193969797
STAT5-alpha-R-V	0.251719567
Stathmin-R-V	-0.135757751
Syk-M-V	-0.383337293
TAZ-R-V	-0.132892973
TIGAR-R-V	-0.328050827
Transglutaminase-M-V	-0.182776556
TFRC-R-V	1.354550004
TSC1-R-C	0.419828714
TTF1-R-V	-0.123558533
Tuberin-R-E	0.37274673
Tuberin_pT1462-R-V	0.290237107
VEGFR2-R-V	0.514880545
EPPK1-M-E	-0.382434313
XBP1-G-C	-0.548364151
XRCC1-R-E	0.852647829
YAP-R-E	0.093378376
YAP_pS127-R-E	0.582091626
YB-1-R-V	0.00401146199999997
YB-1_pS102-R-V	-0.0975389750000001
JAB1-M-C	-0.43840789
PARP1-R-V	1.305660112
A-Raf-R-V	-0.136517633
ARID1A-R-C	0.434380497
B-Raf_pS445-R-V	0.86923686
Bcl2A1-R-V	-0.318773535
BRD4-R-V	0.943524715
c-Abl-R-V	-0.125341315
Caspase-3-R-C	-0.336728814
CD26-R-V	-0.123948255
Chk1_pS296-R-V	-0.120505071
COG3-R-V	0.229579219
DUSP4-R-V	-0.121842891
ERCC5-R-C	0.320183928
IGF1R_pY1135_Y1136-R-V	-0.251899538
IRF-1-R-C	-0.151592344
Jak2-R-V	-0.075089566
p16_INK4a-R-V	-0.757590918
SHP-2_pY542-R-C	0.284638188
CDK1_pY15-R-C	1.304082028
