Sample REF	05FAF119-1842-40FE-9B3D-A97D8E6B9662
PTEN-R-V	0.84128204
Rab11-R-E	0.010993823
Rab25-R-V	0.0236428119999999
Rad50-M-V	0.03505042
Rad51-R-V	0.10283875
Raptor-R-V	-0.0695576100000001
Rb-M-E	0.0988129909999998
Rb_pS807_S811-R-V	-0.352448036
RBM15-R-V	-0.432811626
Rictor-R-C	1.1919009
Rictor_pT1135-R-V	-0.0417930390000001
S6-R-E	-0.099498003
S6_pS235_S236-R-V	0.397453082
S6_pS240_S244-R-V	-0.328794541
SCD-M-V	-0.044274145
SETD2-R-E	-0.081033015
SF2-M-V	-0.132477354
Shc_pY317-R-E	0.453074326
Smac-M-E	-0.157956624
Smad1-R-V	0.183959565
Smad3-R-V	0.0238035529999999
Smad4-M-V	0.0103336179999998
Snail-M-E	-0.143565058
Src-M-V	0.159281782
Src_pY416-R-C	-0.353776853
Src_pY527-R-V	0.599522368
STAT3_pY705-R-V	0.720459697
STAT5-alpha-R-V	-1.032943072
Stathmin-R-V	0.064548592
Syk-M-V	-0.280937038
TAZ-R-V	-0.0479512890000001
TIGAR-R-V	-0.00871413700000007
Transglutaminase-M-V	-0.090606594
TFRC-R-V	-1.094851159
TSC1-R-C	0.0530833649999999
TTF1-R-V	-0.040980819
Tuberin-R-E	-0.172707772
Tuberin_pT1462-R-V	0.18358739
VEGFR2-R-V	-0.368710093
EPPK1-M-E	-0.515367732
XBP1-G-C	0.0256619199999999
XRCC1-R-E	0.202402327
YAP-R-E	-0.0677939390000001
YAP_pS127-R-E	0.044022062
YB-1-R-V	-0.172116786
YB-1_pS102-R-V	-0.127989109
JAB1-M-C	0.154926675
PARP1-R-V	-0.149348866
A-Raf-R-V	0.0623407939999999
ARID1A-R-C	-0.411747282
B-Raf_pS445-R-V	0.288472532
Bcl2A1-R-V	-0.0624315770000001
BRD4-R-V	-0.0394572959999999
c-Abl-R-V	0.0630340369999999
Caspase-3-R-C	-0.103899176
CD26-R-V	-0.119635473
Chk1_pS296-R-V	-0.116301214
COG3-R-V	-0.559107256
DUSP4-R-V	-0.254493636
ERCC5-R-C	-0.0781062610000001
IGF1R_pY1135_Y1136-R-V	0.047015451
IRF-1-R-C	-0.255721292
Jak2-R-V	-0.299020669
p16_INK4a-R-V	-0.393079687
SHP-2_pY542-R-C	0.764955006
CDK1_pY15-R-C	0.78045549
