Sample REF	F2BA7AA4-9BFA-463E-A2A8-EC141BC66ACA
B-Raf_pS445-R-V	-0.229729373
Bcl2A1-R-V	0.099432701
BRD4-R-V	-0.446868558
c-Abl-R-V	0.111532734
Caspase-3-R-C	-0.131309998
CD26-R-V	-0.04773077
Chk1_pS296-R-V	0.049527611
COG3-R-V	-0.419494445
DUSP4-R-V	-0.147988841
ERCC5-R-C	0.54225332
IGF1R_pY1135_Y1136-R-V	0.0976096390000001
IRF-1-R-C	-0.236000262
Jak2-R-V	-0.358284759
p16_INK4a-R-V	-0.24345141
SHP-2_pY542-R-C	0.370199869
CDK1_pY15-R-C	0.0900661210000001
