Sample REF	BF375F3D-D2CF-49AB-BD47-43A4062F0781
Paxillin-R-C	-0.165364083
PCNA-M-C	0.298321481
PDCD4-R-C	-0.324659481
PDK1-R-V	-0.089648559
PDK1_pS241-R-V	-0.160503702
PEA15-R-V	-0.256465003
PEA15_pS116-R-V	0.061128902
PI3K-p110-alpha-R-C	0.011108501
PI3K-p85-R-V	0.209270313
PKC-alpha-M-V	-0.473811973
PKC-alpha_pS657-R-C	-0.647353253
PKC-delta_pS664-R-V	0.099077913
PKC-pan_BetaII_pS660-R-V	0.906571001
PR-R-V	-0.167312052
PRAS40_pT246-R-V	0.58383706
PRDX1-R-V	0.016287107
PREX1-R-E	0.164723652
PTEN-R-V	-0.979768602
Rab11-R-E	-0.239717425
Rab25-R-V	-0.232737839
Rad50-M-V	-0.388380939
Rad51-R-V	0.121761126
Raptor-R-V	0.263849226
Rb-M-E	-0.143817242
Rb_pS807_S811-R-V	0.223542736
RBM15-R-V	0.287384935
Rictor-R-C	-0.455482686
Rictor_pT1135-R-V	0.139197429
S6-R-E	0
S6_pS235_S236-R-V	1.186240724
S6_pS240_S244-R-V	1.27388949
SCD-M-V	-0.028906993
SETD2-R-E	-0.126288665
SF2-M-V	-0.500323871
Shc_pY317-R-E	0.60570575
Smac-M-E	-0.216514655
Smad1-R-V	0.00377765099999999
Smad3-R-V	-0.191439822
Smad4-M-V	-0.096623735
Snail-M-E	-0.585637899999999
Src-M-V	-0.209283061
Src_pY416-R-C	0.523643722
Src_pY527-R-V	0.271191499
STAT3_pY705-R-V	0.212514557
STAT5-alpha-R-V	1.009045904
Stathmin-R-V	-0.20520082
Syk-M-V	0.492361918
TAZ-R-V	-0.169953414
TIGAR-R-V	0.138908137
Transglutaminase-M-V	-0.264627267
TFRC-R-V	-0.073287796
TSC1-R-C	-0.207604279
TTF1-R-V	-0.061876087
Tuberin-R-E	0.229683663
Tuberin_pT1462-R-V	0.448140814
VEGFR2-R-V	-0.924746021
EPPK1-M-E	-0.101725437
XBP1-G-C	-0.385011909
XRCC1-R-E	0.068063556
YAP-R-E	-0.768485645
YAP_pS127-R-E	-1.814953097
YB-1-R-V	-0.264795567
YB-1_pS102-R-V	0.147018715
JAB1-M-C	-0.0929573780000003
PARP1-R-V	0.119838361
A-Raf-R-V	0.071972698
ARID1A-R-C	-0.008797575
B-Raf_pS445-R-V	0.410079065
Bcl2A1-R-V	0.077998397
BRD4-R-V	-0.0152145599999999
c-Abl-R-V	-0.256912862
Caspase-3-R-C	-0.122951044
CD26-R-V	-0.140166935
Chk1_pS296-R-V	-0.015572047
COG3-R-V	-0.126888085
DUSP4-R-V	-0.256362877
ERCC5-R-C	-0.133082432
IGF1R_pY1135_Y1136-R-V	-0.071507269
IRF-1-R-C	0.509623545
Jak2-R-V	0.188746111
p16_INK4a-R-V	-0.410788281
SHP-2_pY542-R-C	0.800583738
CDK1_pY15-R-C	0.196220175
