Sample REF	BCB3CB2B-4807-4B75-BEBA-8B33C4F18C18
PDK1_pS241-R-V	-0.264276891
PEA15-R-V	-0.040102688
PEA15_pS116-R-V	-0.26866771
PI3K-p110-alpha-R-C	0.062659813
PI3K-p85-R-V	0.054261992
PKC-alpha-M-V	0.297309896
PKC-alpha_pS657-R-C	0.452812867
PKC-delta_pS664-R-V	0.283478595
PKC-pan_BetaII_pS660-R-V	0.1510833
PR-R-V	0.045685867
PRAS40_pT246-R-V	0.0325290160000001
PRDX1-R-V	-0.238484288
PREX1-R-E	0.262111562
PTEN-R-V	0.234373182
Rab11-R-E	-0.245660923
Rab25-R-V	-0.236376604
Rad50-M-V	0.110459462
Rad51-R-V	-0.149936531
Raptor-R-V	0.163487629
Rb-M-E	-0.0685376860000002
Rb_pS807_S811-R-V	-0.0144892969999998
RBM15-R-V	0.325720968
Rictor-R-C	0.873233359
Rictor_pT1135-R-V	-0.261210266
S6-R-E	-0.12657956
S6_pS235_S236-R-V	-0.35409529
S6_pS240_S244-R-V	-0.491237586
SCD-M-V	-0.0979692699999999
SETD2-R-E	-0.174533041
SF2-M-V	0.268497015
Shc_pY317-R-E	-0.196594076
Smac-M-E	0.176148297
Smad1-R-V	0.29341849
Smad3-R-V	0.055771473
Smad4-M-V	0.155679206
Snail-M-E	0.0547999120000001
Src-M-V	-0.345368725
Src_pY416-R-C	-0.690797905
Src_pY527-R-V	-0.437735999
STAT3_pY705-R-V	0.102699369
STAT5-alpha-R-V	0.820402667
Stathmin-R-V	-0.194995475
Syk-M-V	0.356359206
TAZ-R-V	-0.01461168
TIGAR-R-V	-0.16989388
Transglutaminase-M-V	0.0165058829999999
TFRC-R-V	-0.703802916
TSC1-R-C	0.013001918
TTF1-R-V	-0.0194150619999999
Tuberin-R-E	0.300323038
Tuberin_pT1462-R-V	0.107216588
VEGFR2-R-V	-0.539843002
EPPK1-M-E	0.0838678170000001
XBP1-G-C	0.0311290220000001
XRCC1-R-E	0
YAP-R-E	-0.437730477
YAP_pS127-R-E	-0.428659418
YB-1-R-V	-0.189463947
YB-1_pS102-R-V	-0.070971402
JAB1-M-C	0.104342691
PARP1-R-V	0.410224484
A-Raf-R-V	-0.266145287
ARID1A-R-C	0.35300343
B-Raf_pS445-R-V	-0.233526133
Bcl2A1-R-V	-0.245939814
BRD4-R-V	0.602980549
c-Abl-R-V	-0.031228656
Caspase-3-R-C	0.00919633699999994
CD26-R-V	-0.105791678
Chk1_pS296-R-V	-0.0352817560000001
COG3-R-V	0.025368077
DUSP4-R-V	0.093872217
ERCC5-R-C	0.193532851
IGF1R_pY1135_Y1136-R-V	-0.164120433
IRF-1-R-C	0.240114483
Jak2-R-V	0.266746967
p16_INK4a-R-V	-0.173769039
SHP-2_pY542-R-C	-0.0402605849999999
CDK1_pY15-R-C	-0.106227976
