Sample REF	512D1B08-402F-433F-974C-B134628CBA33
Chk2-M-E	-0.268763985
Chk2_pT68-R-C	-0.180572342
cIAP-R-V	-0.146888624
Claudin-7-R-V	2.292930262
Collagen_VI-R-V	-0.129995448
Cyclin_B1-R-V	0.206536596
Cyclin_D1-R-V	-0.298138306
Cyclin_E1-M-V	-0.153846296
Cyclin_E2-R-C	0.214904967
DJ-1-R-E	0.0164283750000001
Dvl3-R-V	-0.0286016149999999
E-Cadherin-R-V	0.349055414
eEF2-R-C	-0.00307202699999998
eEF2K-R-V	-0.0843296509999999
EGFR-R-V	0.0766021259999999
EGFR_pY1068-R-C	-0.116015866
EGFR_pY1173-R-V	-0.074055367
eIF4E-R-V	0.07602392
eIF4G-R-C	0.501715137
ER-alpha-R-V	0.249239846
ER-alpha_pS118-R-V	0.0337299090000002
ERCC1-M-V	-0.160454498
ERK2-R-E	-0.261958251
ETS-1-R-V	-0.0541064939999999
FASN-R-V	0.116574357
Fibronectin-R-V	-0.337559577
FoxM1-R-V	0.6410321
FOXO3a-R-C	0.0844162839999999
FOXO3a_pS318_S321-R-C	-0.297338683
G6PD-M-V	-0.199889468
GAB2-R-V	0.238606265
GAPDH-M-C	0.10373764
GATA3-M-V	-0.1922976
GSK3-alpha-beta-M-V	-0.011059753
GSK3-alpha-beta_pS21_S9-R-V	-0.147885654
GSK3_pS9-R-V	-0.233108326
HER2-M-V	0.547355356
HER2_pY1248-R-C	0.442875493
HER3-R-V	0.643513238
HER3_pY1289-R-C	0.11558015
Heregulin-R-V	0.237089822
HSP70-R-C	-0.331156657
IGFBP2-R-V	-0.752719011
INPP4B-R-V	0.462913617
IRS1-R-V	0.071284039
JNK_pT183_pY185-R-V	0.134848748
JNK2-R-C	0.162049129
Ku80-R-C	0.0468304480000001
Lck-R-V	0.76353694
LKB1-M-E	-0.137310245
MAPK_pT202_Y204-R-V	-0.607409476
MEK1-R-V	0.152471781
MEK1_pS217_S221-R-V	-0.179510942
MIG-6-M-V	0.189628516
Mre11-R-C	-0.145111264
MSH2-M-V	0.310886515
MSH6-R-C	0.309785554
mTOR-R-V	0.497723658
mTOR_pS2448-R-C	0.0164435580000001
MYH11-R-V	-0.814139137
Myosin-IIa_pS1943-R-V	-0.273048548
N-Cadherin-R-V	-0.116576435
N-Ras-M-V	0.000757600000000053
NDRG1_pT346-R-V	-1.465209624
NF-kB-p65_pS536-R-C	-0.454913713
NF2-R-C	-0.346063129
Notch1-R-V	0.170471896
P-Cadherin-R-C	0.165580506
p21-R-V	-1.445055437
p27-R-V	0.101297538
p27_pT157-R-C	-0.04345214
p27_pT198-R-V	-0.082846905
p38_MAPK-R-V	-0.088714175
p38_pT180_Y182-R-V	-0.585387393
p53-R-E	-0.0322705369999997
p62-LCK-ligand-M-C	1.00438022
p70S6K-R-V	0.089491727
p70S6K_pT389-R-V	-0.0953744099999999
p90RSK-R-C	0.305654104
p90RSK_pT359_S363-R-C	-0.223996532
PAI-1-M-E	0.141113024
PARP_cleaved-M-E	-0.183477069
Paxillin-R-C	0.430206631
PCNA-M-C	-0.064663669
PDCD4-R-C	-0.600443078
PDK1-R-V	-0.18610344
PDK1_pS241-R-V	-0.295092555
PEA15-R-V	-0.276571549
PEA15_pS116-R-V	0.0872806840000001
PI3K-p110-alpha-R-C	-0.112125056
PI3K-p85-R-V	-0.167085428
PKC-alpha-M-V	0.592164934
PKC-alpha_pS657-R-C	0.915853474
PKC-delta_pS664-R-V	0.0229465859999999
PKC-pan_BetaII_pS660-R-V	0.058383492
PR-R-V	-0.0703802219999999
PRAS40_pT246-R-V	0.119516375
PRDX1-R-V	-0.478580421
PREX1-R-E	-0.562428676
PTEN-R-V	-0.541147397
Rab11-R-E	0.0277778530000001
Rab25-R-V	0.642058672
Rad50-M-V	-0.160208725
Rad51-R-V	-0.36000036
Raptor-R-V	0.235814567
Rb-M-E	-0.1922976
Rb_pS807_S811-R-V	0.043226643
RBM15-R-V	0.134158324
Rictor-R-C	0.056188829
Rictor_pT1135-R-V	-0.191274943
S6-R-E	0.0930631960000001
S6_pS235_S236-R-V	0.0262651580000001
S6_pS240_S244-R-V	0.082970243
SCD-M-V	-0.00381522999999995
SETD2-R-E	-0.131439641
SF2-M-V	-0.13648823
Shc_pY317-R-E	0.170043755
Smac-M-E	0.117807431
Smad1-R-V	0.243385027
Smad3-R-V	-0.00401484199999994
Smad4-M-V	-0.223755393
Snail-M-E	-0.0560476149999999
Src-M-V	0.353497245
Src_pY416-R-C	-0.35974358
Src_pY527-R-V	0.166909784
STAT3_pY705-R-V	-0.402161598
STAT5-alpha-R-V	0.167229973
Stathmin-R-V	-0.076060326
Syk-M-V	0.101398627
TAZ-R-V	0.042568494
TIGAR-R-V	1.517207366
Transglutaminase-M-V	-0.217464001
TFRC-R-V	0.230333746
TSC1-R-C	0.536006064
TTF1-R-V	0.055401828
Tuberin-R-E	0.361262059
Tuberin_pT1462-R-V	-0.11057924
VEGFR2-R-V	0.498389166
EPPK1-M-E	0.410935382
XBP1-G-C	-0.0298182360000002
XRCC1-R-E	0.163982892
YAP-R-E	-0.332283315
YAP_pS127-R-E	-0.902943807
YB-1-R-V	-0.039598558
YB-1_pS102-R-V	0.127949845
JAB1-M-C	0.0138324609999999
PARP1-R-V	-0.655103161
A-Raf-R-V	0.396894356
ARID1A-R-C	0.281194758
B-Raf_pS445-R-V	0.023482351
Bcl2A1-R-V	-0.214860031
BRD4-R-V	0.180069769
c-Abl-R-V	-0.0161183519999999
Caspase-3-R-C	0.129552774
CD26-R-V	0.18686506
Chk1_pS296-R-V	-0.147836386
COG3-R-V	0.648859633
DUSP4-R-V	1.451573717
ERCC5-R-C	0.313648633
IGF1R_pY1135_Y1136-R-V	-0.0949703909999999
IRF-1-R-C	-0.069594363
Jak2-R-V	0.20737313
p16_INK4a-R-V	0.087922986
SHP-2_pY542-R-C	-0.207468157
CDK1_pY15-R-C	-0.115224667
