Sample REF	A833FC95-34C0-4E8B-82C6-BE2E99E23411
PCNA-M-C	0.368262819
PDCD4-R-C	-1.341357853
PDK1-R-V	0.214597506
PDK1_pS241-R-V	0.252958907
PEA15-R-V	0.209797828
PEA15_pS116-R-V	0.076943689
PI3K-p110-alpha-R-C	0.00480874399999998
PI3K-p85-R-V	0.114623358
PKC-alpha-M-V	0.321237329
PKC-alpha_pS657-R-C	-0.254334573
PKC-delta_pS664-R-V	-0.0550317330000001
PKC-pan_BetaII_pS660-R-V	-0.191001152
PR-R-V	0.00201423599999995
PRAS40_pT246-R-V	-0.136282841
PRDX1-R-V	0.171995297
PREX1-R-E	0.150379017
PTEN-R-V	0.153837359
Rab11-R-E	-0.06974013
Rab25-R-V	-0.1606115
Rad50-M-V	-0.265401832
Rad51-R-V	-0.235602758
Raptor-R-V	0.036413135
Rb-M-E	-0.109455468
Rb_pS807_S811-R-V	-0.252987856
RBM15-R-V	-0.035483281
Rictor-R-C	-0.221211315
Rictor_pT1135-R-V	-0.110149749
S6-R-E	0.51637883
S6_pS235_S236-R-V	0.626855561
S6_pS240_S244-R-V	1.016918199
SCD-M-V	-0.04275927
SETD2-R-E	-0.0712675489999999
SF2-M-V	-0.198525483
Shc_pY317-R-E	-0.195498522
Smac-M-E	-0.232005834
Smad1-R-V	0.090727528
Smad3-R-V	-0.00783166900000001
Smad4-M-V	-0.062844232
Snail-M-E	0.121243774
Src-M-V	0.054098023
Src_pY416-R-C	-0.546868026
Src_pY527-R-V	-1.965519309
STAT3_pY705-R-V	-0.442924298
STAT5-alpha-R-V	0.526567451
Stathmin-R-V	0.036997231
Syk-M-V	0.18184946
TAZ-R-V	-0.0902689660000001
TIGAR-R-V	0.220583065
Transglutaminase-M-V	-0.347011974
TFRC-R-V	0.0297418249999999
TSC1-R-C	0.00593437199999991
TTF1-R-V	0.12804963
Tuberin-R-E	0.14667168
Tuberin_pT1462-R-V	-0.274738599
VEGFR2-R-V	0.110643405
EPPK1-M-E	1.124216133
XBP1-G-C	-0.340302691
XRCC1-R-E	-0.491688575
YAP-R-E	-0.00259480400000001
YAP_pS127-R-E	0.104493797
YB-1-R-V	0.394734433
YB-1_pS102-R-V	0.629569308
JAB1-M-C	-0.039861363
PARP1-R-V	-0.24253076
A-Raf-R-V	0.297112069
ARID1A-R-C	0.29331694
B-Raf_pS445-R-V	-0.490961963
Bcl2A1-R-V	0.037518693
BRD4-R-V	0.23374464
c-Abl-R-V	0.010016304
Caspase-3-R-C	0.0637894290000001
CD26-R-V	0.0403655929999999
Chk1_pS296-R-V	0.023882258
COG3-R-V	0.0408566029999999
DUSP4-R-V	0.0509012739999997
ERCC5-R-C	-0.217802951
IGF1R_pY1135_Y1136-R-V	-0.06974013
IRF-1-R-C	0.186739192
Jak2-R-V	0.159643298
p16_INK4a-R-V	0.139136427
SHP-2_pY542-R-C	-0.213403501
CDK1_pY15-R-C	-0.501240128
