Sample REF	094DF0CC-0C59-4855-B581-56FB17D71468
GAPDH-M-C	0.06506631
GATA3-M-V	-0.124026097
GSK3-alpha-beta-M-V	-0.137308862
GSK3-alpha-beta_pS21_S9-R-V	-0.553895826
GSK3_pS9-R-V	-0.816157641
HER2-M-V	-0.288591526
HER2_pY1248-R-C	-0.310566214
HER3-R-V	-0.251047537
HER3_pY1289-R-C	-0.08780319
Heregulin-R-V	-0.0174823530000001
HSP70-R-C	-0.151384441
IGFBP2-R-V	-0.090788439
INPP4B-R-V	0.0819597170000004
IRS1-R-V	-0.0436640779999999
JNK_pT183_pY185-R-V	-0.0588428679999999
JNK2-R-C	0.0560351130000001
Ku80-R-C	-0.120949657
Lck-R-V	0.237893617
LKB1-M-E	-0.00843741799999997
MAPK_pT202_Y204-R-V	-0.701556589
MEK1-R-V	0.152425664
MEK1_pS217_S221-R-V	-0.133167317
MIG-6-M-V	-0.100552503
Mre11-R-C	0.070214821
MSH2-M-V	0.364852406
MSH6-R-C	0.391719461
mTOR-R-V	-0.148957209
mTOR_pS2448-R-C	-0.544081516
MYH11-R-V	1.896315283
Myosin-IIa_pS1943-R-V	-0.736578689
N-Cadherin-R-V	-0.038351266
N-Ras-M-V	0.091932692
NDRG1_pT346-R-V	-2.23757151
NF-kB-p65_pS536-R-C	0.0651765719999999
NF2-R-C	-0.043707234
Notch1-R-V	0.444323437
P-Cadherin-R-C	-0.245186314
p21-R-V	0.55502626
p27-R-V	0.282864362
p27_pT157-R-C	0.124480323
p27_pT198-R-V	-0.272367931
p38_MAPK-R-V	-0.104580318
p38_pT180_Y182-R-V	-0.615768556
p53-R-E	0.0616850940000002
p62-LCK-ligand-M-C	0.441173107
p70S6K-R-V	0.206595486
p70S6K_pT389-R-V	-0.198558444
p90RSK-R-C	-0.236062091
p90RSK_pT359_S363-R-C	-0.578829574
PAI-1-M-E	-0.883786279
PARP_cleaved-M-E	0.193261645
Paxillin-R-C	-0.101992459
PCNA-M-C	-0.05286686
PDCD4-R-C	-0.42675583
PDK1-R-V	-0.067895202
PDK1_pS241-R-V	-0.058282214
PEA15-R-V	-0.054135835
PEA15_pS116-R-V	-0.050495901
PI3K-p110-alpha-R-C	0.198899886
PI3K-p85-R-V	0.047962715
PKC-alpha-M-V	0.509321091
PKC-alpha_pS657-R-C	0.768537794
PKC-delta_pS664-R-V	-0.090788439
PKC-pan_BetaII_pS660-R-V	-0.499508522
PR-R-V	0.129161912
PRAS40_pT246-R-V	-0.058097055
PRDX1-R-V	-0.168487866
PREX1-R-E	0.0573546789999999
PTEN-R-V	-0.055947279
Rab11-R-E	-0.267091273
Rab25-R-V	0.437508745
Rad50-M-V	0.485299733
Rad51-R-V	-0.152234645
Raptor-R-V	0.110628954
Rb-M-E	-0.0551118070000001
Rb_pS807_S811-R-V	-0.420363904
RBM15-R-V	-0.054093565
Rictor-R-C	3.005754894
Rictor_pT1135-R-V	-0.131552171
S6-R-E	0.225076234
S6_pS235_S236-R-V	-2.02139602
S6_pS240_S244-R-V	-1.317737488
SCD-M-V	0.053061751
SETD2-R-E	-0.208111786
SF2-M-V	0.364148579
Shc_pY317-R-E	-0.361802616
Smac-M-E	0.480915737
Smad1-R-V	0.285418755
Smad3-R-V	0.039479714
Smad4-M-V	0.175745894
Snail-M-E	0.0387331000000002
Src-M-V	-0.201354526
Src_pY416-R-C	-0.319770484
Src_pY527-R-V	-0.938552251
STAT3_pY705-R-V	-0.390383717
STAT5-alpha-R-V	0.727455334
Stathmin-R-V	-0.000430620999999992
Syk-M-V	0.281350465
TAZ-R-V	-0.026118603
TIGAR-R-V	-0.105549839
Transglutaminase-M-V	-0.225974664
TFRC-R-V	0.251732872
TSC1-R-C	-0.0532671220000001
TTF1-R-V	0.159174898
Tuberin-R-E	-0.279018232
Tuberin_pT1462-R-V	-0.265225698
VEGFR2-R-V	-0.0571023390000001
EPPK1-M-E	-1.113830851
XBP1-G-C	0.242516818
XRCC1-R-E	0.289591505
YAP-R-E	0.134306316
YAP_pS127-R-E	0.040708567
YB-1-R-V	0.010132302
YB-1_pS102-R-V	-0.379033851
JAB1-M-C	-0.0616175880000001
PARP1-R-V	0.750182414
A-Raf-R-V	-0.174271278
ARID1A-R-C	0.32420224
B-Raf_pS445-R-V	-0.576549528
Bcl2A1-R-V	0
BRD4-R-V	0.875440557
c-Abl-R-V	0.175715108
Caspase-3-R-C	0.101709654
CD26-R-V	-0.0428659450000001
Chk1_pS296-R-V	0.062319736
COG3-R-V	-0.160062984
DUSP4-R-V	0.143458855
ERCC5-R-C	0.450440929
IGF1R_pY1135_Y1136-R-V	0.00256405000000004
IRF-1-R-C	0.323648112
Jak2-R-V	0.040777913
p16_INK4a-R-V	0.45744129
SHP-2_pY542-R-C	-0.272906169
CDK1_pY15-R-C	-0.028246501
