Sample REF	D4F30F80-47CD-44E7-A1C9-419484388AF4
p62-LCK-ligand-M-C	-0.288341512
p70S6K-R-V	0.237928747
p70S6K_pT389-R-V	-0.113522147
p90RSK-R-C	0.173491065
p90RSK_pT359_S363-R-C	0.634609673
PAI-1-M-E	0.071134455
PARP_cleaved-M-E	-0.00432082500000008
Paxillin-R-C	0.018715424
PCNA-M-C	0.025125007
PDCD4-R-C	0.996726289
PDK1-R-V	-0.091929326
PDK1_pS241-R-V	-0.092283166
PEA15-R-V	-0.25238293
PEA15_pS116-R-V	-0.092158457
PI3K-p110-alpha-R-C	0.0976468549999999
PI3K-p85-R-V	-0.188089015
PKC-alpha-M-V	-0.325112442
PKC-alpha_pS657-R-C	-0.399921947
PKC-delta_pS664-R-V	-0.0432813960000001
PKC-pan_BetaII_pS660-R-V	0.498625974
PR-R-V	-0.111316964
PRAS40_pT246-R-V	0.129314722
PRDX1-R-V	-0.077559063
PREX1-R-E	-0.190188593
PTEN-R-V	0.27336929
Rab11-R-E	0
Rab25-R-V	0.626323008
Rad50-M-V	-0.266750929
Rad51-R-V	-0.000554445999999986
Raptor-R-V	-0.468166826
Rb-M-E	-0.146145529
Rb_pS807_S811-R-V	0.441074557
RBM15-R-V	0.141623211
Rictor-R-C	-0.3026493
Rictor_pT1135-R-V	-0.023476074
S6-R-E	0.103858166
S6_pS235_S236-R-V	0.862750706
S6_pS240_S244-R-V	0.139635449
SCD-M-V	0.064748594
SETD2-R-E	-0.219027649
SF2-M-V	-0.172356408
Shc_pY317-R-E	0.459953432
Smac-M-E	-0.146124921
Smad1-R-V	0.013973702
Smad3-R-V	-0.091949249
Smad4-M-V	-0.00943175000000018
Snail-M-E	-0.0421691289999998
Src-M-V	0.200411594
Src_pY416-R-C	1.065136362
Src_pY527-R-V	0.0967782610000001
STAT3_pY705-R-V	0.264641697
STAT5-alpha-R-V	0.55547203
Stathmin-R-V	-0.103560736
Syk-M-V	0.0872914659999999
TAZ-R-V	-0.05889562
TIGAR-R-V	-0.113305518
Transglutaminase-M-V	-0.058715659
TFRC-R-V	0.422838283
TSC1-R-C	-0.176140799
TTF1-R-V	-0.058549246
Tuberin-R-E	0.222830856
Tuberin_pT1462-R-V	0.119941105
VEGFR2-R-V	0.0743452560000001
EPPK1-M-E	1.096512686
XBP1-G-C	-0.0921765750000002
XRCC1-R-E	-0.182083617
YAP-R-E	-0.310878892
YAP_pS127-R-E	-0.524139004
YB-1-R-V	-0.133625912
YB-1_pS102-R-V	0.533994458
JAB1-M-C	0.0969753299999999
PARP1-R-V	0.213748312
A-Raf-R-V	0.335793655
ARID1A-R-C	0.037167466
B-Raf_pS445-R-V	0.029253753
Bcl2A1-R-V	-0.271110049
BRD4-R-V	0.231578416
c-Abl-R-V	-0.039939214
Caspase-3-R-C	-0.0101177870000001
CD26-R-V	-0.196348904
Chk1_pS296-R-V	-0.067620999
COG3-R-V	0.243847326
DUSP4-R-V	-0.235945737
ERCC5-R-C	0.0276237459999999
IGF1R_pY1135_Y1136-R-V	-0.145595769
IRF-1-R-C	0.192999425
Jak2-R-V	0.051440412
p16_INK4a-R-V	0.015849341
SHP-2_pY542-R-C	0.714914417
CDK1_pY15-R-C	0.367988459
