Sample REF	CC285FB3-7E31-4A64-BEFF-36F0909E6C8D
HER3-R-V	-0.435174804
HER3_pY1289-R-C	0.333964045
Heregulin-R-V	0.82249039
HSP70-R-C	0.30794618
IGFBP2-R-V	1.414600916
INPP4B-R-V	-0.267654313
IRS1-R-V	0.268384839
JNK_pT183_pY185-R-V	0.108198933
JNK2-R-C	-0.486293801
Ku80-R-C	-0.343547638
Lck-R-V	-0.286460462
LKB1-M-E	0.163468156
MAPK_pT202_Y204-R-V	-0.212056666
MEK1-R-V	0.649120328
MEK1_pS217_S221-R-V	0.267538758
MIG-6-M-V	0.179443719
Mre11-R-C	0.318488366
MSH2-M-V	-0.328209423
MSH6-R-C	-0.00919673799999998
mTOR-R-V	-0.56897611
mTOR_pS2448-R-C	-0.602426682
MYH11-R-V	0.583139218
Myosin-IIa_pS1943-R-V	-0.167328448
N-Cadherin-R-V	-0.077438903
N-Ras-M-V	0.262201789
NDRG1_pT346-R-V	2.672831809
NF-kB-p65_pS536-R-C	-0.359219648
NF2-R-C	-0.100364843
Notch1-R-V	0.637377121
P-Cadherin-R-C	-0.596414806
p21-R-V	0.175244348
p27-R-V	-0.00418423700000004
p27_pT157-R-C	0.129497572
p27_pT198-R-V	-0.096736083
p38_MAPK-R-V	0.094141977
p38_pT180_Y182-R-V	0.384637646
p53-R-E	-0.131981142
p62-LCK-ligand-M-C	0.118208328
p70S6K-R-V	-0.175700038
p70S6K_pT389-R-V	-0.213096052
p90RSK-R-C	-0.280488741
p90RSK_pT359_S363-R-C	-0.156305737
PAI-1-M-E	0.925795983
PARP_cleaved-M-E	0.00873772199999978
Paxillin-R-C	-1.520315515
PCNA-M-C	0.308937366
PDCD4-R-C	-0.367674182
PDK1-R-V	0.239108971
PDK1_pS241-R-V	0.053342923
PEA15-R-V	0.529325794
PEA15_pS116-R-V	-0.643630259
PI3K-p110-alpha-R-C	-0.525603588
PI3K-p85-R-V	-0.441491944
PKC-alpha-M-V	0.901181132
PKC-alpha_pS657-R-C	-1.365573927
PKC-delta_pS664-R-V	-0.47829466
PKC-pan_BetaII_pS660-R-V	-2.054672904
PR-R-V	0.115329908
PRAS40_pT246-R-V	0.147877552
PRDX1-R-V	0.21692203
PREX1-R-E	-0.177017599
PTEN-R-V	-0.671567945
Rab11-R-E	0.406611962
Rab25-R-V	0.13195426
Rad50-M-V	-0.688874472
Rad51-R-V	0.519553794
Raptor-R-V	-0.306803147
Rb-M-E	0.130045564
Rb_pS807_S811-R-V	-0.383359664
RBM15-R-V	-0.648842479
Rictor-R-C	-0.81504175
Rictor_pT1135-R-V	0.113878154
S6-R-E	0.741066323
S6_pS235_S236-R-V	-0.757319596
S6_pS240_S244-R-V	-0.537673271
SCD-M-V	-0.00425045499999999
SETD2-R-E	0.164296365
SF2-M-V	-0.943812982
Shc_pY317-R-E	-0.314685147
Smac-M-E	0.225650548
Smad1-R-V	-0.22798735
Smad3-R-V	0.158306696
Smad4-M-V	-0.0767363770000002
Snail-M-E	-0.220860741
Src-M-V	-0.185315381
Src_pY416-R-C	0.0354354210000001
Src_pY527-R-V	0.188873045
STAT3_pY705-R-V	-1.219918584
STAT5-alpha-R-V	-2.139978234
Stathmin-R-V	0.262451234
Syk-M-V	0.348823098
TAZ-R-V	0.234771506
TIGAR-R-V	0.311461293
Transglutaminase-M-V	-0.262596933
TFRC-R-V	-0.454548151
TSC1-R-C	-0.615157233
TTF1-R-V	-0.288603779
Tuberin-R-E	-1.148683493
Tuberin_pT1462-R-V	-0.321716282
VEGFR2-R-V	0.541675451
EPPK1-M-E	-0.107090085
XBP1-G-C	-0.425711717
XRCC1-R-E	0.218033018
YAP-R-E	0.804757706
YAP_pS127-R-E	0.86161697
YB-1-R-V	0.476645012
YB-1_pS102-R-V	-0.077850104
JAB1-M-C	0.300633318
PARP1-R-V	-0.195264355
A-Raf-R-V	0.309881612
ARID1A-R-C	-0.592016531
B-Raf_pS445-R-V	-0.165510622
Bcl2A1-R-V	0.424486276
BRD4-R-V	-0.887963609
c-Abl-R-V	0.243098076
Caspase-3-R-C	0.390265138
CD26-R-V	0.058586255
Chk1_pS296-R-V	0.246825687
COG3-R-V	-0.691149237
DUSP4-R-V	0.0395601429999999
ERCC5-R-C	0.246749486
IGF1R_pY1135_Y1136-R-V	0.296981222
IRF-1-R-C	0.0370614280000001
Jak2-R-V	-0.26318147
p16_INK4a-R-V	0.67326602
SHP-2_pY542-R-C	0.165436276
CDK1_pY15-R-C	-0.105857901
