Sample REF	6922055B-2C39-4A60-80D9-ADF3269CD2DB
Smad4-M-V	0.1513196
Snail-M-E	0.270155959
Src-M-V	-0.750021147
Src_pY416-R-C	-0.587216355
Src_pY527-R-V	-0.189131338
STAT3_pY705-R-V	-0.02854119
STAT5-alpha-R-V	-0.114197935
Stathmin-R-V	0.046030323
Syk-M-V	0.211302114
TAZ-R-V	0.31606991
TIGAR-R-V	0.00768851000000004
Transglutaminase-M-V	-0.44023212
TFRC-R-V	-0.936039633
TSC1-R-C	-0.014660041
TTF1-R-V	0.0921085370000001
Tuberin-R-E	0.324665048
Tuberin_pT1462-R-V	-0.195816032
VEGFR2-R-V	-0.744330869
EPPK1-M-E	-0.731787956
XBP1-G-C	-0.200403837
XRCC1-R-E	0.065845281
YAP-R-E	-0.336069858
YAP_pS127-R-E	-0.525141657
YB-1-R-V	0.08045446
YB-1_pS102-R-V	0.129209735
JAB1-M-C	0.010575232
PARP1-R-V	0.634410174
A-Raf-R-V	-0.171935896
ARID1A-R-C	0.284375253
B-Raf_pS445-R-V	-0.257356306
Bcl2A1-R-V	-0.215189057
BRD4-R-V	0.687001326
c-Abl-R-V	0.121907498
Caspase-3-R-C	0.011747697
CD26-R-V	-0.005374512
Chk1_pS296-R-V	-0.003733178
COG3-R-V	0
DUSP4-R-V	1.679439044
ERCC5-R-C	-0.508663011
IGF1R_pY1135_Y1136-R-V	-0.137475198
IRF-1-R-C	-0.137134987
Jak2-R-V	0.107535146
p16_INK4a-R-V	0.105029179
SHP-2_pY542-R-C	-0.332690539
CDK1_pY15-R-C	0.055097736
