Sample REF	E7F7A921-F39C-4DB0-AC65-0A6AE9578FC6
eIF4G-R-C	-0.214509657
ER-alpha-R-V	-0.654665395
ER-alpha_pS118-R-V	0.00956546899999999
ERCC1-M-V	0.152178324
ERK2-R-E	-0.313994357
ETS-1-R-V	-0.147098551
FASN-R-V	0.0450483240000001
Fibronectin-R-V	-0.379032889
FoxM1-R-V	0.278229262
FOXO3a-R-C	0.195435974
FOXO3a_pS318_S321-R-C	-0.154511133
G6PD-M-V	0.0304026629999998
GAB2-R-V	-0.582576349
GAPDH-M-C	0.12743656
GATA3-M-V	-0.084581059
GSK3-alpha-beta-M-V	-0.141092376
GSK3-alpha-beta_pS21_S9-R-V	0.237229153
GSK3_pS9-R-V	0.48743242
HER2-M-V	-0.587918489
HER2_pY1248-R-C	0.00111516900000008
HER3-R-V	0.651165534
HER3_pY1289-R-C	0.00264593000000002
Heregulin-R-V	-0.019204768
HSP70-R-C	0.0426432999999999
IGFBP2-R-V	1.907430737
INPP4B-R-V	-0.0646011359999998
IRS1-R-V	-0.124408187
JNK_pT183_pY185-R-V	0.378054095
JNK2-R-C	-0.138518072
Ku80-R-C	0.041100903
Lck-R-V	-0.382832228
LKB1-M-E	-0.0800969530000001
MAPK_pT202_Y204-R-V	0.673891179
MEK1-R-V	-0.024905774
MEK1_pS217_S221-R-V	0.025672769
MIG-6-M-V	-0.021842306
Mre11-R-C	0.069296574
MSH2-M-V	0.419265966
MSH6-R-C	0.340623626
mTOR-R-V	-0.198050107
mTOR_pS2448-R-C	0.242162575
MYH11-R-V	0.072930721
Myosin-IIa_pS1943-R-V	0.051174153
N-Cadherin-R-V	-0.059124373
N-Ras-M-V	0.021106644
NDRG1_pT346-R-V	1.357341545
NF-kB-p65_pS536-R-C	-0.0123531330000002
NF2-R-C	0.044217983
Notch1-R-V	0.0651879399999999
P-Cadherin-R-C	-0.0507634769999998
p21-R-V	0.156080405
p27-R-V	-0.0774320980000001
p27_pT157-R-C	0.219436348
p27_pT198-R-V	0.241222313
p38_MAPK-R-V	-0.155745049
p38_pT180_Y182-R-V	0.286592831
p53-R-E	0.201543842
p62-LCK-ligand-M-C	-0.289513636
p70S6K-R-V	0.156857295
p70S6K_pT389-R-V	0.317612252
p90RSK-R-C	-0.409701576
p90RSK_pT359_S363-R-C	0.384342121
PAI-1-M-E	0.142901361
PARP_cleaved-M-E	0.312991394
Paxillin-R-C	-0.572016754
PCNA-M-C	-0.174338024
PDCD4-R-C	0.927465777
PDK1-R-V	-0.27318358
PDK1_pS241-R-V	-0.515858683
PEA15-R-V	-0.532120784
PEA15_pS116-R-V	-0.17476696
PI3K-p110-alpha-R-C	0.465813244
PI3K-p85-R-V	-0.119438417
PKC-alpha-M-V	-0.279727737
PKC-alpha_pS657-R-C	-0.439804726
PKC-delta_pS664-R-V	-0.10740473
PKC-pan_BetaII_pS660-R-V	0.066302972
PR-R-V	-0.00530802199999991
PRAS40_pT246-R-V	0.4281828
PRDX1-R-V	-0.049379633
PREX1-R-E	-0.139847917
PTEN-R-V	-0.127265947
Rab11-R-E	-0.102810653
Rab25-R-V	0.340411771
Rad50-M-V	-0.121401383
Rad51-R-V	0.09204835
Raptor-R-V	0.15073869
Rb-M-E	-0.050830962
Rb_pS807_S811-R-V	1.007948461
RBM15-R-V	0.065930192
Rictor-R-C	-0.408713005
Rictor_pT1135-R-V	0.078129403
S6-R-E	-0.082887759
S6_pS235_S236-R-V	0.825208878
S6_pS240_S244-R-V	0.575528044
SCD-M-V	0.019847261
SETD2-R-E	-0.0181351999999999
SF2-M-V	0.155836912
Shc_pY317-R-E	0.580410028
Smac-M-E	-0.101449193
Smad1-R-V	0.492519116
Smad3-R-V	-0.015754382
Smad4-M-V	0.17787942
Snail-M-E	-0.166139053
Src-M-V	0.027029999
Src_pY416-R-C	0.513018375
Src_pY527-R-V	0.548606599
STAT3_pY705-R-V	-0.058752386
STAT5-alpha-R-V	-0.952635381
Stathmin-R-V	0.152133654
Syk-M-V	-0.197728583
TAZ-R-V	-0.011188457
TIGAR-R-V	-0.232066995
Transglutaminase-M-V	-0.471745152
TFRC-R-V	-0.191857078
TSC1-R-C	-0.39596977
TTF1-R-V	-0.0863775529999999
Tuberin-R-E	-0.383405543
Tuberin_pT1462-R-V	0.146516015
VEGFR2-R-V	-0.40292986
EPPK1-M-E	0.51361146
XBP1-G-C	-0.623076695
XRCC1-R-E	0.377691505
YAP-R-E	-0.119782067
YAP_pS127-R-E	-0.735149386
YB-1-R-V	0.037962376
YB-1_pS102-R-V	0.116096956
JAB1-M-C	0.239438225
PARP1-R-V	0.899487701
A-Raf-R-V	-0.077996901
ARID1A-R-C	0.515979027
B-Raf_pS445-R-V	0.055459406
Bcl2A1-R-V	0.086205924
BRD4-R-V	0.77040141
c-Abl-R-V	-0.089158037
Caspase-3-R-C	0.301483866
CD26-R-V	-0.165934636
Chk1_pS296-R-V	0.095648834
COG3-R-V	-0.539065991
DUSP4-R-V	-0.0296409940000002
ERCC5-R-C	0.153299771
IGF1R_pY1135_Y1136-R-V	0.0258647290000001
IRF-1-R-C	-0.25953903
Jak2-R-V	-0.0848567319999999
p16_INK4a-R-V	0.10006132
SHP-2_pY542-R-C	0.510529377
CDK1_pY15-R-C	0.791442433
