Sample REF	852A3427-BBBC-436E-884F-B58AF5A7ACF3
ER-alpha_pS118-R-V	0.114532734
ERCC1-M-V	0.0756791970000001
ERK2-R-E	0.026430806
ETS-1-R-V	0.041813758
FASN-R-V	-0.985071657
Fibronectin-R-V	-0.722010298
FoxM1-R-V	0.349033641
FOXO3a-R-C	-0.071759685
FOXO3a_pS318_S321-R-C	0.088239474
G6PD-M-V	-0.0687322770000001
GAB2-R-V	0.339115389
GAPDH-M-C	0.208194281
GATA3-M-V	0.311065777
GSK3-alpha-beta-M-V	0.028179437
GSK3-alpha-beta_pS21_S9-R-V	0.866586184
GSK3_pS9-R-V	0.922054968
HER2-M-V	-0.184948024
HER2_pY1248-R-C	0.362607938
HER3-R-V	-0.0955713249999999
HER3_pY1289-R-C	-0.1320673
Heregulin-R-V	-0.0640161500000001
HSP70-R-C	0.478668964
IGFBP2-R-V	-0.883345245
INPP4B-R-V	-0.0991094749999997
IRS1-R-V	-0.115887415
JNK_pT183_pY185-R-V	-0.109087918
JNK2-R-C	-0.215403315
Ku80-R-C	0.008371878
Lck-R-V	0.533733965
LKB1-M-E	0.106297021
MAPK_pT202_Y204-R-V	0.736411536
MEK1-R-V	-0.435938497
MEK1_pS217_S221-R-V	0.136578869
MIG-6-M-V	-0.089236293
Mre11-R-C	-0.018428206
MSH2-M-V	-0.00130063700000044
MSH6-R-C	-0.090093473
mTOR-R-V	-0.0578863880000001
mTOR_pS2448-R-C	0.142188198
MYH11-R-V	-1.426840037
Myosin-IIa_pS1943-R-V	0.169914776
N-Cadherin-R-V	-0.050517591
N-Ras-M-V	0.01021382
NDRG1_pT346-R-V	3.05830963
NF-kB-p65_pS536-R-C	0.18732214
NF2-R-C	0.062826833
Notch1-R-V	0.130628609
P-Cadherin-R-C	-0.049539426
p21-R-V	0.623757335
p27-R-V	-0.208968556
p27_pT157-R-C	0.018581279
p27_pT198-R-V	-0.075946461
p38_MAPK-R-V	0.010754081
p38_pT180_Y182-R-V	0.234448732
p53-R-E	0.0430309150000001
p62-LCK-ligand-M-C	0.186326639
p70S6K-R-V	0.221809496
p70S6K_pT389-R-V	0.214534603
p90RSK-R-C	0.202950934
p90RSK_pT359_S363-R-C	0.533733288
PAI-1-M-E	0.19151613
PARP_cleaved-M-E	-0.02071885
Paxillin-R-C	-0.271631413
PCNA-M-C	-0.088856603
PDCD4-R-C	-0.193203206
PDK1-R-V	-0.074738398
PDK1_pS241-R-V	0.048878009
PEA15-R-V	-0.341605986
PEA15_pS116-R-V	-0.089660888
PI3K-p110-alpha-R-C	-0.112957927
PI3K-p85-R-V	0.342283847
PKC-alpha-M-V	-0.351392073
PKC-alpha_pS657-R-C	-0.298841967
PKC-delta_pS664-R-V	-0.088805949
PKC-pan_BetaII_pS660-R-V	0.836425959
PR-R-V	-0.108124854
PRAS40_pT246-R-V	0.477359855
PRDX1-R-V	-0.182103375
PREX1-R-E	0.532528601
PTEN-R-V	-0.13419455
Rab11-R-E	-0.105524764
Rab25-R-V	-0.393159255
Rad50-M-V	-0.151940355
Rad51-R-V	0.220932772
Raptor-R-V	0
Rb-M-E	-0.031054014
Rb_pS807_S811-R-V	0.420319947
RBM15-R-V	0.182427132
Rictor-R-C	-0.236773077
Rictor_pT1135-R-V	-0.014961103
S6-R-E	-0.142775396
S6_pS235_S236-R-V	-0.0985658759999999
S6_pS240_S244-R-V	-0.249782197
SCD-M-V	-0.0938131079999999
SETD2-R-E	-0.0921176839999998
SF2-M-V	0.227996392
Shc_pY317-R-E	0.0663681130000002
Smac-M-E	-0.256152671
Smad1-R-V	-0.087081989
Smad3-R-V	-0.00453646499999999
Smad4-M-V	-0.033373017
Snail-M-E	0.0413843820000003
Src-M-V	-0.204857893
Src_pY416-R-C	1.626224159
Src_pY527-R-V	0.00794203100000007
STAT3_pY705-R-V	-0.00904521499999994
STAT5-alpha-R-V	0.870452857
Stathmin-R-V	-0.034459087
Syk-M-V	0.729338011
TAZ-R-V	-0.245944975
TIGAR-R-V	0.047779974
Transglutaminase-M-V	0.333659632
TFRC-R-V	-1.002175179
TSC1-R-C	0.011845875
TTF1-R-V	-0.0671610029999999
Tuberin-R-E	0.383569252
Tuberin_pT1462-R-V	0.452773893
VEGFR2-R-V	-0.594947219
EPPK1-M-E	-0.289974204
XBP1-G-C	-0.364431603
XRCC1-R-E	-0.082375216
YAP-R-E	-0.416621499
YAP_pS127-R-E	-0.191361259
YB-1-R-V	-0.15305658
YB-1_pS102-R-V	0.442258783
JAB1-M-C	-0.042290301
PARP1-R-V	-0.232614387
A-Raf-R-V	0.325680166
ARID1A-R-C	-0.055357091
B-Raf_pS445-R-V	0.077112031
Bcl2A1-R-V	-0.018708288
BRD4-R-V	0.157163344
c-Abl-R-V	-0.14503054
Caspase-3-R-C	-0.013267057
CD26-R-V	-0.288223743
Chk1_pS296-R-V	0.135630449
COG3-R-V	-0.032135194
DUSP4-R-V	-0.271243152
ERCC5-R-C	0.234843092
IGF1R_pY1135_Y1136-R-V	-0.039796169
IRF-1-R-C	0.317243415
Jak2-R-V	0.400840739
p16_INK4a-R-V	0.09714674
SHP-2_pY542-R-C	0.447658522
CDK1_pY15-R-C	0.197490366
