Sample REF	42E384BE-242F-4BBB-87B1-FAF9D49D8C3D
Claudin-7-R-V	-1.631077413
Collagen_VI-R-V	0.054577258
Cyclin_B1-R-V	-0.423255137
Cyclin_D1-R-V	-0.018893099
Cyclin_E1-M-V	-0.23662018
Cyclin_E2-R-C	0.07016741
DJ-1-R-E	-0.039346223
Dvl3-R-V	-0.035894325
E-Cadherin-R-V	0.535976674
eEF2-R-C	0.135123814
eEF2K-R-V	-0.356058234
EGFR-R-V	0.111257443
EGFR_pY1068-R-C	0
EGFR_pY1173-R-V	-0.056121832
eIF4E-R-V	0.534466386
eIF4G-R-C	-0.218469182
ER-alpha-R-V	0.0388727120000001
ER-alpha_pS118-R-V	-0.0169821509999999
ERCC1-M-V	0.0455923950000001
ERK2-R-E	0.014682559
ETS-1-R-V	-0.131167168
FASN-R-V	1.000491206
Fibronectin-R-V	0.232116835
FoxM1-R-V	-0.235154818
FOXO3a-R-C	0.204588029
FOXO3a_pS318_S321-R-C	-0.093433944
G6PD-M-V	0.143227258
GAB2-R-V	0.17118433
GAPDH-M-C	-0.215058741
GATA3-M-V	0.307444473
GSK3-alpha-beta-M-V	-0.015730981
GSK3-alpha-beta_pS21_S9-R-V	-0.059244916
GSK3_pS9-R-V	-0.200814158
HER2-M-V	0.029339385
HER2_pY1248-R-C	0.04616692
HER3-R-V	-0.217293291
HER3_pY1289-R-C	0.10014452
Heregulin-R-V	0.061022181
HSP70-R-C	0.800661255
IGFBP2-R-V	1.051959202
INPP4B-R-V	-0.0490872309999997
IRS1-R-V	-0.106440578
JNK_pT183_pY185-R-V	0.159737767
JNK2-R-C	0.026012825
Ku80-R-C	-0.0554610529999999
Lck-R-V	0.087061377
LKB1-M-E	0.106181143
MAPK_pT202_Y204-R-V	-0.198980202
MEK1-R-V	0.387415468
MEK1_pS217_S221-R-V	-0.029841172
MIG-6-M-V	-0.00599679399999997
Mre11-R-C	0.177149782
MSH2-M-V	0.262309813
MSH6-R-C	0.074796594
mTOR-R-V	-0.380121501
mTOR_pS2448-R-C	-0.351024132
MYH11-R-V	-0.318947575
Myosin-IIa_pS1943-R-V	0.298061801
N-Cadherin-R-V	0.065826566
N-Ras-M-V	0.050310555
NDRG1_pT346-R-V	-0.626793902
NF-kB-p65_pS536-R-C	-0.0246560980000001
NF2-R-C	0.113210243
Notch1-R-V	0.263077681
P-Cadherin-R-C	0.123969432
p21-R-V	-1.291323812
p27-R-V	0.27473788
p27_pT157-R-C	-0.098111674
p27_pT198-R-V	0.153764099
p38_MAPK-R-V	0.417928202
p38_pT180_Y182-R-V	0.309024801
p53-R-E	0.308661956
p62-LCK-ligand-M-C	0.283093466
p70S6K-R-V	0.24206747
p70S6K_pT389-R-V	0.0425388689999999
p90RSK-R-C	-0.865626169
p90RSK_pT359_S363-R-C	-0.171478316
PAI-1-M-E	-0.0159063530000001
PARP_cleaved-M-E	-0.0694741460000001
Paxillin-R-C	-0.945011366
PCNA-M-C	0.037744162
PDCD4-R-C	0.140970521
PDK1-R-V	-0.071774391
PDK1_pS241-R-V	0.029592011
PEA15-R-V	0.312453151
PEA15_pS116-R-V	-0.04347832
PI3K-p110-alpha-R-C	0.162756949
PI3K-p85-R-V	0.159661894
PKC-alpha-M-V	0.239658749
PKC-alpha_pS657-R-C	-0.077615064
PKC-delta_pS664-R-V	-0.159437964
PKC-pan_BetaII_pS660-R-V	-0.705752399
PR-R-V	-0.0673000529999999
PRAS40_pT246-R-V	-0.206388782
PRDX1-R-V	-0.179748007
PREX1-R-E	0.256392866
PTEN-R-V	0.296009586
Rab11-R-E	0.241794964
Rab25-R-V	0.64299496
Rad50-M-V	0.100283693
Rad51-R-V	0.61290685
Raptor-R-V	-0.123872836
Rb-M-E	-0.211938409
Rb_pS807_S811-R-V	-0.323311158
RBM15-R-V	-0.239178571
Rictor-R-C	-0.337052512
Rictor_pT1135-R-V	0
S6-R-E	0.070684755
S6_pS235_S236-R-V	-0.644412741
S6_pS240_S244-R-V	-0.505996956
SCD-M-V	-0.143364395
SETD2-R-E	1.084848236
SF2-M-V	-0.145623581
Shc_pY317-R-E	0.0711834320000002
Smac-M-E	-0.00989286
Smad1-R-V	0.02250093
Smad3-R-V	0
Smad4-M-V	0.078615106
Snail-M-E	-0.055090383
Src-M-V	0.871367277
Src_pY416-R-C	-0.345261701
Src_pY527-R-V	0
STAT3_pY705-R-V	0.014382366
STAT5-alpha-R-V	-0.49118166
Stathmin-R-V	-0.088381322
Syk-M-V	0.706432426
TAZ-R-V	-0.094804144
TIGAR-R-V	-0.191399993
Transglutaminase-M-V	-0.163125623
TFRC-R-V	0.0921917669999999
TSC1-R-C	-0.146201414
TTF1-R-V	-0.138738696
Tuberin-R-E	-0.036639245
Tuberin_pT1462-R-V	0.026658936
VEGFR2-R-V	0.446123828
EPPK1-M-E	-1.308192333
XBP1-G-C	-0.0370393789999999
XRCC1-R-E	0.141294429
YAP-R-E	-0.150055633
YAP_pS127-R-E	-0.183912934
YB-1-R-V	0.112549398
YB-1_pS102-R-V	-0.177170903
JAB1-M-C	0.213156316
PARP1-R-V	0.426982339
A-Raf-R-V	0.121916227
ARID1A-R-C	0.29944916
B-Raf_pS445-R-V	0.227221448
Bcl2A1-R-V	0.010624629
BRD4-R-V	0.144424244
c-Abl-R-V	-0.053544193
Caspase-3-R-C	-0.0215109600000001
CD26-R-V	-0.134879622
Chk1_pS296-R-V	0.049705772
COG3-R-V	-0.438085426
DUSP4-R-V	-0.114101932
ERCC5-R-C	-0.363619967
IGF1R_pY1135_Y1136-R-V	-0.010153389
IRF-1-R-C	-0.562628531
Jak2-R-V	-0.259431239
p16_INK4a-R-V	0.566737335
SHP-2_pY542-R-C	-0.212958978
CDK1_pY15-R-C	0
