Sample REF	DE361C5C-452A-4E8B-AC77-E037AC111087
PREX1-R-E	0.198083429
PTEN-R-V	-0.726670046
Rab11-R-E	-0.120153229
Rab25-R-V	0.255641271
Rad50-M-V	0.000367899000000116
Rad51-R-V	-0.348079828
Raptor-R-V	0.226737692
Rb-M-E	0.0173265079999999
Rb_pS807_S811-R-V	0.433933549
RBM15-R-V	0.302847264
Rictor-R-C	-0.746148369
Rictor_pT1135-R-V	-0.100179413
S6-R-E	0.325124965
S6_pS235_S236-R-V	-0.957852763
S6_pS240_S244-R-V	-0.619803569
SCD-M-V	-0.0120055359999999
SETD2-R-E	-0.233683196
SF2-M-V	0.39977797
Shc_pY317-R-E	-0.193784542
Smac-M-E	0.458746801
Smad1-R-V	-0.0734389489999999
Smad3-R-V	-0.0406301179999999
Smad4-M-V	0.0935665539999999
Snail-M-E	0.0623978040000002
Src-M-V	-0.464310088
Src_pY416-R-C	-0.575126162
Src_pY527-R-V	-1.272309556
STAT3_pY705-R-V	-0.365790895
STAT5-alpha-R-V	-0.520343937
Stathmin-R-V	-0.120908215
Syk-M-V	-0.806262546
TAZ-R-V	0.039744443
TIGAR-R-V	-0.027990275
Transglutaminase-M-V	-0.207740331
TFRC-R-V	0.042593637
TSC1-R-C	-0.041612042
TTF1-R-V	0.0781949820000001
Tuberin-R-E	-0.013790858
Tuberin_pT1462-R-V	0.140570652
VEGFR2-R-V	-0.381598006
EPPK1-M-E	0.261584911
XBP1-G-C	0.640635805
XRCC1-R-E	0.00170498200000008
YAP-R-E	0.412243553
YAP_pS127-R-E	-0.0361847829999999
YB-1-R-V	-0.060656521
YB-1_pS102-R-V	-0.213573135
JAB1-M-C	0.129220651
PARP1-R-V	0.452267809
A-Raf-R-V	0.0482859830000001
ARID1A-R-C	0.138228081
B-Raf_pS445-R-V	0.177443468
Bcl2A1-R-V	0.303364025
BRD4-R-V	0.390817023
c-Abl-R-V	-0.049056902
Caspase-3-R-C	0.0762913000000001
CD26-R-V	-0.079412923
Chk1_pS296-R-V	-0.0739927959999999
COG3-R-V	0.160920587
DUSP4-R-V	0.270618779
ERCC5-R-C	0.122568807
IGF1R_pY1135_Y1136-R-V	-0.0338186129999999
IRF-1-R-C	-0.0959270769999999
Jak2-R-V	-0.0119307299999999
p16_INK4a-R-V	0.068477403
SHP-2_pY542-R-C	-0.555049152
CDK1_pY15-R-C	-0.252753115
