Sample REF	C4584FD2-F3A6-4475-96F1-7897310781FA
cIAP-R-V	-0.188108643
Claudin-7-R-V	0.754858281
Collagen_VI-R-V	-0.17110216
Cyclin_B1-R-V	0.739057529
Cyclin_D1-R-V	-0.128085153
Cyclin_E1-M-V	0.227463768
Cyclin_E2-R-C	0.57516158
DJ-1-R-E	-0.210069326
Dvl3-R-V	0.265020741
E-Cadherin-R-V	0.351475638
eEF2-R-C	0.245665183
eEF2K-R-V	0.882099801
EGFR-R-V	0.424696389
EGFR_pY1068-R-C	-0.426183873
EGFR_pY1173-R-V	-0.014447746
eIF4E-R-V	0.466996302
eIF4G-R-C	0.821207833
ER-alpha-R-V	-0.491263698
ER-alpha_pS118-R-V	0.141056995
ERCC1-M-V	-0.0238284939999999
ERK2-R-E	0.302159284
ETS-1-R-V	0
FASN-R-V	-0.211862227
Fibronectin-R-V	-0.252596917
FoxM1-R-V	-0.0200612419999999
FOXO3a-R-C	0.011557264
FOXO3a_pS318_S321-R-C	-0.0678128639999999
G6PD-M-V	0.591020522
GAB2-R-V	-0.333383528
GAPDH-M-C	0.542088284
GATA3-M-V	-0.300933983
GSK3-alpha-beta-M-V	0.13635955
GSK3-alpha-beta_pS21_S9-R-V	0.076080927
GSK3_pS9-R-V	-0.0586171770000001
HER2-M-V	0.323050512
HER2_pY1248-R-C	0.150065172
HER3-R-V	0.043139235
HER3_pY1289-R-C	0.351660353
Heregulin-R-V	-0.0188504799999999
HSP70-R-C	-0.0470676629999999
IGFBP2-R-V	-0.445751365
INPP4B-R-V	-0.220097236
IRS1-R-V	-0.223008311
JNK_pT183_pY185-R-V	-0.156764452
JNK2-R-C	0.00244946600000012
Ku80-R-C	0.127036727
Lck-R-V	-0.013439519
LKB1-M-E	-0.070859138
MAPK_pT202_Y204-R-V	-0.852589407
MEK1-R-V	0.466866382
MEK1_pS217_S221-R-V	-0.141659854
MIG-6-M-V	0.044804594
Mre11-R-C	0.00419300400000006
MSH2-M-V	0.30643351
MSH6-R-C	0.470091144
mTOR-R-V	-0.031540901
mTOR_pS2448-R-C	-0.509060297
MYH11-R-V	-0.062030912
Myosin-IIa_pS1943-R-V	0.149932333
N-Cadherin-R-V	-0.027091795
N-Ras-M-V	0.053358572
NDRG1_pT346-R-V	1.033979868
NF-kB-p65_pS536-R-C	-0.379774655
NF2-R-C	0.157385785
Notch1-R-V	0.382840708
P-Cadherin-R-C	-0.100419956
p21-R-V	-0.052351075
p27-R-V	0.0614459859999999
p27_pT157-R-C	0.061515208
p27_pT198-R-V	-0.083793639
p38_MAPK-R-V	-0.406192941
p38_pT180_Y182-R-V	-1.401734346
p53-R-E	0.0461683630000001
p62-LCK-ligand-M-C	0.038368467
p70S6K-R-V	0.350440785
p70S6K_pT389-R-V	-0.153584164
p90RSK-R-C	0.348101869
p90RSK_pT359_S363-R-C	-0.223206353
PAI-1-M-E	-0.120571758
PARP_cleaved-M-E	-0.00667894600000002
Paxillin-R-C	-0.0824986699999999
PCNA-M-C	0.393987235
PDCD4-R-C	-0.429170195
PDK1-R-V	0.234678124
PDK1_pS241-R-V	0.226650376
PEA15-R-V	-0.026925946
PEA15_pS116-R-V	-0.00753457499999999
PI3K-p110-alpha-R-C	0.13888718
PI3K-p85-R-V	0.439095269
PKC-alpha-M-V	-0.390599717
PKC-alpha_pS657-R-C	-1.039050267
PKC-delta_pS664-R-V	-0.140411996
PKC-pan_BetaII_pS660-R-V	-0.591535933
PR-R-V	0.0116347210000001
PRAS40_pT246-R-V	0.0264871850000001
PRDX1-R-V	0.061373619
PREX1-R-E	-0.184178035
PTEN-R-V	-1.854608206
Rab11-R-E	-0.108313725
Rab25-R-V	-0.145021936
Rad50-M-V	-0.436658959
Rad51-R-V	-0.119513435
Raptor-R-V	0.020255396
Rb-M-E	-0.0733394370000002
Rb_pS807_S811-R-V	0.0579979420000001
RBM15-R-V	-0.074063452
Rictor-R-C	0.296634037
Rictor_pT1135-R-V	0.034905438
S6-R-E	0.181490115
S6_pS235_S236-R-V	-1.580679128
S6_pS240_S244-R-V	-0.865795844
SCD-M-V	0.043139235
SETD2-R-E	0.139625985
SF2-M-V	-0.0571099450000001
Shc_pY317-R-E	-0.435327477
Smac-M-E	-0.07823413
Smad1-R-V	0.297363885
Smad3-R-V	-0.025635186
Smad4-M-V	0.0729215619999999
Snail-M-E	0.0611726790000003
Src-M-V	0.152758238
Src_pY416-R-C	-1.090668421
Src_pY527-R-V	-2.337233798
STAT3_pY705-R-V	-0.747990585
STAT5-alpha-R-V	0.204565132
Stathmin-R-V	0.075426918
Syk-M-V	-0.314909484
TAZ-R-V	-0.081154912
TIGAR-R-V	0.076827313
Transglutaminase-M-V	-0.045870929
TFRC-R-V	1.11326227
TSC1-R-C	0.0877629859999999
TTF1-R-V	0.171792176
Tuberin-R-E	0.047486815
Tuberin_pT1462-R-V	-0.0699181930000001
VEGFR2-R-V	0.710334665
EPPK1-M-E	1.259701458
XBP1-G-C	-0.10242499
XRCC1-R-E	-0.245965134
YAP-R-E	-0.123629925
YAP_pS127-R-E	-0.754773939
YB-1-R-V	0.248634536
YB-1_pS102-R-V	-0.015996709
JAB1-M-C	0.0279835199999999
PARP1-R-V	0.198031026
A-Raf-R-V	0.128876765
ARID1A-R-C	0.448074105
B-Raf_pS445-R-V	-0.505592009
Bcl2A1-R-V	0.18271078
BRD4-R-V	0.503726644
c-Abl-R-V	-0.025805397
Caspase-3-R-C	0.315973073
CD26-R-V	0.0617523979999999
Chk1_pS296-R-V	-0.037681762
COG3-R-V	0.153413967
DUSP4-R-V	-0.199070785
ERCC5-R-C	-0.282457958
IGF1R_pY1135_Y1136-R-V	-0.00332125499999997
IRF-1-R-C	0.3208713
Jak2-R-V	0.307659501
p16_INK4a-R-V	-0.297205456
SHP-2_pY542-R-C	-0.422196767
CDK1_pY15-R-C	-0.562913265
