Sample REF	E9FE952A-0600-4871-B650-997628E6A1C0
TFRC-R-V	-0.0106781870000001
TSC1-R-C	0.0702230789999999
TTF1-R-V	0.117961877
Tuberin-R-E	-0.00779246300000003
Tuberin_pT1462-R-V	-0.00734937600000007
VEGFR2-R-V	-0.137061788
EPPK1-M-E	0.317341403
XBP1-G-C	0.287272726
XRCC1-R-E	-0.098466552
YAP-R-E	-0.123177596
YAP_pS127-R-E	-0.074402209
YB-1-R-V	-0.069026303
YB-1_pS102-R-V	-0.171688257
JAB1-M-C	0.0470917199999998
PARP1-R-V	0.121522317
A-Raf-R-V	0.090136668
ARID1A-R-C	0.180779485
B-Raf_pS445-R-V	-0.098703748
Bcl2A1-R-V	-0.014864298
BRD4-R-V	0.194444328
c-Abl-R-V	-0.177121827
Caspase-3-R-C	-0.087725863
CD26-R-V	0.0101108679999999
Chk1_pS296-R-V	0.0223140059999999
COG3-R-V	-0.0924185700000001
DUSP4-R-V	0.252724369
ERCC5-R-C	0.15132625
IGF1R_pY1135_Y1136-R-V	0.0142231310000001
IRF-1-R-C	-0.106582012
Jak2-R-V	0.107397921
p16_INK4a-R-V	-0.397798811
SHP-2_pY542-R-C	-0.0752011989999999
CDK1_pY15-R-C	-0.423103485
