Sample REF	03EE5C70-AD05-49F8-83F9-AB7C4A1F323A
PAI-1-M-E	-0.461016782
PARP_cleaved-M-E	0.027241842
Paxillin-R-C	0.20424628
PCNA-M-C	-0.248375724
PDCD4-R-C	0.580063738
PDK1-R-V	-0.119872549
PDK1_pS241-R-V	-0.314555699
PEA15-R-V	-0.168762172
PEA15_pS116-R-V	0.775923839
PI3K-p110-alpha-R-C	-0.174361218
PI3K-p85-R-V	-0.32788879
PKC-alpha-M-V	0.480636003
PKC-alpha_pS657-R-C	0.812959699
PKC-delta_pS664-R-V	0.11592645
PKC-pan_BetaII_pS660-R-V	0.605008849
PR-R-V	0.013980506
PRAS40_pT246-R-V	0.288660005
PRDX1-R-V	-0.276688868
PREX1-R-E	-0.483610978
PTEN-R-V	0.414067367
Rab11-R-E	0.287197393
Rab25-R-V	-1.583138812
Rad50-M-V	0.280077584
Rad51-R-V	-0.294474059
Raptor-R-V	0.116735615
Rb-M-E	0.165558906
Rb_pS807_S811-R-V	1.078324733
RBM15-R-V	0.440568183
Rictor-R-C	-0.31356029
Rictor_pT1135-R-V	0.023643914
S6-R-E	-0.0379558239999999
S6_pS235_S236-R-V	0.826144176
S6_pS240_S244-R-V	0.746270836
SCD-M-V	0.0220891430000001
SETD2-R-E	-0.086152252
SF2-M-V	-0.076299396
Shc_pY317-R-E	-0.306806853
Smac-M-E	0.098349722
Smad1-R-V	0.111382442
Smad3-R-V	-0.083566839
Smad4-M-V	0.040264514
Snail-M-E	0.251151769
Src-M-V	-0.168024598
Src_pY416-R-C	-0.264886248
Src_pY527-R-V	0.359827117
STAT3_pY705-R-V	-0.185138341
STAT5-alpha-R-V	-0.918622316
Stathmin-R-V	-0.226561404
Syk-M-V	-0.0484595579999999
TAZ-R-V	0.103319807
TIGAR-R-V	0.065766018
Transglutaminase-M-V	-0.08337381
TFRC-R-V	-0.538639241
TSC1-R-C	0.00226468800000001
TTF1-R-V	1.193605899
Tuberin-R-E	0.024656901
Tuberin_pT1462-R-V	0.106700092
VEGFR2-R-V	-0.243473968
EPPK1-M-E	-2.323844235
XBP1-G-C	0.211152456
XRCC1-R-E	0.133514517
YAP-R-E	-0.068145722
YAP_pS127-R-E	-0.00471966899999998
YB-1-R-V	0.153920504
YB-1_pS102-R-V	0.668611077
JAB1-M-C	-0.121866954
PARP1-R-V	-0.064348603
A-Raf-R-V	-0.203944534
ARID1A-R-C	-0.848077301
B-Raf_pS445-R-V	0.252991775
Bcl2A1-R-V	-0.065887539
BRD4-R-V	-0.0488041259999998
c-Abl-R-V	0.086932988
Caspase-3-R-C	-0.052765438
CD26-R-V	0.348704644
Chk1_pS296-R-V	-0.177242095
COG3-R-V	0.309519322
DUSP4-R-V	0.0410044869999999
ERCC5-R-C	-0.00419273600000003
IGF1R_pY1135_Y1136-R-V	-0.149116117
IRF-1-R-C	0.101864104
Jak2-R-V	0.190240479
p16_INK4a-R-V	-1.302524294
SHP-2_pY542-R-C	-0.029672575
CDK1_pY15-R-C	-0.055618035
