Sample REF	85E20D48-3D30-4459-BFB5-95F947CED890
GATA3-M-V	-0.198314992
GSK3-alpha-beta-M-V	0
GSK3-alpha-beta_pS21_S9-R-V	-0.420683525
GSK3_pS9-R-V	-0.708709429
HER2-M-V	-0.812016887
HER2_pY1248-R-C	-0.214700338
HER3-R-V	-0.565631562
HER3_pY1289-R-C	-0.011784179
Heregulin-R-V	0.0644866670000001
HSP70-R-C	0.604474539
IGFBP2-R-V	2.149585479
INPP4B-R-V	-0.136177199
IRS1-R-V	0.030280604
JNK_pT183_pY185-R-V	-0.00248924499999992
JNK2-R-C	-0.318842533
Ku80-R-C	-0.600613297
Lck-R-V	0.176219985
LKB1-M-E	0.0857729920000001
MAPK_pT202_Y204-R-V	-0.629236256
MEK1-R-V	0.103192822
MEK1_pS217_S221-R-V	0.0889126220000001
MIG-6-M-V	0.015136644
Mre11-R-C	0.201968502
MSH2-M-V	-0.0485888410000003
MSH6-R-C	-0.439529686
mTOR-R-V	-0.664517055
mTOR_pS2448-R-C	-0.533726428
MYH11-R-V	2.165829351
Myosin-IIa_pS1943-R-V	-0.290916219
N-Cadherin-R-V	0.391361715
N-Ras-M-V	0.11807627
NDRG1_pT346-R-V	-0.733319885
NF-kB-p65_pS536-R-C	-0.122335068
NF2-R-C	-0.110220844
Notch1-R-V	-0.229946024
P-Cadherin-R-C	0.0762859149999998
p21-R-V	-0.024106689
p27-R-V	0.162891173
p27_pT157-R-C	-0.011250733
p27_pT198-R-V	0.115073941
p38_MAPK-R-V	0.367223794
p38_pT180_Y182-R-V	0.150827119
p53-R-E	0.325657085
p62-LCK-ligand-M-C	-0.0551551929999999
p70S6K-R-V	-0.500794017
p70S6K_pT389-R-V	0.074250362
p90RSK-R-C	-0.547347414
p90RSK_pT359_S363-R-C	-0.111267112
PAI-1-M-E	0.777687673
PARP_cleaved-M-E	-0.02830955
Paxillin-R-C	-0.889995207
PCNA-M-C	-0.0967824249999999
PDCD4-R-C	-0.390324408
PDK1-R-V	0.00267460100000005
PDK1_pS241-R-V	0.010110936
PEA15-R-V	0.389269347
PEA15_pS116-R-V	0.0745318710000001
PI3K-p110-alpha-R-C	0.081824184
PI3K-p85-R-V	0.251130126
PKC-alpha-M-V	-0.0671926429999999
PKC-alpha_pS657-R-C	0.0646382769999999
PKC-delta_pS664-R-V	-0.141460882
PKC-pan_BetaII_pS660-R-V	-0.643837635
PR-R-V	0.0848005160000002
PRAS40_pT246-R-V	-0.285890071
PRDX1-R-V	0.162663971
PREX1-R-E	0.0907975469999999
PTEN-R-V	-0.653690658
Rab11-R-E	0.126185244
Rab25-R-V	0.047160381
Rad50-M-V	0.0413411560000002
Rad51-R-V	0.767732288
Raptor-R-V	0.00235718800000005
Rb-M-E	0.0142212270000001
Rb_pS807_S811-R-V	-0.219444574
RBM15-R-V	-1.373954175
Rictor-R-C	1.916664866
Rictor_pT1135-R-V	-0.02460527
S6-R-E	-0.135325332
S6_pS235_S236-R-V	0.088372191
S6_pS240_S244-R-V	-0.113287254
SCD-M-V	0.0515631950000001
SETD2-R-E	0.0641807110000002
SF2-M-V	-0.0755595289999998
Shc_pY317-R-E	-0.15232724
Smac-M-E	0.0160031320000001
Smad1-R-V	-0.131586469
Smad3-R-V	0.0677868740000001
Smad4-M-V	-0.0296249270000001
Snail-M-E	-0.202063595999999
Src-M-V	0.00671774200000005
Src_pY416-R-C	-0.158743065
Src_pY527-R-V	-0.930236624
STAT3_pY705-R-V	-0.135906404
STAT5-alpha-R-V	-0.834104112
Stathmin-R-V	0.158766075
Syk-M-V	-0.0198064239999999
TAZ-R-V	0.112263161
TIGAR-R-V	0.0865160100000001
Transglutaminase-M-V	-0.020523716
TFRC-R-V	0.295502759
TSC1-R-C	0.00761536800000001
TTF1-R-V	-0.036234845
Tuberin-R-E	-0.953765376
Tuberin_pT1462-R-V	-0.218984886
VEGFR2-R-V	-0.00410136299999997
EPPK1-M-E	-0.115736561
XBP1-G-C	0.195236182
XRCC1-R-E	-0.0841954049999999
YAP-R-E	0.225274575
YAP_pS127-R-E	0.0494234800000001
YB-1-R-V	0.164730111
YB-1_pS102-R-V	-0.09256722
JAB1-M-C	0.196311467
PARP1-R-V	-0.214438005
A-Raf-R-V	0.029572334
ARID1A-R-C	-0.227148889
B-Raf_pS445-R-V	0.0652090680000001
Bcl2A1-R-V	0.195482754
BRD4-R-V	-0.326584547
c-Abl-R-V	0.0431325770000001
Caspase-3-R-C	0.112816684
CD26-R-V	7.36879999999607e-05
Chk1_pS296-R-V	0.194581198
COG3-R-V	-0.709807488
DUSP4-R-V	-0.000378088000000054
ERCC5-R-C	-0.00851695899999994
IGF1R_pY1135_Y1136-R-V	0.224943072
IRF-1-R-C	-0.227540033
Jak2-R-V	-0.304455741
p16_INK4a-R-V	0.326802351
SHP-2_pY542-R-C	-0.286084983
CDK1_pY15-R-C	-0.247803114
