Sample REF	C7D3A64F-5697-4AE3-A459-947CDE9BBFAF
FASN-R-V	-0.183507929
Fibronectin-R-V	0.339429681
FoxM1-R-V	0.0924169590000001
FOXO3a-R-C	0.645617399
FOXO3a_pS318_S321-R-C	0.142254466
G6PD-M-V	0.0978258419999998
GAB2-R-V	0.179096511
GAPDH-M-C	-0.434504092
GATA3-M-V	0.184768506
GSK3-alpha-beta-M-V	-0.124430388
GSK3-alpha-beta_pS21_S9-R-V	0.476317893
GSK3_pS9-R-V	0.945065777
HER2-M-V	-0.17656777
HER2_pY1248-R-C	-0.0449674329999998
HER3-R-V	-0.0281026439999998
HER3_pY1289-R-C	0.0920100740000001
Heregulin-R-V	0.0473927390000001
HSP70-R-C	0.0524753260000002
IGFBP2-R-V	0.246763636
INPP4B-R-V	0.188066983
IRS1-R-V	-0.0353046619999999
JNK_pT183_pY185-R-V	0.0761024080000001
JNK2-R-C	-0.160795994
Ku80-R-C	-0.265040582
Lck-R-V	-0.0958350609999999
LKB1-M-E	-0.0748855969999999
MAPK_pT202_Y204-R-V	0.045799225
MEK1-R-V	0.29926617
MEK1_pS217_S221-R-V	-0.0936437929999999
MIG-6-M-V	0.133810601
Mre11-R-C	-0.034085132
MSH2-M-V	0.614084618
MSH6-R-C	0.194868538
mTOR-R-V	-0.27177107
mTOR_pS2448-R-C	0.170008024
MYH11-R-V	-0.556199224
Myosin-IIa_pS1943-R-V	0.14599698
N-Cadherin-R-V	-0.0705671209999999
N-Ras-M-V	0.0218247620000001
NDRG1_pT346-R-V	2.054431112
NF-kB-p65_pS536-R-C	0.550080625
NF2-R-C	-0.123217598
Notch1-R-V	0.235138759
P-Cadherin-R-C	0.193742374
p21-R-V	-0.0647017639999999
p27-R-V	-0.106457316
p27_pT157-R-C	-0.339414928
p27_pT198-R-V	-0.0847967559999999
p38_MAPK-R-V	-0.0785988209999999
p38_pT180_Y182-R-V	0.236529124
p53-R-E	0.324666457
p62-LCK-ligand-M-C	0.0980958440000002
p70S6K-R-V	-0.20079514
p70S6K_pT389-R-V	0.114215871
p90RSK-R-C	-0.225145482
p90RSK_pT359_S363-R-C	0.159624885
PAI-1-M-E	-0.24011929
PARP_cleaved-M-E	0.329733146
Paxillin-R-C	-0.054793801
PCNA-M-C	-0.0507284939999999
PDCD4-R-C	0.380343157
PDK1-R-V	-0.218909136
PDK1_pS241-R-V	-0.272274806
PEA15-R-V	-0.495094116
PEA15_pS116-R-V	-0.302712451
PI3K-p110-alpha-R-C	0.114662308
PI3K-p85-R-V	-0.416074823
PKC-alpha-M-V	-0.142583802
PKC-alpha_pS657-R-C	-0.152080047
PKC-delta_pS664-R-V	0.296013624
PKC-pan_BetaII_pS660-R-V	0.304646389
PR-R-V	0.113547448
PRAS40_pT246-R-V	0.14773104
PRDX1-R-V	-0.0446363689999999
PREX1-R-E	0.112546816
PTEN-R-V	0.0783482129999999
Rab11-R-E	-0.121580151
Rab25-R-V	-0.062962022
Rad50-M-V	-0.305878528
Rad51-R-V	0.21463263
Raptor-R-V	-0.224496119
Rb-M-E	0
Rb_pS807_S811-R-V	0.577334063
RBM15-R-V	-0.193415788
Rictor-R-C	-0.39313464
Rictor_pT1135-R-V	0.00307644700000009
S6-R-E	-0.109463258
S6_pS235_S236-R-V	0.429017808
S6_pS240_S244-R-V	0.465561075
SCD-M-V	0.116054255
SETD2-R-E	0.241956752
SF2-M-V	0.667907318
Shc_pY317-R-E	0.282268312
Smac-M-E	-0.251467909
Smad1-R-V	0.264600882
Smad3-R-V	0.0180079980000001
Smad4-M-V	0.121516824
Snail-M-E	0.27121997
Src-M-V	-0.167461863
Src_pY416-R-C	1.056086792
Src_pY527-R-V	-0.115004509
STAT3_pY705-R-V	0.56181356
STAT5-alpha-R-V	0.470340269
Stathmin-R-V	-0.289681543
Syk-M-V	0.0763444990000001
TAZ-R-V	-0.138321844
TIGAR-R-V	-0.392928231
Transglutaminase-M-V	-0.420719902
TFRC-R-V	0.283570055
TSC1-R-C	-0.522067526
TTF1-R-V	0.0515707670000001
Tuberin-R-E	-0.134403594
Tuberin_pT1462-R-V	0.545019678
VEGFR2-R-V	0.408338484
EPPK1-M-E	0.499866846
XBP1-G-C	0.39614008
XRCC1-R-E	0.0390724670000001
YAP-R-E	-0.20801542
YAP_pS127-R-E	-0.422274806
YB-1-R-V	-0.15288112
YB-1_pS102-R-V	0.248059633
JAB1-M-C	0.524706082
PARP1-R-V	0.054475763
A-Raf-R-V	-0.310786188
ARID1A-R-C	0.08935755
B-Raf_pS445-R-V	0.172882627
Bcl2A1-R-V	-0.203976789
BRD4-R-V	0.345255802
c-Abl-R-V	-0.329047258
Caspase-3-R-C	-0.0801333449999999
CD26-R-V	-0.369499901
Chk1_pS296-R-V	-0.316858394
COG3-R-V	-0.462078602
DUSP4-R-V	0.230133511
ERCC5-R-C	-0.163250762
IGF1R_pY1135_Y1136-R-V	-0.201709545
IRF-1-R-C	-0.367402174
Jak2-R-V	-0.312714182
p16_INK4a-R-V	-0.449429077
SHP-2_pY542-R-C	0.152807343
CDK1_pY15-R-C	0.334558427
