Sample REF	5D8CB763-CC51-417E-B960-560E5C59938A
c-Abl-R-V	0.0557507030000001
Caspase-3-R-C	-0.08329819
CD26-R-V	-0.027728642
Chk1_pS296-R-V	0.0663748159999999
COG3-R-V	0.155652585
DUSP4-R-V	0.875739911
ERCC5-R-C	-0.065116503
IGF1R_pY1135_Y1136-R-V	0.0810108520000001
IRF-1-R-C	0.291847492
Jak2-R-V	0.129192795
p16_INK4a-R-V	-0.164959182
SHP-2_pY542-R-C	-0.00905636399999987
CDK1_pY15-R-C	-0.320845665
