Sample REF	C29F674F-5572-4F11-9AA4-8D7F7464BE44
XRCC1-R-E	0.0955532960000001
YAP-R-E	-0.215950272
YAP_pS127-R-E	-1.128809981
YB-1-R-V	0.0863900909999999
YB-1_pS102-R-V	0.0413485680000001
JAB1-M-C	0.366592772
PARP1-R-V	-0.266088937
A-Raf-R-V	-0.245938096
ARID1A-R-C	-1.911593995
B-Raf_pS445-R-V	-1.447402673
Bcl2A1-R-V	0.923396302
BRD4-R-V	-2.010261675
c-Abl-R-V	1.039538158
Caspase-3-R-C	0.48018925
CD26-R-V	0.350773621
Chk1_pS296-R-V	0.838128249
COG3-R-V	-1.204358576
DUSP4-R-V	0.98026583
ERCC5-R-C	0.576061552
IGF1R_pY1135_Y1136-R-V	0.742962649
IRF-1-R-C	0.280943847
Jak2-R-V	-0.427620815
p16_INK4a-R-V	-1.555734871
SHP-2_pY542-R-C	-0.519747159
CDK1_pY15-R-C	-0.0442280939999999
