Sample REF	48EC2082-9A47-44FB-9E0E-19120B7365A7
INPP4B-R-V	0.0841160440000002
IRS1-R-V	-0.128637676
JNK_pT183_pY185-R-V	-0.133650598
JNK2-R-C	0.127394786
Ku80-R-C	0.114391042
Lck-R-V	0.231656333
LKB1-M-E	-0.055367203
MAPK_pT202_Y204-R-V	-0.298862584
MEK1-R-V	0.226054307
MEK1_pS217_S221-R-V	-0.176190384
MIG-6-M-V	0.079989347
Mre11-R-C	-0.070746829
MSH2-M-V	0.700366898
MSH6-R-C	0.74739894
mTOR-R-V	0.320776003
mTOR_pS2448-R-C	0.00419003000000007
MYH11-R-V	-0.269163441
Myosin-IIa_pS1943-R-V	-0.098615296
N-Cadherin-R-V	-0.154863485
N-Ras-M-V	-0.007894815
NDRG1_pT346-R-V	0.140901914
NF-kB-p65_pS536-R-C	0.119890332
NF2-R-C	0.013455786
Notch1-R-V	0.27543978
P-Cadherin-R-C	-0.0229650620000001
p21-R-V	-1.856187752
p27-R-V	0.399615081
p27_pT157-R-C	-0.106948332
p27_pT198-R-V	0.064479599
p38_MAPK-R-V	-0.013927406
p38_pT180_Y182-R-V	-0.86334145
p53-R-E	0.139947411
p62-LCK-ligand-M-C	0.341119758
p70S6K-R-V	0.129459178
p70S6K_pT389-R-V	0.07769486
p90RSK-R-C	0.26171627
p90RSK_pT359_S363-R-C	-0.026619134
PAI-1-M-E	-0.434217937
PARP_cleaved-M-E	0.401217164
Paxillin-R-C	-0.358940414
PCNA-M-C	0.272175017
PDCD4-R-C	-0.08238393
PDK1-R-V	-0.057447504
PDK1_pS241-R-V	-0.056110459
PEA15-R-V	-0.458544623
PEA15_pS116-R-V	-0.288461139
PI3K-p110-alpha-R-C	0.371251711
PI3K-p85-R-V	0.141090013
PKC-alpha-M-V	-0.192266588
PKC-alpha_pS657-R-C	-0.22270132
PKC-delta_pS664-R-V	0.0682706059999999
PKC-pan_BetaII_pS660-R-V	-0.163078732
PR-R-V	0.0172347150000001
PRAS40_pT246-R-V	-0.0410979149999999
PRDX1-R-V	-0.490408678
PREX1-R-E	0.0384964209999999
PTEN-R-V	0.156419585
Rab11-R-E	-0.304942105
Rab25-R-V	0.405508048
Rad50-M-V	-0.035108085
Rad51-R-V	-0.0881771960000001
Raptor-R-V	0.083072233
Rb-M-E	-0.0989630390000001
Rb_pS807_S811-R-V	0.177994746
RBM15-R-V	0.278958237
Rictor-R-C	0.374792847
Rictor_pT1135-R-V	-0.339869351
S6-R-E	0.066692134
S6_pS235_S236-R-V	0
S6_pS240_S244-R-V	0.068622065
SCD-M-V	-0.00257396899999995
SETD2-R-E	-0.110850256
SF2-M-V	0.699000788
Shc_pY317-R-E	-0.0128257719999998
Smac-M-E	0.349032813
Smad1-R-V	0.301465496
Smad3-R-V	-0.00542741499999999
Smad4-M-V	0.269422232
Snail-M-E	0.261341612
Src-M-V	-0.20323346
Src_pY416-R-C	-0.127470146
Src_pY527-R-V	-0.24038822
STAT3_pY705-R-V	-0.077104408
STAT5-alpha-R-V	0.492488363
Stathmin-R-V	-0.248714556
Syk-M-V	0.697259378
TAZ-R-V	-0.118770267
TIGAR-R-V	0.044376017
Transglutaminase-M-V	-0.571223805
TFRC-R-V	-0.269732762
TSC1-R-C	-0.16569552
TTF1-R-V	0.037987977
Tuberin-R-E	0.518240703
Tuberin_pT1462-R-V	-0.106696313
VEGFR2-R-V	0.214499639
EPPK1-M-E	-0.300721073
XBP1-G-C	0.154133934
XRCC1-R-E	0.157070234
YAP-R-E	-0.398405652
YAP_pS127-R-E	-1.09653847
YB-1-R-V	-0.066538974
YB-1_pS102-R-V	-0.051433089
JAB1-M-C	0.239251223
PARP1-R-V	0.823671612
A-Raf-R-V	0.16277773
ARID1A-R-C	0.525516322
B-Raf_pS445-R-V	0.145376908
Bcl2A1-R-V	-0.143932411
BRD4-R-V	1.067778976
c-Abl-R-V	-0.010096652
Caspase-3-R-C	0.054178811
CD26-R-V	-0.184479199
Chk1_pS296-R-V	-0.0899814889999999
COG3-R-V	-0.145334024
DUSP4-R-V	0.0107584639999998
ERCC5-R-C	-0.106282692
IGF1R_pY1135_Y1136-R-V	-0.159858368
IRF-1-R-C	-0.053386806
Jak2-R-V	0.956296599
p16_INK4a-R-V	-0.016211986
SHP-2_pY542-R-C	-0.126055817
CDK1_pY15-R-C	0.280476315
