Sample REF	D909165F-5AF8-4C45-8925-C8BA473B43F4
PAI-1-M-E	-0.424263807
PARP_cleaved-M-E	0.194907314
Paxillin-R-C	0.307196254
PCNA-M-C	0.116025506
PDCD4-R-C	-1.008299756
PDK1-R-V	0
PDK1_pS241-R-V	-0.0632306
PEA15-R-V	-0.0547453880000001
PEA15_pS116-R-V	0.104014492
PI3K-p110-alpha-R-C	0.392474747
PI3K-p85-R-V	0.025331439
PKC-alpha-M-V	0.728173508
PKC-alpha_pS657-R-C	1.113795903
PKC-delta_pS664-R-V	0.312200615
PKC-pan_BetaII_pS660-R-V	-0.0361389190000001
PR-R-V	0.1347325
PRAS40_pT246-R-V	-0.28148248
PRDX1-R-V	-0.278198212
PREX1-R-E	-0.0870530490000001
PTEN-R-V	0.529537202
Rab11-R-E	0.127399502
Rab25-R-V	0.856154759
Rad50-M-V	-0.210525814
Rad51-R-V	-0.0546054770000001
Raptor-R-V	-0.0835752280000001
Rb-M-E	0.0304837419999999
Rb_pS807_S811-R-V	-0.581356406
RBM15-R-V	-0.093408654
Rictor-R-C	0.102208473
Rictor_pT1135-R-V	-0.071959114
S6-R-E	-0.072755554
S6_pS235_S236-R-V	-1.179523937
S6_pS240_S244-R-V	-0.602596746
SCD-M-V	0.227100175
SETD2-R-E	-0.0556010629999999
SF2-M-V	0.543582921
Shc_pY317-R-E	-0.0553426689999998
Smac-M-E	0.153908495
Smad1-R-V	-0.102948344
Smad3-R-V	-0.048658037
Smad4-M-V	0.100181322
Snail-M-E	0.212297152
Src-M-V	0.298924824
Src_pY416-R-C	-0.433076555
Src_pY527-R-V	-1.359635802
STAT3_pY705-R-V	-0.291919648
STAT5-alpha-R-V	-0.408854183
Stathmin-R-V	-0.160252355
Syk-M-V	0.214624629
TAZ-R-V	0.253468958
TIGAR-R-V	0.841381503
Transglutaminase-M-V	0.00363181299999993
TFRC-R-V	-0.306384314
TSC1-R-C	0.511339535
TTF1-R-V	0.019135415
Tuberin-R-E	0.236572262
Tuberin_pT1462-R-V	-0.141368296
VEGFR2-R-V	0.164310954
EPPK1-M-E	1.29575693
XBP1-G-C	0.310100338
XRCC1-R-E	-0.020148363
YAP-R-E	-0.228540723
YAP_pS127-R-E	-0.963183818
YB-1-R-V	-0.143918301
YB-1_pS102-R-V	-0.268522654
JAB1-M-C	0.278333852
PARP1-R-V	-0.197604002
A-Raf-R-V	-0.051633664
ARID1A-R-C	0.054811207
B-Raf_pS445-R-V	-0.236212154
Bcl2A1-R-V	-0.09672466
BRD4-R-V	0.102572002
c-Abl-R-V	-0.175820617
Caspase-3-R-C	0.057380079
CD26-R-V	-0.162998827
Chk1_pS296-R-V	-0.135042682
COG3-R-V	0.356657141
DUSP4-R-V	0.113696865
ERCC5-R-C	0.57613109
IGF1R_pY1135_Y1136-R-V	-0.0349114049999999
IRF-1-R-C	-0.404125107
Jak2-R-V	-0.202848244
p16_INK4a-R-V	-0.14502403
SHP-2_pY542-R-C	-0.224822521
CDK1_pY15-R-C	-0.47229684
