Sample REF	A420B883-B083-453C-BF60-128E2737BBE3
EPPK1-M-E	1.961838334
XBP1-G-C	0.0143790080000001
XRCC1-R-E	-0.383325278
YAP-R-E	0.24020967
YAP_pS127-R-E	0.532031461
YB-1-R-V	-0.17044201
YB-1_pS102-R-V	0.195953058
JAB1-M-C	-0.035846692
PARP1-R-V	-0.66078432
A-Raf-R-V	-0.423889177
ARID1A-R-C	-0.523469984
B-Raf_pS445-R-V	-0.526755838
Bcl2A1-R-V	0.391398858
BRD4-R-V	-0.710734983
c-Abl-R-V	0.249974012
Caspase-3-R-C	0.078935816
CD26-R-V	0.054983362
Chk1_pS296-R-V	-0.0776702699999999
COG3-R-V	-0.00410577299999992
DUSP4-R-V	-0.132820235
ERCC5-R-C	0.282561099
IGF1R_pY1135_Y1136-R-V	0.0403157620000001
IRF-1-R-C	0.154052123
Jak2-R-V	-0.115556045
p16_INK4a-R-V	0.286086177
SHP-2_pY542-R-C	0.439707201
CDK1_pY15-R-C	0.0794743600000001
