Sample REF	FCCC4EAA-62B7-4005-887C-716C7FB52D63
eEF2-R-C	-0.166519063
eEF2K-R-V	-1.070326827
EGFR-R-V	0.507449252
EGFR_pY1068-R-C	0.127933939
EGFR_pY1173-R-V	0.105803884
eIF4E-R-V	-0.0237015890000001
eIF4G-R-C	-0.325160358
ER-alpha-R-V	-0.781531205
ER-alpha_pS118-R-V	-0.11331647
ERCC1-M-V	-0.136110578
ERK2-R-E	0.205383084
ETS-1-R-V	0.224206506
FASN-R-V	-0.0680013130000001
Fibronectin-R-V	0.475488943
FoxM1-R-V	-0.329081457
FOXO3a-R-C	0.0274823229999999
FOXO3a_pS318_S321-R-C	-0.0963965240000002
G6PD-M-V	1.231968881
GAB2-R-V	-0.617230675
GAPDH-M-C	-0.201877032
GATA3-M-V	-0.416180252
GSK3-alpha-beta-M-V	0.281531483
GSK3-alpha-beta_pS21_S9-R-V	0.0488983029999999
GSK3_pS9-R-V	0.546910125
HER2-M-V	-0.622486745
HER2_pY1248-R-C	-0.0416250290000001
HER3-R-V	0.141835753
HER3_pY1289-R-C	0.413063538
Heregulin-R-V	0.148074264
HSP70-R-C	0.335890024
IGFBP2-R-V	-0.0257979350000002
INPP4B-R-V	0.0492190719999999
IRS1-R-V	0.00369885499999989
JNK_pT183_pY185-R-V	0.025848037
JNK2-R-C	-0.0308668410000001
Ku80-R-C	-0.180371822
Lck-R-V	0.386990366
LKB1-M-E	0.0977572529999999
MAPK_pT202_Y204-R-V	-0.198610989
MEK1-R-V	0.238214891
MEK1_pS217_S221-R-V	0.225952991
MIG-6-M-V	0.133163806
Mre11-R-C	0.193549947
MSH2-M-V	-0.221769956
MSH6-R-C	-0.125806821
mTOR-R-V	-0.228102531
mTOR_pS2448-R-C	0
MYH11-R-V	-0.0235121960000001
Myosin-IIa_pS1943-R-V	0.600630149
N-Cadherin-R-V	0.146199017
N-Ras-M-V	0.132474577
NDRG1_pT346-R-V	-0.124193125
NF-kB-p65_pS536-R-C	0.111670407
NF2-R-C	0.0265515789999999
Notch1-R-V	-0.0377377290000003
P-Cadherin-R-C	0.234886252
p21-R-V	0.369134887
p27-R-V	-0.352943126
p27_pT157-R-C	-0.0680013130000001
p27_pT198-R-V	-0.111141558
p38_MAPK-R-V	0.159848677
p38_pT180_Y182-R-V	-0.216747108
p53-R-E	-0.0648294279999997
p62-LCK-ligand-M-C	-0.591065608
p70S6K-R-V	-0.402682808
p70S6K_pT389-R-V	-0.0171732900000001
p90RSK-R-C	0.176088661
p90RSK_pT359_S363-R-C	0.491575491
PAI-1-M-E	2.450318872
PARP_cleaved-M-E	-0.0582572120000002
Paxillin-R-C	0.593445624
PCNA-M-C	0.0557469449999999
PDCD4-R-C	-0.57013773
PDK1-R-V	0.0577123619999999
PDK1_pS241-R-V	-0.0766222470000001
PEA15-R-V	0.12236203
PEA15_pS116-R-V	0.115947844
PI3K-p110-alpha-R-C	-0.176861707
PI3K-p85-R-V	-0.0680013130000001
PKC-alpha-M-V	0.341470737
PKC-alpha_pS657-R-C	0.531214386
PKC-delta_pS664-R-V	-0.1387043
PKC-pan_BetaII_pS660-R-V	0.0176642999999999
PR-R-V	0.221761593
PRAS40_pT246-R-V	-0.327394298
PRDX1-R-V	-0.0504508810000001
PREX1-R-E	0.0314417049999998
PTEN-R-V	0.0761130879999998
Rab11-R-E	-0.0797774810000001
Rab25-R-V	-0.232325598
Rad50-M-V	0.072196242
Rad51-R-V	0.272790313
Raptor-R-V	-0.0308484450000001
Rb-M-E	0.130175488
Rb_pS807_S811-R-V	-0.520556354
RBM15-R-V	-0.220534085
Rictor-R-C	-0.0505687490000002
Rictor_pT1135-R-V	0.240367157
S6-R-E	-0.211172025
S6_pS235_S236-R-V	0.939354146
S6_pS240_S244-R-V	0.453490768
SCD-M-V	0.0833894639999999
SETD2-R-E	0.148609536
SF2-M-V	0.0678489609999999
Shc_pY317-R-E	-0.072947061
Smac-M-E	-0.0665631490000001
Smad1-R-V	-0.218027259
Smad3-R-V	0.0244442769999999
Smad4-M-V	-0.0882959640000003
Snail-M-E	0.196022145
Src-M-V	0.239366747
Src_pY416-R-C	0.958822626
Src_pY527-R-V	0.458372168
STAT3_pY705-R-V	-0.239650549
STAT5-alpha-R-V	-0.779605999
Stathmin-R-V	0.15027534
Syk-M-V	-0.350564539
TAZ-R-V	0.0882643259999999
TIGAR-R-V	-0.123975912
Transglutaminase-M-V	0.0450338799999999
TFRC-R-V	0.0180770629999998
TSC1-R-C	-0.0498371030000002
TTF1-R-V	-0.0704511760000002
Tuberin-R-E	-0.217897395
Tuberin_pT1462-R-V	-0.17093116
VEGFR2-R-V	0.745713427
EPPK1-M-E	-1.254019354
XBP1-G-C	0.0963937239999997
XRCC1-R-E	-0.21671307
YAP-R-E	0.18905991
YAP_pS127-R-E	0.310070577
YB-1-R-V	0.0482520649999999
YB-1_pS102-R-V	0.574722153
JAB1-M-C	-0.171757592
PARP1-R-V	-0.386235719
A-Raf-R-V	-0.0783000600000001
ARID1A-R-C	-0.11827516
B-Raf_pS445-R-V	-0.208564972
Bcl2A1-R-V	0.344508835
BRD4-R-V	-0.271487912
c-Abl-R-V	-0.0154107270000001
Caspase-3-R-C	-0.0828100800000002
CD26-R-V	0.178127458
Chk1_pS296-R-V	0.0944154929999999
COG3-R-V	-0.251780091
DUSP4-R-V	0.34062476
ERCC5-R-C	0.114643775
IGF1R_pY1135_Y1136-R-V	0.203100488
IRF-1-R-C	-0.28619533
Jak2-R-V	-0.403788164
p16_INK4a-R-V	0.26604181
SHP-2_pY542-R-C	0.375664891
CDK1_pY15-R-C	-0.109778898
