Sample REF	817F7D56-55EA-4F67-999F-5E94870D3AAB
mTOR_pS2448-R-C	0.191080267
MYH11-R-V	1.788660505
Myosin-IIa_pS1943-R-V	0.581609151
N-Cadherin-R-V	0.124692546
N-Ras-M-V	0.189590832
NDRG1_pT346-R-V	1.285203962
NF-kB-p65_pS536-R-C	-0.078490912
NF2-R-C	0.463988441
Notch1-R-V	-0.572743922
P-Cadherin-R-C	-0.0133988529999999
p21-R-V	0.454328148
p27-R-V	0.210758782
p27_pT157-R-C	-0.04396393
p27_pT198-R-V	-0.288467419
p38_MAPK-R-V	0.540097319
p38_pT180_Y182-R-V	0.70501515
p53-R-E	-0.0227568449999999
p62-LCK-ligand-M-C	-0.705864075
p70S6K-R-V	-0.244438242
p70S6K_pT389-R-V	-0.066275913
p90RSK-R-C	0.116247734
p90RSK_pT359_S363-R-C	0.5132651
PAI-1-M-E	1.878746466
PARP_cleaved-M-E	0.11660155
Paxillin-R-C	0.183954059
PCNA-M-C	0.036499681
PDCD4-R-C	0.464512987
PDK1-R-V	0.07468348
PDK1_pS241-R-V	0.190218403
PEA15-R-V	0.22181189
PEA15_pS116-R-V	-0.156138684
PI3K-p110-alpha-R-C	0.220533549
PI3K-p85-R-V	0.161006634
PKC-alpha-M-V	0.173922328
PKC-alpha_pS657-R-C	0.365652851
PKC-delta_pS664-R-V	0.059441499
PKC-pan_BetaII_pS660-R-V	0.324914425
PR-R-V	-0.0384235359999999
PRAS40_pT246-R-V	-0.27823207
PRDX1-R-V	0.362871668
PREX1-R-E	0.61212788
PTEN-R-V	0.117389613
Rab11-R-E	0.17682632
Rab25-R-V	0.053074403
Rad50-M-V	0.256600816
Rad51-R-V	0.218237838
Raptor-R-V	0.026050898
Rb-M-E	0.0162610929999999
Rb_pS807_S811-R-V	-0.0885744619999999
RBM15-R-V	-0.572883129
Rictor-R-C	0.542172613
Rictor_pT1135-R-V	-0.207928094
S6-R-E	-0.364304456
S6_pS235_S236-R-V	-0.103302045
S6_pS240_S244-R-V	-0.805988022
SCD-M-V	0.0411669480000001
SETD2-R-E	-0.219523162
SF2-M-V	0.0628470360000001
Shc_pY317-R-E	-0.0359281969999999
Smac-M-E	-0.012657465
Smad1-R-V	-0.076222472
Smad3-R-V	0.085770511
Smad4-M-V	-0.095716791
Snail-M-E	-0.151882034
Src-M-V	0.270043834
Src_pY416-R-C	0.253734879
Src_pY527-R-V	0.195484605
STAT3_pY705-R-V	0.586302691
STAT5-alpha-R-V	-1.138060296
Stathmin-R-V	-0.038523443
Syk-M-V	0.174393061
TAZ-R-V	-0.072081211
TIGAR-R-V	-0.035914704
Transglutaminase-M-V	-0.188448401
TFRC-R-V	0.01788168
TSC1-R-C	0
TTF1-R-V	-0.0117263739999999
Tuberin-R-E	-0.148776622
Tuberin_pT1462-R-V	-0.025385597
VEGFR2-R-V	0.11283099
EPPK1-M-E	-0.445418389
XBP1-G-C	-0.0243033080000002
XRCC1-R-E	0.154359304
YAP-R-E	2.651134788
YAP_pS127-R-E	3.367373607
YB-1-R-V	-0.276392978
YB-1_pS102-R-V	0.379420263
JAB1-M-C	0.162587529
PARP1-R-V	0.462641814
A-Raf-R-V	0.090039259
ARID1A-R-C	-0.855598667
B-Raf_pS445-R-V	0.233062835
Bcl2A1-R-V	0.281157203
BRD4-R-V	-0.655473045
c-Abl-R-V	-0.081068897
Caspase-3-R-C	-0.088552141
CD26-R-V	0.0160147
Chk1_pS296-R-V	0.05981854
COG3-R-V	-0.53505121
DUSP4-R-V	-0.141306026
ERCC5-R-C	0.24602277
IGF1R_pY1135_Y1136-R-V	-0.0255453039999999
IRF-1-R-C	-0.477706072
Jak2-R-V	-0.364695653
p16_INK4a-R-V	0.322532142
SHP-2_pY542-R-C	0.042802439
CDK1_pY15-R-C	0.13418404
