Sample REF	E86D642C-A5D4-4D95-9BD0-16FEB48F2960
EGFR_pY1173-R-V	-0.113024225
eIF4E-R-V	0.00168240200000008
eIF4G-R-C	-0.24665746
ER-alpha-R-V	0.254107835
ER-alpha_pS118-R-V	-0.153801428
ERCC1-M-V	-0.0554786219999998
ERK2-R-E	-0.00658160199999991
ETS-1-R-V	-0.0586680369999999
FASN-R-V	0.0863383840000002
Fibronectin-R-V	0.102558199
FoxM1-R-V	-0.167058922
FOXO3a-R-C	0.138472817
FOXO3a_pS318_S321-R-C	0.119875425
G6PD-M-V	-0.192199364
GAB2-R-V	0.202778477
GAPDH-M-C	0.176514397
GATA3-M-V	-0.109200425
GSK3-alpha-beta-M-V	-0.0526035949999999
GSK3-alpha-beta_pS21_S9-R-V	0.369491707
GSK3_pS9-R-V	0.676464748
HER2-M-V	0.0334726730000001
HER2_pY1248-R-C	0.0181542750000001
HER3-R-V	-0.548504947
HER3_pY1289-R-C	-0.0761093069999999
Heregulin-R-V	-0.157718541
HSP70-R-C	-0.097026773
IGFBP2-R-V	0.395042189
INPP4B-R-V	0.0364169080000002
IRS1-R-V	-0.147467416
JNK_pT183_pY185-R-V	-0.0278340939999998
JNK2-R-C	-0.0830313689999999
Ku80-R-C	-0.00756872699999989
Lck-R-V	0.243084466
LKB1-M-E	0.00870682200000006
MAPK_pT202_Y204-R-V	0.0701001310000001
MEK1-R-V	-0.565936968
MEK1_pS217_S221-R-V	-0.0210227039999999
MIG-6-M-V	0.0277382520000001
Mre11-R-C	-0.0848526189999999
MSH2-M-V	0.32964337
MSH6-R-C	0.107244781
mTOR-R-V	0.26456279
mTOR_pS2448-R-C	0.122983783
MYH11-R-V	-0.235312109
Myosin-IIa_pS1943-R-V	-0.172953973
N-Cadherin-R-V	-0.0828849559999999
N-Ras-M-V	-0.0073409459999999
NDRG1_pT346-R-V	0.554428183
NF-kB-p65_pS536-R-C	0.094128945
NF2-R-C	-0.0521966
Notch1-R-V	-0.213766403
P-Cadherin-R-C	0.0369553560000001
p21-R-V	0.683931343
p27-R-V	0.286750716
p27_pT157-R-C	-0.15957493
p27_pT198-R-V	0.0111653120000001
p38_MAPK-R-V	0.0591738870000001
p38_pT180_Y182-R-V	0.189242069
p53-R-E	0.271908488
p62-LCK-ligand-M-C	0.131330508
p70S6K-R-V	-0.0861222759999999
p70S6K_pT389-R-V	0.338394378
p90RSK-R-C	0.306709076
p90RSK_pT359_S363-R-C	0.134883212
PAI-1-M-E	-0.623188118
PARP_cleaved-M-E	0.0249002749999999
Paxillin-R-C	-0.185881706
PCNA-M-C	0.176845074
PDCD4-R-C	-0.175008965
PDK1-R-V	-0.038121703
PDK1_pS241-R-V	-0.0276154509999999
PEA15-R-V	-0.149035382
PEA15_pS116-R-V	-0.181323007
PI3K-p110-alpha-R-C	-0.13515136
PI3K-p85-R-V	0.126246324
PKC-alpha-M-V	-0.293396389
PKC-alpha_pS657-R-C	-0.273456352
PKC-delta_pS664-R-V	0.216771405
PKC-pan_BetaII_pS660-R-V	0.327849678
PR-R-V	-0.0372235789999998
PRAS40_pT246-R-V	0.0976811840000001
PRDX1-R-V	-0.0807515449999999
PREX1-R-E	0.574314752
PTEN-R-V	0.134038878
Rab11-R-E	-0.0180452549999999
Rab25-R-V	-0.245329237
Rad50-M-V	-0.136040121
Rad51-R-V	-0.07129519
Raptor-R-V	-0.0441972989999999
Rb-M-E	0.0308010099999999
Rb_pS807_S811-R-V	0.289516225
RBM15-R-V	-0.388958194
Rictor-R-C	-0.425345568
Rictor_pT1135-R-V	-0.124114834
S6-R-E	-0.266447937
S6_pS235_S236-R-V	-0.388544331
S6_pS240_S244-R-V	-0.453827315
SCD-M-V	-0.0407781649999999
SETD2-R-E	-0.176965192
SF2-M-V	0.493709218
Shc_pY317-R-E	-0.073720911
Smac-M-E	0.0655439530000001
Smad1-R-V	0.0166486860000001
Smad3-R-V	-0.184539677
Smad4-M-V	0.111010665
Snail-M-E	0.148429448
Src-M-V	-0.0816368169999999
Src_pY416-R-C	0.867131236
Src_pY527-R-V	0.696890034
STAT3_pY705-R-V	0.400931665
STAT5-alpha-R-V	-0.10084217
Stathmin-R-V	-0.0382317369999999
Syk-M-V	-0.274826673
TAZ-R-V	0.090847521
TIGAR-R-V	-0.0771810049999999
Transglutaminase-M-V	-0.0463402209999999
TFRC-R-V	-0.640761037
TSC1-R-C	-0.144629114
TTF1-R-V	-0.111524756
Tuberin-R-E	0.126925516
Tuberin_pT1462-R-V	0.34899262
VEGFR2-R-V	0.181651543
EPPK1-M-E	0.276559782
XBP1-G-C	0.167429154
XRCC1-R-E	0.0802882230000001
YAP-R-E	-0.284974709
YAP_pS127-R-E	-0.33964992
YB-1-R-V	-0.190225598
YB-1_pS102-R-V	-0.00323526499999993
JAB1-M-C	0.189254738
PARP1-R-V	-0.090924166
A-Raf-R-V	0.183477045
ARID1A-R-C	0.153681094
B-Raf_pS445-R-V	0.177363535
Bcl2A1-R-V	0.293032626
BRD4-R-V	0.0667494960000002
c-Abl-R-V	-0.117174814
Caspase-3-R-C	-0.132481507
CD26-R-V	-0.142036325
Chk1_pS296-R-V	-0.105818064
COG3-R-V	0.056040973
DUSP4-R-V	0.822430764
ERCC5-R-C	0.179463006
IGF1R_pY1135_Y1136-R-V	-0.117949598
IRF-1-R-C	-0.0573238899999999
Jak2-R-V	-0.403663589
p16_INK4a-R-V	-0.400381188
SHP-2_pY542-R-C	0.16155517
CDK1_pY15-R-C	0.269108485
