Sample REF	A2E4E986-D906-4AF4-B9E8-A14D9B8F9F07
Smac-M-E	-0.107512062
Smad1-R-V	-0.0470681129999999
Smad3-R-V	0.0270556070000001
Smad4-M-V	0.12250849
Snail-M-E	-0.0910360879999996
Src-M-V	0.190409216
Src_pY416-R-C	-0.337736769
Src_pY527-R-V	0.541096561
STAT3_pY705-R-V	0.437364747
STAT5-alpha-R-V	-0.115456327
Stathmin-R-V	0.0198115070000001
Syk-M-V	-0.713041424
TAZ-R-V	0.0368365120000001
TIGAR-R-V	-0.270051076
Transglutaminase-M-V	0.466693258
TFRC-R-V	0.662756475
TSC1-R-C	0.313713939
TTF1-R-V	-0.0668863999999998
Tuberin-R-E	0.178448321
Tuberin_pT1462-R-V	0.42710697
VEGFR2-R-V	-0.762237448
EPPK1-M-E	-1.180777913
XBP1-G-C	0.107842309
XRCC1-R-E	0.354622472
YAP-R-E	-0.215840073
YAP_pS127-R-E	-0.0495207139999999
YB-1-R-V	-0.00203416899999985
YB-1_pS102-R-V	0.0808247080000001
JAB1-M-C	-0.0807887680000001
PARP1-R-V	0.302524971
A-Raf-R-V	-0.23678077
ARID1A-R-C	0.194836633
B-Raf_pS445-R-V	-0.0735470689999999
Bcl2A1-R-V	-0.0656464039999999
BRD4-R-V	0.18391864
c-Abl-R-V	0.0157583690000001
Caspase-3-R-C	0.00873684500000005
CD26-R-V	-0.0506157299999999
Chk1_pS296-R-V	-0.0581920369999999
COG3-R-V	0.385087985
DUSP4-R-V	-0.0446868309999999
ERCC5-R-C	0.415430744
IGF1R_pY1135_Y1136-R-V	-0.0111780439999998
IRF-1-R-C	-0.1898952
Jak2-R-V	0.0740782280000002
p16_INK4a-R-V	-1.383609345
SHP-2_pY542-R-C	-0.103018761
CDK1_pY15-R-C	0.0076246470000001
