Sample REF	B2E5BD97-D176-4560-8FC7-B082EF9A66E9
Collagen_VI-R-V	-0.193698403
Cyclin_B1-R-V	-0.020567669
Cyclin_D1-R-V	-0.296110053
Cyclin_E1-M-V	-0.120715988
Cyclin_E2-R-C	-0.094480821
DJ-1-R-E	-0.013106313
Dvl3-R-V	0.034005394
E-Cadherin-R-V	0.215048328
eEF2-R-C	-0.092548981
eEF2K-R-V	-0.395727058
EGFR-R-V	-0.0757557350000001
EGFR_pY1068-R-C	-0.228208794
EGFR_pY1173-R-V	-0.060980854
eIF4E-R-V	-0.063187644
eIF4G-R-C	0.0757478069999996
ER-alpha-R-V	0.358681988
ER-alpha_pS118-R-V	-0.137126826
ERCC1-M-V	-0.076104646
ERK2-R-E	0.0868944269999999
ETS-1-R-V	-0.045325236
FASN-R-V	0.683386538
Fibronectin-R-V	-0.0105876300000002
FoxM1-R-V	0.250425996
FOXO3a-R-C	-0.0828979440000003
FOXO3a_pS318_S321-R-C	0.0105774260000001
G6PD-M-V	1.804124516
GAB2-R-V	-0.242884598
GAPDH-M-C	0.17706744
GATA3-M-V	1.292700451
GSK3-alpha-beta-M-V	0.202852115
GSK3-alpha-beta_pS21_S9-R-V	0.042773527
GSK3_pS9-R-V	0.437473735
HER2-M-V	-0.034910725
HER2_pY1248-R-C	-0.261898067
HER3-R-V	-0.475837294
HER3_pY1289-R-C	-0.053539646
Heregulin-R-V	-0.150742922
HSP70-R-C	-0.370836396
IGFBP2-R-V	-0.218533285
INPP4B-R-V	0.308268581
IRS1-R-V	0.0287195509999999
JNK_pT183_pY185-R-V	-0.107483514
JNK2-R-C	-0.287676477
Ku80-R-C	0.069388491
Lck-R-V	0.231665315
LKB1-M-E	-0.139858943
MAPK_pT202_Y204-R-V	0.0890070829999999
MEK1-R-V	-0.383026305
MEK1_pS217_S221-R-V	0.007964893
MIG-6-M-V	-0.00576713100000004
Mre11-R-C	-0.053430097
MSH2-M-V	0.289848932
MSH6-R-C	0.11219931
mTOR-R-V	0.164831789
mTOR_pS2448-R-C	-0.000602047999999855
MYH11-R-V	0.77736199
Myosin-IIa_pS1943-R-V	0.223057561
N-Cadherin-R-V	-0.186407735
N-Ras-M-V	-0.083932643
NDRG1_pT346-R-V	-0.266776164
NF-kB-p65_pS536-R-C	0.377885413
NF2-R-C	0.246603679
Notch1-R-V	-0.00159869000000012
P-Cadherin-R-C	-0.0428553310000001
p21-R-V	-0.513568537
p27-R-V	-0.24880047
p27_pT157-R-C	-0.110845511
p27_pT198-R-V	0
p38_MAPK-R-V	0.369552174
p38_pT180_Y182-R-V	0.257753713
p53-R-E	-0.1079232
p62-LCK-ligand-M-C	0.420090195
p70S6K-R-V	-0.090594212
p70S6K_pT389-R-V	-0.208438846
p90RSK-R-C	0.225702894
p90RSK_pT359_S363-R-C	0.197097634
PAI-1-M-E	0.123689976
PARP_cleaved-M-E	-0.0939370810000001
Paxillin-R-C	0.32160954
PCNA-M-C	0.032871479
PDCD4-R-C	0.578911997
PDK1-R-V	0.038190337
PDK1_pS241-R-V	0.036557803
PEA15-R-V	0.183594833
PEA15_pS116-R-V	-0.076104646
PI3K-p110-alpha-R-C	0.197119454
PI3K-p85-R-V	-0.117727444
PKC-alpha-M-V	0.210816521
PKC-alpha_pS657-R-C	0.512307876
PKC-delta_pS664-R-V	-0.020048006
PKC-pan_BetaII_pS660-R-V	0.69607786
PR-R-V	0.052634897
PRAS40_pT246-R-V	-0.102704209
PRDX1-R-V	-0.002880665
PREX1-R-E	0.1440702
PTEN-R-V	0.403551823
Rab11-R-E	-0.12651527
Rab25-R-V	-0.076104646
Rad50-M-V	-0.076104646
Rad51-R-V	-0.198492609
Raptor-R-V	0.033069628
Rb-M-E	-0.155161685
Rb_pS807_S811-R-V	-0.110078819
RBM15-R-V	-0.024386722
Rictor-R-C	-0.019768186
Rictor_pT1135-R-V	0.029368558
S6-R-E	0.050995571
S6_pS235_S236-R-V	0.639628251
S6_pS240_S244-R-V	0.244316584
SCD-M-V	-0.0597964919999999
SETD2-R-E	-0.135532718
SF2-M-V	-0.240135528
Shc_pY317-R-E	0.0364226410000003
Smac-M-E	-0.142100814
Smad1-R-V	0.151106338
Smad3-R-V	-0.019040271
Smad4-M-V	-0.0999567280000001
Snail-M-E	-0.11312063
Src-M-V	0.10223548
Src_pY416-R-C	-0.366665041
Src_pY527-R-V	0.22609654
STAT3_pY705-R-V	0.0492700700000001
STAT5-alpha-R-V	0.431284014
Stathmin-R-V	-0.213121376
Syk-M-V	-0.00636763399999996
TAZ-R-V	0.075054081
TIGAR-R-V	-0.00272805700000001
Transglutaminase-M-V	0.397886916
TFRC-R-V	-0.0647400650000001
TSC1-R-C	0.066906793
TTF1-R-V	-0.010803893
Tuberin-R-E	0.170490332
Tuberin_pT1462-R-V	0.0437896839999999
VEGFR2-R-V	0.119890782
EPPK1-M-E	1.435426103
XBP1-G-C	-0.144883317
XRCC1-R-E	-0.247209096
YAP-R-E	0.023074951
YAP_pS127-R-E	0.593938818
YB-1-R-V	-0.320720235
YB-1_pS102-R-V	0.272252813
JAB1-M-C	-0.101755514
PARP1-R-V	0.177630963
A-Raf-R-V	0.121892106
ARID1A-R-C	-0.072244433
B-Raf_pS445-R-V	0.1557683
Bcl2A1-R-V	0.177166955
BRD4-R-V	-0.168674932
c-Abl-R-V	0.23996486
Caspase-3-R-C	-0.138749407
CD26-R-V	0.00994697099999997
Chk1_pS296-R-V	-0.121481495
COG3-R-V	-0.117037591
DUSP4-R-V	0.508381079
ERCC5-R-C	0.130884906
IGF1R_pY1135_Y1136-R-V	-0.0680367329999999
IRF-1-R-C	-0.069578167
Jak2-R-V	0.162403586
p16_INK4a-R-V	-0.039968469
SHP-2_pY542-R-C	-0.103640826
CDK1_pY15-R-C	0.050539841
