Sample REF	18D2E64E-B473-4594-BECE-25C028266FA4
PKC-pan_BetaII_pS660-R-V	0.53460981
PR-R-V	-0.0444442829999999
PRAS40_pT246-R-V	0.145010191
PRDX1-R-V	-0.044180811
PREX1-R-E	0.0394448499999999
PTEN-R-V	0.396782574
Rab11-R-E	0.09551618
Rab25-R-V	0.500253118
Rad50-M-V	-0.0718245849999999
Rad51-R-V	0.068878036
Raptor-R-V	0.233705528
Rb-M-E	-0.11005455
Rb_pS807_S811-R-V	0.433429902
RBM15-R-V	0.220639425
Rictor-R-C	-0.043614353
Rictor_pT1135-R-V	-0.055852268
S6-R-E	0.198022432
S6_pS235_S236-R-V	0.845951393
S6_pS240_S244-R-V	0.289820269
SCD-M-V	-0.110134015
SETD2-R-E	0.108012716
SF2-M-V	0.0346442830000002
Shc_pY317-R-E	0.296974521
Smac-M-E	-0.018588173
Smad1-R-V	0.122653927
Smad3-R-V	0.023867382
Smad4-M-V	-0.32825513
Snail-M-E	-0.248576731
Src-M-V	-0.121550551
Src_pY416-R-C	0.606325433
Src_pY527-R-V	0.974026061
STAT3_pY705-R-V	0.337871656
STAT5-alpha-R-V	0.309989046
Stathmin-R-V	-0.082729192
Syk-M-V	0.406852954
TAZ-R-V	-0.182292755
TIGAR-R-V	-0.20613233
Transglutaminase-M-V	-0.510886744
TFRC-R-V	-0.288000855
TSC1-R-C	0.053942468
TTF1-R-V	-0.126039107
Tuberin-R-E	0.159180308
Tuberin_pT1462-R-V	-0.044622046
VEGFR2-R-V	-0.276326534
EPPK1-M-E	0.075331498
XBP1-G-C	-0.140189256
XRCC1-R-E	-0.113127953
YAP-R-E	-0.22339555
YAP_pS127-R-E	-0.213705805
YB-1-R-V	0
YB-1_pS102-R-V	0.00783596699999994
JAB1-M-C	-0.080977058
PARP1-R-V	0.0444060529999999
A-Raf-R-V	0.067836865
ARID1A-R-C	0.199130518
B-Raf_pS445-R-V	0.289329025
Bcl2A1-R-V	-0.137634203
BRD4-R-V	0.073482883
c-Abl-R-V	0.029890748
Caspase-3-R-C	-0.0720876340000001
CD26-R-V	-0.079696782
Chk1_pS296-R-V	-0.082519327
COG3-R-V	-0.041733325
DUSP4-R-V	-0.328250523
ERCC5-R-C	-0.075863026
IGF1R_pY1135_Y1136-R-V	0.0238205080000001
IRF-1-R-C	-0.139700315
Jak2-R-V	0.132785732
p16_INK4a-R-V	0.118344301
SHP-2_pY542-R-C	0.477073011
CDK1_pY15-R-C	0.352108271
