Sample REF	6DEA112A-68FE-4D44-A1D3-94F52FA9D333
Cyclin_B1-R-V	-0.318270317
Cyclin_D1-R-V	-0.0881655299999998
Cyclin_E1-M-V	0.0282297639999998
Cyclin_E2-R-C	0.0179384360000001
DJ-1-R-E	-0.0409408699999999
Dvl3-R-V	0.373963077
E-Cadherin-R-V	-0.149511883
eEF2-R-C	0.158250397
eEF2K-R-V	0.342500871
EGFR-R-V	0.0323675870000002
EGFR_pY1068-R-C	-0.202194342
EGFR_pY1173-R-V	0.0360626250000001
eIF4E-R-V	0.127422699
eIF4G-R-C	0.543816732
ER-alpha-R-V	-0.811280684
ER-alpha_pS118-R-V	-0.15654517
ERCC1-M-V	-0.274368955
ERK2-R-E	0.26655219
ETS-1-R-V	-0.0254130359999998
FASN-R-V	-0.250915546
Fibronectin-R-V	1.384319298
FoxM1-R-V	-0.0652659509999998
FOXO3a-R-C	0.136424011
FOXO3a_pS318_S321-R-C	-0.11546864
G6PD-M-V	0.0892382270000001
GAB2-R-V	-0.164933909
GAPDH-M-C	0.573587219
GATA3-M-V	-0.114168084
GSK3-alpha-beta-M-V	0.492420287
GSK3-alpha-beta_pS21_S9-R-V	-0.945328012
GSK3_pS9-R-V	-1.092073892
HER2-M-V	-0.185885777
HER2_pY1248-R-C	-0.192299929
HER3-R-V	-0.164725304
HER3_pY1289-R-C	0.0171418880000001
Heregulin-R-V	-0.0359686659999998
HSP70-R-C	0.0897836900000001
IGFBP2-R-V	1.249717754
INPP4B-R-V	-0.239790783
IRS1-R-V	0.090073297
JNK_pT183_pY185-R-V	-0.231349417
JNK2-R-C	-0.112659828
Ku80-R-C	0.335683787
Lck-R-V	0.0706422990000001
LKB1-M-E	0.0104796950000001
MAPK_pT202_Y204-R-V	-0.823390475
MEK1-R-V	0.427329809
MEK1_pS217_S221-R-V	-0.0684925939999999
MIG-6-M-V	0.0137586720000001
Mre11-R-C	0.0496202540000001
MSH2-M-V	0
MSH6-R-C	0.0153747730000001
mTOR-R-V	0.131787417
mTOR_pS2448-R-C	-0.422155023
MYH11-R-V	2.130169454
Myosin-IIa_pS1943-R-V	0.50998079
N-Cadherin-R-V	-0.000827068999999889
N-Ras-M-V	-0.0270298529999999
NDRG1_pT346-R-V	-2.224106361
NF-kB-p65_pS536-R-C	-0.832057489
NF2-R-C	0.0274665050000001
Notch1-R-V	-0.233228799
P-Cadherin-R-C	-0.0246336110000001
p21-R-V	-1.26149464
p27-R-V	0.180576079
p27_pT157-R-C	0.0443691680000001
p27_pT198-R-V	-0.000987212999999904
p38_MAPK-R-V	-0.256694152
p38_pT180_Y182-R-V	-1.997149966
p53-R-E	-0.0756453109999997
p62-LCK-ligand-M-C	0.0803844790000001
p70S6K-R-V	0.383628639
p70S6K_pT389-R-V	-0.107394564
p90RSK-R-C	0.138298181
p90RSK_pT359_S363-R-C	-0.294881444
PAI-1-M-E	1.864322025
PARP_cleaved-M-E	-0.145831547
Paxillin-R-C	0.70112902
PCNA-M-C	0.0979222610000001
PDCD4-R-C	-1.09927055
PDK1-R-V	0.0932675230000001
PDK1_pS241-R-V	0.0465266760000001
PEA15-R-V	0.645572779
PEA15_pS116-R-V	0.00889654400000012
PI3K-p110-alpha-R-C	0.303974023
PI3K-p85-R-V	0.306739015
PKC-alpha-M-V	0.217231223
PKC-alpha_pS657-R-C	0.132649251
PKC-delta_pS664-R-V	-0.0498992199999999
PKC-pan_BetaII_pS660-R-V	-0.592979811
PR-R-V	0.180690837
PRAS40_pT246-R-V	-0.370956501
PRDX1-R-V	-0.241061137
PREX1-R-E	-0.0837265229999999
PTEN-R-V	-0.38755666
Rab11-R-E	-0.128317817
Rab25-R-V	-0.216723277
Rad50-M-V	-0.0209209489999997
Rad51-R-V	-0.248132845
Raptor-R-V	0.230431666
Rb-M-E	-0.022706034
Rb_pS807_S811-R-V	-1.249960758
RBM15-R-V	-0.359618443
Rictor-R-C	0.669971208
Rictor_pT1135-R-V	0.163226009
S6-R-E	0.0462177280000002
S6_pS235_S236-R-V	-0.861616631
S6_pS240_S244-R-V	-0.357378718
SCD-M-V	0.00101666500000019
SETD2-R-E	-0.00535945699999973
SF2-M-V	0.0543967110000003
Shc_pY317-R-E	-0.254874605
Smac-M-E	0.232027757
Smad1-R-V	0.172606741
Smad3-R-V	0.0243212330000001
Smad4-M-V	0.00115376900000008
Snail-M-E	-0.224373003999999
Src-M-V	-0.0325426929999999
Src_pY416-R-C	-0.783890479
Src_pY527-R-V	-2.562807054
STAT3_pY705-R-V	-0.673829198
STAT5-alpha-R-V	-0.716975945
Stathmin-R-V	0.0414177140000001
Syk-M-V	0.0899443610000001
TAZ-R-V	0.0949944720000001
TIGAR-R-V	0.284629692
Transglutaminase-M-V	0.149809251
TFRC-R-V	0.315232388
TSC1-R-C	-0.0470533059999999
TTF1-R-V	0.111749228
Tuberin-R-E	-0.0336751489999999
Tuberin_pT1462-R-V	-0.0957235099999998
VEGFR2-R-V	0.220932894
EPPK1-M-E	-2.082270054
XBP1-G-C	0.119098878
XRCC1-R-E	-0.386647102
YAP-R-E	0.210491125
YAP_pS127-R-E	0.0650768850000001
YB-1-R-V	0.486589518
YB-1_pS102-R-V	-0.250290896
JAB1-M-C	0.0532281480000001
PARP1-R-V	-0.319812196
A-Raf-R-V	-0.0345534749999999
ARID1A-R-C	0.245270283
B-Raf_pS445-R-V	-0.320201271
Bcl2A1-R-V	0.0398354650000001
BRD4-R-V	0.183351088
c-Abl-R-V	0.0783745220000001
Caspase-3-R-C	-0.093295862
CD26-R-V	0.037979572
Chk1_pS296-R-V	0.0104284680000001
COG3-R-V	-0.00749256999999992
DUSP4-R-V	-0.052477128
ERCC5-R-C	-0.148290473
IGF1R_pY1135_Y1136-R-V	0.0755243110000001
IRF-1-R-C	-0.370319817
Jak2-R-V	-0.20619708
p16_INK4a-R-V	0.250823517
SHP-2_pY542-R-C	-0.306766474
CDK1_pY15-R-C	-0.563925965
