Sample REF	BF0B2734-8B91-46D0-BC54-D21D1EB1C035
PDCD4-R-C	-0.263918109
PDK1-R-V	-0.018834501
PDK1_pS241-R-V	-0.089201768
PEA15-R-V	0.098654052
PEA15_pS116-R-V	0.832949004
PI3K-p110-alpha-R-C	-0.02738418
PI3K-p85-R-V	-0.277591165
PKC-alpha-M-V	0.370798419
PKC-alpha_pS657-R-C	-0.061566423
PKC-delta_pS664-R-V	-0.244236025
PKC-pan_BetaII_pS660-R-V	-0.167432892
PR-R-V	-0.122819264
PRAS40_pT246-R-V	0.0410609750000001
PRDX1-R-V	0.00147703199999999
PREX1-R-E	-0.289864591
PTEN-R-V	0.206847451
Rab11-R-E	0.342396466
Rab25-R-V	0.847819363
Rad50-M-V	0.157663734
Rad51-R-V	-0.415874971
Raptor-R-V	0.226777689
Rb-M-E	-0.089690221
Rb_pS807_S811-R-V	0.187567892
RBM15-R-V	0.388887426
Rictor-R-C	-0.735953622
Rictor_pT1135-R-V	-0.152618024
S6-R-E	-0.008999179
S6_pS235_S236-R-V	-0.259900599
S6_pS240_S244-R-V	0.0233276240000001
SCD-M-V	0.447855623
SETD2-R-E	-0.237762752
SF2-M-V	-0.137944016
Shc_pY317-R-E	-0.221941745
Smac-M-E	0.398134088
Smad1-R-V	0.369620719
Smad3-R-V	0.112580271
Smad4-M-V	-0.0729613410000002
Snail-M-E	-0.255025934
Src-M-V	-0.074536373
Src_pY416-R-C	0.183848398
Src_pY527-R-V	-0.581621657
STAT3_pY705-R-V	-0.041999091
STAT5-alpha-R-V	0.870073854
Stathmin-R-V	-0.23503773
Syk-M-V	0.963484459
TAZ-R-V	0.086975034
TIGAR-R-V	-0.0391053260000001
Transglutaminase-M-V	-0.304529542
TFRC-R-V	0.275930614
TSC1-R-C	0.223229375
TTF1-R-V	0.515987963
Tuberin-R-E	0.379569948
Tuberin_pT1462-R-V	-0.0664761070000001
VEGFR2-R-V	0.955088553
EPPK1-M-E	1.741208915
XBP1-G-C	0.0033003989999999
XRCC1-R-E	-0.071040415
YAP-R-E	0.147987117
YAP_pS127-R-E	-0.188220805
YB-1-R-V	0.52451372
YB-1_pS102-R-V	0.263646509
JAB1-M-C	-0.243043932
PARP1-R-V	0.255242363
A-Raf-R-V	0.35209892
ARID1A-R-C	0.300359496
B-Raf_pS445-R-V	-0.513914545
Bcl2A1-R-V	-0.027194915
BRD4-R-V	0.469479082
c-Abl-R-V	0.225644
Caspase-3-R-C	0.080574678
CD26-R-V	0.110075277
Chk1_pS296-R-V	0.067679777
COG3-R-V	0.00356758899999998
DUSP4-R-V	-0.34901676
ERCC5-R-C	0.01657298
IGF1R_pY1135_Y1136-R-V	-0.142994472
IRF-1-R-C	0.182601938
Jak2-R-V	0.253173097
p16_INK4a-R-V	0.577208004
SHP-2_pY542-R-C	-0.377542649
CDK1_pY15-R-C	-0.264714253
