Sample REF	9169E928-8406-4FF7-824A-AA5FA7B3BF5A
Src_pY527-R-V	-1.707023984
STAT3_pY705-R-V	-0.127981313
STAT5-alpha-R-V	1.091893603
Stathmin-R-V	-0.13940066
Syk-M-V	-0.284588791
TAZ-R-V	0.212521188
TIGAR-R-V	0.376237907
Transglutaminase-M-V	0.0289220310000002
TFRC-R-V	1.422898623
TSC1-R-C	0.362578326
TTF1-R-V	0.255474986
Tuberin-R-E	0.152797701
Tuberin_pT1462-R-V	-0.332267113
VEGFR2-R-V	1.452956693
EPPK1-M-E	1.43957802
XBP1-G-C	0.0581496970000002
XRCC1-R-E	-0.142205949
YAP-R-E	0.290237281
YAP_pS127-R-E	-0.227907771
YB-1-R-V	0.321330388
YB-1_pS102-R-V	-0.20534639
JAB1-M-C	-0.0564633589999999
PARP1-R-V	0.0561688800000002
A-Raf-R-V	0.313617097
ARID1A-R-C	-0.313769473
B-Raf_pS445-R-V	-0.321533742
Bcl2A1-R-V	0.265325293
BRD4-R-V	0.27287671
c-Abl-R-V	-0.0763078869999998
Caspase-3-R-C	0.00733220800000023
CD26-R-V	0.655208989
Chk1_pS296-R-V	-0.0217896989999998
COG3-R-V	0.225278191
DUSP4-R-V	0.775808279
ERCC5-R-C	-0.34531877
IGF1R_pY1135_Y1136-R-V	-0.0690524809999997
IRF-1-R-C	0.0982376960000002
Jak2-R-V	0.238949862
p16_INK4a-R-V	0.60746483
SHP-2_pY542-R-C	-0.428432164
CDK1_pY15-R-C	-0.327260146
