Sample REF	AC94BFF4-8049-498D-987E-297D102E8F1D
GATA3-M-V	-0.210488633
GSK3-alpha-beta-M-V	-0.097651458
GSK3-alpha-beta_pS21_S9-R-V	-0.917200698
GSK3_pS9-R-V	-1.459592391
HER2-M-V	-1.100285683
HER2_pY1248-R-C	0.138967527
HER3-R-V	-0.370673733
HER3_pY1289-R-C	0.405099016
Heregulin-R-V	0.954186644
HSP70-R-C	1.33726804
IGFBP2-R-V	0.132644963
INPP4B-R-V	0.0946093450000003
IRS1-R-V	0.257029873
JNK_pT183_pY185-R-V	0.140074395
JNK2-R-C	-0.546268572
Ku80-R-C	-0.893921229
Lck-R-V	0.243154543
LKB1-M-E	0.389500834
MAPK_pT202_Y204-R-V	0.323402148
MEK1-R-V	-0.366094369
MEK1_pS217_S221-R-V	0.428904773
MIG-6-M-V	0.399705083
Mre11-R-C	0.536981364
MSH2-M-V	-0.440520458
MSH6-R-C	-1.071066667
mTOR-R-V	-0.483965666
mTOR_pS2448-R-C	0.287272967
MYH11-R-V	0.0317978890000001
Myosin-IIa_pS1943-R-V	-0.36845431
N-Cadherin-R-V	0.250298855
N-Ras-M-V	0.380156649
NDRG1_pT346-R-V	1.565903325
NF-kB-p65_pS536-R-C	-0.0373268550000001
NF2-R-C	-0.204225733
Notch1-R-V	0.0599006119999999
P-Cadherin-R-C	-0.418622248
p21-R-V	1.070128562
p27-R-V	0.283393144
p27_pT157-R-C	0.0270581430000001
p27_pT198-R-V	0.144323121
p38_MAPK-R-V	0.476575855
p38_pT180_Y182-R-V	0.467740824
p53-R-E	-0.107786838
p62-LCK-ligand-M-C	-0.340413754
p70S6K-R-V	-0.510772891
p70S6K_pT389-R-V	-0.0245141409999998
p90RSK-R-C	-0.85323539
p90RSK_pT359_S363-R-C	0.133026569
PAI-1-M-E	0.915924791
PARP_cleaved-M-E	-0.920344735
Paxillin-R-C	-1.575690318
PCNA-M-C	-0.0771414229999999
PDCD4-R-C	0.249742356
PDK1-R-V	0.149793563
PDK1_pS241-R-V	-0.446110265
PEA15-R-V	0.432875705
PEA15_pS116-R-V	-0.329449663
PI3K-p110-alpha-R-C	-0.291126912
PI3K-p85-R-V	-0.390396609
PKC-alpha-M-V	-0.425073044
PKC-alpha_pS657-R-C	-0.905707021
PKC-delta_pS664-R-V	-0.244578805
PKC-pan_BetaII_pS660-R-V	-1.871017012
PR-R-V	0.188996709
PRAS40_pT246-R-V	0.0091033960000001
PRDX1-R-V	0.138007958
PREX1-R-E	0.269768107
PTEN-R-V	0.575463921
Rab11-R-E	0.467700773
Rab25-R-V	-0.177855333
Rad50-M-V	-0.737178207
Rad51-R-V	0.707664929
Raptor-R-V	-0.376228289
Rb-M-E	-0.0100586459999998
Rb_pS807_S811-R-V	-0.224124828
RBM15-R-V	-1.02206004
Rictor-R-C	-0.83928869
Rictor_pT1135-R-V	0.397327786
S6-R-E	-0.122052355
S6_pS235_S236-R-V	0.861008384
S6_pS240_S244-R-V	0.433444531
SCD-M-V	-0.296427074
SETD2-R-E	-0.0457665349999996
SF2-M-V	-0.720478092
Shc_pY317-R-E	-0.71926402
Smac-M-E	0.171266246
Smad1-R-V	-0.277446468
Smad3-R-V	0.362047696
Smad4-M-V	0.0603593349999998
Snail-M-E	-1.371181907
Src-M-V	-0.629075769
Src_pY416-R-C	0.359955247
Src_pY527-R-V	0.643933384
STAT3_pY705-R-V	-0.175890435
STAT5-alpha-R-V	-2.379958771
Stathmin-R-V	0.439757891
Syk-M-V	-0.0149171619999999
TAZ-R-V	0.513294671
TIGAR-R-V	-0.11206307
Transglutaminase-M-V	1.371685586
TFRC-R-V	-1.187006235
TSC1-R-C	-0.873770185
TTF1-R-V	-0.222554957
Tuberin-R-E	-1.071527538
Tuberin_pT1462-R-V	0.0287908729999999
VEGFR2-R-V	0.188172472
EPPK1-M-E	-2.156112235
XBP1-G-C	-0.374356216
XRCC1-R-E	-0.0417834799999999
YAP-R-E	0.621277638
YAP_pS127-R-E	0.882879089
YB-1-R-V	0.177580665
YB-1_pS102-R-V	0.567817642
JAB1-M-C	0.281901102
PARP1-R-V	-0.585564326
A-Raf-R-V	0.257089706
ARID1A-R-C	-1.305899573
B-Raf_pS445-R-V	0.274105866
Bcl2A1-R-V	0.568180725
BRD4-R-V	-1.160918035
c-Abl-R-V	0.216738498
Caspase-3-R-C	0.104569965
CD26-R-V	-0.015735482
Chk1_pS296-R-V	0.298544289
COG3-R-V	-0.722787579
DUSP4-R-V	1.639961069
ERCC5-R-C	0.409917354
IGF1R_pY1135_Y1136-R-V	0.423425923
IRF-1-R-C	0.0690409510000001
Jak2-R-V	-0.635856532
p16_INK4a-R-V	0.24071125
SHP-2_pY542-R-C	0.223873838
CDK1_pY15-R-C	-0.186406354
