Sample REF	D724F57C-3058-4E1F-9B5F-F899F7388CF2
Cyclin_D1-R-V	0.145033733
Cyclin_E1-M-V	-0.671321411
Cyclin_E2-R-C	-0.0704617679999999
DJ-1-R-E	-0.157422548
Dvl3-R-V	0.201929518
E-Cadherin-R-V	-0.959315238
eEF2-R-C	-0.077897766
eEF2K-R-V	0.579171564
EGFR-R-V	0.539977193
EGFR_pY1068-R-C	0.388234211
EGFR_pY1173-R-V	0.01735303
eIF4E-R-V	-0.267042901
eIF4G-R-C	0.329873519
ER-alpha-R-V	0.286408802
ER-alpha_pS118-R-V	-0.112058844
ERCC1-M-V	-0.139124188
ERK2-R-E	0.114549267
ETS-1-R-V	0
FASN-R-V	-0.134566576
Fibronectin-R-V	1.360258794
FoxM1-R-V	-0.124059389
FOXO3a-R-C	-0.123200577
FOXO3a_pS318_S321-R-C	0.153704287
G6PD-M-V	-0.553233458
GAB2-R-V	0.446379522
GAPDH-M-C	-0.211182947
GATA3-M-V	-0.234810566
GSK3-alpha-beta-M-V	0.027513565
GSK3-alpha-beta_pS21_S9-R-V	0.434988929
GSK3_pS9-R-V	1.178785931
HER2-M-V	0.152586031
HER2_pY1248-R-C	0.176557381
HER3-R-V	-0.0458975069999999
HER3_pY1289-R-C	0.081967449
Heregulin-R-V	-0.146306125
HSP70-R-C	0.0661934080000001
IGFBP2-R-V	1.328743454
INPP4B-R-V	0.498305142
IRS1-R-V	0.325782786
JNK_pT183_pY185-R-V	0.333658657
JNK2-R-C	-0.022952733
Ku80-R-C	-0.080118229
Lck-R-V	-0.30916473
LKB1-M-E	0.010276476
MAPK_pT202_Y204-R-V	1.552877825
MEK1-R-V	0.035702258
MEK1_pS217_S221-R-V	0.417402089
MIG-6-M-V	0.113965976
Mre11-R-C	0.0430257040000001
MSH2-M-V	-0.307658762
MSH6-R-C	-0.409119851
mTOR-R-V	-0.0307017499999999
mTOR_pS2448-R-C	0.0251432970000002
MYH11-R-V	-0.00501391799999998
Myosin-IIa_pS1943-R-V	-0.061207908
N-Cadherin-R-V	-0.091238614
N-Ras-M-V	-0.095787165
NDRG1_pT346-R-V	1.809265546
NF-kB-p65_pS536-R-C	0.368413217
NF2-R-C	-0.076024664
Notch1-R-V	0.252148153
P-Cadherin-R-C	-0.186804424
p21-R-V	0.684288121
p27-R-V	-0.191211237
p27_pT157-R-C	-0.005488414
p27_pT198-R-V	-0.055368932
p38_MAPK-R-V	-0.347181343
p38_pT180_Y182-R-V	0.220965888
p53-R-E	-0.149094172
p62-LCK-ligand-M-C	-0.419359808
p70S6K-R-V	-0.100800765
p70S6K_pT389-R-V	-0.0602009039999999
p90RSK-R-C	-0.088633758
p90RSK_pT359_S363-R-C	0.14795501
PAI-1-M-E	1.674692976
PARP_cleaved-M-E	-0.205392534
Paxillin-R-C	0.24551971
PCNA-M-C	-0.443505273
PDCD4-R-C	0.209623065
PDK1-R-V	-0.055546328
PDK1_pS241-R-V	-0.071721448
PEA15-R-V	0.130041658
PEA15_pS116-R-V	0.108823514
PI3K-p110-alpha-R-C	-0.033613059
PI3K-p85-R-V	0.150693905
PKC-alpha-M-V	0.0885447570000001
PKC-alpha_pS657-R-C	0.228096304
PKC-delta_pS664-R-V	-0.130302082
PKC-pan_BetaII_pS660-R-V	0.347508009
PR-R-V	-0.0498256169999999
PRAS40_pT246-R-V	0.427020018
PRDX1-R-V	-0.237513885
PREX1-R-E	-0.000320517000000131
PTEN-R-V	0.601128164
Rab11-R-E	-0.172025638
Rab25-R-V	-0.223777537
Rad50-M-V	-0.269863788
Rad51-R-V	0.000465121999999929
Raptor-R-V	0.122977663
Rb-M-E	0.0397181129999998
Rb_pS807_S811-R-V	0.265830697
RBM15-R-V	-0.249570081
Rictor-R-C	-0.192466719
Rictor_pT1135-R-V	0.238616339
S6-R-E	-0.37606635
S6_pS235_S236-R-V	-0.164131221
S6_pS240_S244-R-V	-0.257766519
SCD-M-V	0.014005142
SETD2-R-E	-0.165241938
SF2-M-V	0.135295407
Shc_pY317-R-E	0.272320574
Smac-M-E	-0.429849573
Smad1-R-V	-0.132706581
Smad3-R-V	-0.109224856
Smad4-M-V	-0.028794793
Snail-M-E	-0.140695095
Src-M-V	0.00163047700000002
Src_pY416-R-C	0.511369989
Src_pY527-R-V	0.879277393
STAT3_pY705-R-V	0.252454061
STAT5-alpha-R-V	0.318896452
Stathmin-R-V	0.020290348
Syk-M-V	-0.367119847
TAZ-R-V	0.20759023
TIGAR-R-V	-0.129503485
Transglutaminase-M-V	-0.416072707
TFRC-R-V	-0.234675087
TSC1-R-C	0.069354644
TTF1-R-V	-0.0594270549999999
Tuberin-R-E	0.073340585
Tuberin_pT1462-R-V	0.54733293
VEGFR2-R-V	0.162180314
EPPK1-M-E	0.533893091
XBP1-G-C	0.453811906
XRCC1-R-E	-0.521188894
YAP-R-E	-0.09265085
YAP_pS127-R-E	-0.02553517
YB-1-R-V	0.352527065
YB-1_pS102-R-V	0.00467188499999999
JAB1-M-C	-0.183709837
PARP1-R-V	-0.774748367
A-Raf-R-V	-0.15021422
ARID1A-R-C	0.173450331
B-Raf_pS445-R-V	-0.151144585
Bcl2A1-R-V	-0.11061488
BRD4-R-V	-0.238814801
c-Abl-R-V	0.00772423900000002
Caspase-3-R-C	-0.241939514
CD26-R-V	0.00793269399999996
Chk1_pS296-R-V	-0.064824799
COG3-R-V	0.00929382699999998
DUSP4-R-V	-0.449453647
ERCC5-R-C	0.243950284
IGF1R_pY1135_Y1136-R-V	0.104273297
IRF-1-R-C	0.040979745
Jak2-R-V	-0.183589047
p16_INK4a-R-V	-0.655677706
SHP-2_pY542-R-C	0.921385471
CDK1_pY15-R-C	0.296013769
