Sample REF	135CDBF1-DF8E-4F67-A2BF-821C1E48EF15
Chk1-M-C	-0.293730548
Chk1_pS345-R-C	0.0467829539999999
Chk2-M-E	-0.385525082
Chk2_pT68-R-C	-0.110597317
cIAP-R-V	0.0471727439999999
Claudin-7-R-V	0.228797049
Collagen_VI-R-V	-0.362137961
Cyclin_B1-R-V	-0.0854316170000001
Cyclin_D1-R-V	0.133163904
Cyclin_E1-M-V	-0.144694526
Cyclin_E2-R-C	-0.147333794
DJ-1-R-E	-0.0762689450000001
Dvl3-R-V	0.0197852769999999
E-Cadherin-R-V	0.144331692
eEF2-R-C	0.0708221539999999
eEF2K-R-V	0.0599310200000001
EGFR-R-V	0.568234677
EGFR_pY1068-R-C	0.196662639
EGFR_pY1173-R-V	-0.132916064
eIF4E-R-V	-0.032480623
eIF4G-R-C	-0.365290165
ER-alpha-R-V	-0.635133162
ER-alpha_pS118-R-V	-0.126384579
ERCC1-M-V	0.116684479
ERK2-R-E	-0.29889057
ETS-1-R-V	0.0614427299999999
FASN-R-V	0.258172421
Fibronectin-R-V	-0.191056694
FoxM1-R-V	-0.467436033
FOXO3a-R-C	-0.0295808740000001
FOXO3a_pS318_S321-R-C	-0.0678785230000001
G6PD-M-V	0.351712553
GAB2-R-V	0.600612143
GAPDH-M-C	0.512872748
GATA3-M-V	2.72832469
GSK3-alpha-beta-M-V	-0.143785996
GSK3-alpha-beta_pS21_S9-R-V	0.232555767
GSK3_pS9-R-V	0.210032782
HER2-M-V	0.454797048
HER2_pY1248-R-C	0.193973304
HER3-R-V	0.118887153
HER3_pY1289-R-C	0.295564847
Heregulin-R-V	-0.00346665499999999
HSP70-R-C	0.071678595
IGFBP2-R-V	-0.111225402
INPP4B-R-V	0.013112314
IRS1-R-V	0.0305765729999999
JNK_pT183_pY185-R-V	0.195012843
JNK2-R-C	0.469662023
Ku80-R-C	0.00765065399999998
Lck-R-V	0.134666004
LKB1-M-E	-0.141763084
MAPK_pT202_Y204-R-V	-0.223817115
MEK1-R-V	0.357361551
MEK1_pS217_S221-R-V	0.056240129
MIG-6-M-V	0.0607688869999999
Mre11-R-C	-0.130077227
MSH2-M-V	0.201186799
MSH6-R-C	0.185965663
mTOR-R-V	0.368591762
mTOR_pS2448-R-C	0.07684468
MYH11-R-V	-0.893770981
Myosin-IIa_pS1943-R-V	-0.187485131
N-Cadherin-R-V	-0.11157825
N-Ras-M-V	-0.060635187
NDRG1_pT346-R-V	-0.0814433310000001
NF-kB-p65_pS536-R-C	0.259812127
NF2-R-C	-0.650582556
Notch1-R-V	-0.520034921
P-Cadherin-R-C	-0.0159761030000001
p21-R-V	-0.203034885
p27-R-V	0.244845955
p27_pT157-R-C	-0.192816826
p27_pT198-R-V	0.145044099
p38_MAPK-R-V	-0.039739666
p38_pT180_Y182-R-V	0.119476795
p53-R-E	-0.119870664
p62-LCK-ligand-M-C	-0.323171514
p70S6K-R-V	0.0356205939999999
p70S6K_pT389-R-V	-0.011267667
p90RSK-R-C	-0.181087383
p90RSK_pT359_S363-R-C	-0.295460635
PAI-1-M-E	1.185323598
PARP_cleaved-M-E	-0.144757745
Paxillin-R-C	0.63684531
PCNA-M-C	-0.0134901000000001
PDCD4-R-C	0.283318085
PDK1-R-V	-0.0830264530000001
PDK1_pS241-R-V	0.00844289499999995
PEA15-R-V	-0.130309133
PEA15_pS116-R-V	0.233198186
PI3K-p110-alpha-R-C	-0.154753946
PI3K-p85-R-V	0.00545054999999994
PKC-alpha-M-V	-0.014200766
PKC-alpha_pS657-R-C	0.178780674
PKC-delta_pS664-R-V	0.0400474109999999
PKC-pan_BetaII_pS660-R-V	0.286605406
PR-R-V	-0.0694849980000001
PRAS40_pT246-R-V	0.148771682
PRDX1-R-V	-0.205764262
PREX1-R-E	0.141242532
PTEN-R-V	0.357899937
Rab11-R-E	0.238171606
Rab25-R-V	0.545137018
Rad50-M-V	0.0594036100000001
Rad51-R-V	-0.335115232
Raptor-R-V	0.23953145
Rb-M-E	-0.171942813
Rb_pS807_S811-R-V	0.176875815
RBM15-R-V	-0.0435103220000001
Rictor-R-C	-0.358281134
Rictor_pT1135-R-V	0.0996672249999999
S6-R-E	0.151902881
S6_pS235_S236-R-V	0.134468767
S6_pS240_S244-R-V	-0.0685287960000003
SCD-M-V	-0.115902831
SETD2-R-E	-0.228393063
SF2-M-V	0.085548948
Shc_pY317-R-E	0.0226321629999999
Smac-M-E	0.00582775599999991
Smad1-R-V	-0.0611674200000001
Smad3-R-V	-0.105393762
Smad4-M-V	0.06966893
Snail-M-E	-0.0294259269999997
Src-M-V	-0.282332212
Src_pY416-R-C	0.205457802
Src_pY527-R-V	0.0960167749999999
STAT3_pY705-R-V	0.099860824
STAT5-alpha-R-V	-0.146242324
Stathmin-R-V	-0.229266471
Syk-M-V	-0.39852006
TAZ-R-V	-0.0268052510000001
TIGAR-R-V	0.158798324
Transglutaminase-M-V	0.507703783
TFRC-R-V	-0.653944283
TSC1-R-C	0.264566376
TTF1-R-V	0.104244425
Tuberin-R-E	-0.127600128
Tuberin_pT1462-R-V	0.149387671
VEGFR2-R-V	0.635532837
EPPK1-M-E	0.817519405
XBP1-G-C	0.149145405
XRCC1-R-E	0.186146346
YAP-R-E	0.241521588
YAP_pS127-R-E	0.477610742
YB-1-R-V	0.163428946
YB-1_pS102-R-V	-0.109293209
JAB1-M-C	0.125998023
PARP1-R-V	0.431096424
A-Raf-R-V	0.0834394009999999
ARID1A-R-C	-0.263619729
B-Raf_pS445-R-V	0.013669641
Bcl2A1-R-V	0.0415283799999999
BRD4-R-V	0.366494984
c-Abl-R-V	-0.134776649
Caspase-3-R-C	-0.222959834
CD26-R-V	-0.0571956360000001
Chk1_pS296-R-V	-0.181570811
COG3-R-V	-0.0816890190000001
DUSP4-R-V	0.0984659659999996
ERCC5-R-C	-0.0553499860000001
IGF1R_pY1135_Y1136-R-V	-0.099351548
IRF-1-R-C	-0.250344988
Jak2-R-V	0.024125379
p16_INK4a-R-V	-0.0589125930000001
SHP-2_pY542-R-C	0.108555587
CDK1_pY15-R-C	-0.0116103410000001
