Sample REF	11B6B548-475A-4F7F-A3F1-DBFC8B2BDE6F
GSK3_pS9-R-V	0.24828897
HER2-M-V	0.249859635
HER2_pY1248-R-C	0.188535229
HER3-R-V	0.137323894
HER3_pY1289-R-C	-0.072741046
Heregulin-R-V	-0.077121808
HSP70-R-C	-0.145413268
IGFBP2-R-V	0.168758384
INPP4B-R-V	-0.106238273
IRS1-R-V	-0.0852198040000001
JNK_pT183_pY185-R-V	-0.126476619
JNK2-R-C	-0.191565057
Ku80-R-C	0.08303399
Lck-R-V	0.306596187
LKB1-M-E	-0.09421822
MAPK_pT202_Y204-R-V	0.472078678
MEK1-R-V	0.163542952
MEK1_pS217_S221-R-V	0.07107244
MIG-6-M-V	-0.0459825
Mre11-R-C	-0.0917678989999999
MSH2-M-V	0.0256579469999998
MSH6-R-C	-0.027188098
mTOR-R-V	0.100346244
mTOR_pS2448-R-C	-0.0836756859999999
MYH11-R-V	-0.263959773
Myosin-IIa_pS1943-R-V	-0.369461643
N-Cadherin-R-V	-0.193171353
N-Ras-M-V	-0.20048732
NDRG1_pT346-R-V	0.463241652
NF-kB-p65_pS536-R-C	-0.585680399
NF2-R-C	-0.11052237
Notch1-R-V	0.377864464
P-Cadherin-R-C	-0.0160526200000002
p21-R-V	0.494904928
p27-R-V	0.0470993579999999
p27_pT157-R-C	-0.176950445
p27_pT198-R-V	0.022006091
p38_MAPK-R-V	-0.005531112
p38_pT180_Y182-R-V	0.316963769
p53-R-E	0.02867383
p62-LCK-ligand-M-C	-0.172058331
p70S6K-R-V	-0.086698656
p70S6K_pT389-R-V	-0.035388201
p90RSK-R-C	0.089620875
p90RSK_pT359_S363-R-C	-0.071839059
PAI-1-M-E	-0.205281422
PARP_cleaved-M-E	0.164050136
Paxillin-R-C	-0.531654883
PCNA-M-C	-0.066402754
PDCD4-R-C	1.509885043
PDK1-R-V	0.026793465
PDK1_pS241-R-V	0.00215465599999998
PEA15-R-V	0.0185358
PEA15_pS116-R-V	-0.261640943
PI3K-p110-alpha-R-C	0.0381072419999999
PI3K-p85-R-V	-0.097881746
PKC-alpha-M-V	0.230545209
PKC-alpha_pS657-R-C	-0.114500546
PKC-delta_pS664-R-V	0.0484424379999999
PKC-pan_BetaII_pS660-R-V	0.395012044
PR-R-V	-0.0728358039999999
PRAS40_pT246-R-V	0.0635101530000001
PRDX1-R-V	-0.000495544000000014
PREX1-R-E	0.046029938
PTEN-R-V	0.250120596
Rab11-R-E	0.097350292
Rab25-R-V	0.675219498
Rad50-M-V	0.0735985940000001
Rad51-R-V	-0.0797961280000001
Raptor-R-V	-0.139545243
Rb-M-E	-0.079474233
Rb_pS807_S811-R-V	0.338927769
RBM15-R-V	0.394792091
Rictor-R-C	0.035551283
Rictor_pT1135-R-V	-0.122294116
S6-R-E	0.144472117
S6_pS235_S236-R-V	0.238850613
S6_pS240_S244-R-V	0.02057563
SCD-M-V	-0.05669434
SETD2-R-E	1.302092862
SF2-M-V	0.100119236
Shc_pY317-R-E	0.259427619
Smac-M-E	0.107770546
Smad1-R-V	0.062151178
Smad3-R-V	0.00555524899999999
Smad4-M-V	-0.103214149
Snail-M-E	0.051205943
Src-M-V	0.507931286
Src_pY416-R-C	-0.328339023
Src_pY527-R-V	-0.063606957
STAT3_pY705-R-V	-0.058539056
STAT5-alpha-R-V	0.636469675
Stathmin-R-V	-0.221397393
Syk-M-V	0.372795381
TAZ-R-V	-0.114098304
TIGAR-R-V	-0.136976867
Transglutaminase-M-V	-0.406150213
TFRC-R-V	0.400789589
TSC1-R-C	-0.191387595
TTF1-R-V	-0.0868803419999999
Tuberin-R-E	0.0838789679999999
Tuberin_pT1462-R-V	-0.386507181
VEGFR2-R-V	-0.0519747700000001
EPPK1-M-E	2.0025719
XBP1-G-C	-0.315903078
XRCC1-R-E	-0.182334389
YAP-R-E	0.016811035
YAP_pS127-R-E	-0.238184529
YB-1-R-V	0.103709299
YB-1_pS102-R-V	-0.117551845
JAB1-M-C	-0.168733658
PARP1-R-V	-0.121726976
A-Raf-R-V	-0.081109754
ARID1A-R-C	0.268265022
B-Raf_pS445-R-V	-0.487646219
Bcl2A1-R-V	-0.125406898
BRD4-R-V	0.140598444
c-Abl-R-V	-0.243155189
Caspase-3-R-C	0
CD26-R-V	-0.106091853
Chk1_pS296-R-V	-0.171169683
COG3-R-V	0.225469807
DUSP4-R-V	-0.295363086
ERCC5-R-C	0.457038542
IGF1R_pY1135_Y1136-R-V	-0.162941471
IRF-1-R-C	0.346785097
Jak2-R-V	0.064369597
p16_INK4a-R-V	0.082598936
SHP-2_pY542-R-C	0.282347714
CDK1_pY15-R-C	0.532587342
