Sample REF	4790E476-B3DE-4E7A-AFB1-03842F146150
LKB1-M-E	1.29133288
MAPK_pT202_Y204-R-V	0.896222721
MEK1-R-V	-0.0567474520000002
MEK1_pS217_S221-R-V	0.594802953
MIG-6-M-V	0.559869752
Mre11-R-C	0.795126815
MSH2-M-V	-0.323303700000001
MSH6-R-C	-0.99129716
mTOR-R-V	-1.635732655
mTOR_pS2448-R-C	-0.755793704
MYH11-R-V	-0.306890434
Myosin-IIa_pS1943-R-V	0.208462721
N-Cadherin-R-V	0.644634931
N-Ras-M-V	0.272432303
NDRG1_pT346-R-V	-0.640776099
NF-kB-p65_pS536-R-C	0.15596444
NF2-R-C	-0.0636320349999999
Notch1-R-V	-0.958021157
P-Cadherin-R-C	-0.00520258899999981
p21-R-V	1.350522002
p27-R-V	-0.126183473
p27_pT157-R-C	0.101734855
p27_pT198-R-V	0.0474824469999999
p38_MAPK-R-V	0.164858378
p38_pT180_Y182-R-V	0.240286274
p53-R-E	0.507782002000001
p62-LCK-ligand-M-C	-0.877597697
p70S6K-R-V	-1.701583588
p70S6K_pT389-R-V	0.634617487
p90RSK-R-C	-0.0177813500000001
p90RSK_pT359_S363-R-C	0.390964241
PAI-1-M-E	1.885382471
PARP_cleaved-M-E	-0.661051208
Paxillin-R-C	-0.792754129
PCNA-M-C	0.0936699109999999
PDCD4-R-C	-0.215865565
PDK1-R-V	0.0595217900000002
PDK1_pS241-R-V	-0.621808901
PEA15-R-V	-0.217408926
PEA15_pS116-R-V	-0.18756249
PI3K-p110-alpha-R-C	-0.140217768
PI3K-p85-R-V	0.180712729
PKC-alpha-M-V	-0.154599521
PKC-alpha_pS657-R-C	-0.988372716
PKC-delta_pS664-R-V	-0.140240411
PKC-pan_BetaII_pS660-R-V	-1.340076668
PR-R-V	0.450783777
PRAS40_pT246-R-V	0.329778143
PRDX1-R-V	0.989675956
PREX1-R-E	0.476615828
PTEN-R-V	-1.645861876
Rab11-R-E	0.269430629
Rab25-R-V	-0.204661317
Rad50-M-V	-0.0722485669999999
Rad51-R-V	1.498336628
Raptor-R-V	-0.428402624
Rb-M-E	0.552849898
Rb_pS807_S811-R-V	-0.0478141899999998
RBM15-R-V	-1.632195328
Rictor-R-C	-0.305356365
Rictor_pT1135-R-V	0.630778931
S6-R-E	-1.219811379
S6_pS235_S236-R-V	-0.320938241
S6_pS240_S244-R-V	-0.973063683
SCD-M-V	-0.0271116899999999
SETD2-R-E	0.935446108
SF2-M-V	-2.680610607
Shc_pY317-R-E	0.258530927
Smac-M-E	0.302013994
Smad1-R-V	-0.57225058
Smad3-R-V	0.186628698
Smad4-M-V	0.781058182
Snail-M-E	-1.909645551
Src-M-V	0.2991243
Src_pY416-R-C	1.086972289
Src_pY527-R-V	1.108263777
STAT3_pY705-R-V	-0.260450613
STAT5-alpha-R-V	-1.669179317
Stathmin-R-V	0.885883024
Syk-M-V	-0.486554237
TAZ-R-V	0.467731744
TIGAR-R-V	0.0271374910000002
Transglutaminase-M-V	-0.115914956
TFRC-R-V	0.15287196
TSC1-R-C	-0.550195085
TTF1-R-V	0.119000564
Tuberin-R-E	-1.517638795
Tuberin_pT1462-R-V	-0.0396133989999998
VEGFR2-R-V	-0.559632943
EPPK1-M-E	-1.773732663
XBP1-G-C	-0.03489264
XRCC1-R-E	-0.855400352
YAP-R-E	0.234012597
YAP_pS127-R-E	-0.738419775
YB-1-R-V	-0.544269296
YB-1_pS102-R-V	0.0939301350000001
JAB1-M-C	0.111149205
PARP1-R-V	-0.756110389
A-Raf-R-V	-0.194968089
ARID1A-R-C	-1.628875871
B-Raf_pS445-R-V	-1.132627153
Bcl2A1-R-V	0.970284321
BRD4-R-V	-1.263628668
c-Abl-R-V	0.374048243
Caspase-3-R-C	0.23733963
CD26-R-V	-0.0112286490000002
Chk1_pS296-R-V	0.6851782
COG3-R-V	-1.293545481
DUSP4-R-V	-0.214616487
ERCC5-R-C	0.693072007
IGF1R_pY1135_Y1136-R-V	0.583033032
IRF-1-R-C	0.119209187
Jak2-R-V	-0.850277218
p16_INK4a-R-V	0.636779996
SHP-2_pY542-R-C	0.41940741
CDK1_pY15-R-C	0.686121171
