Sample REF	BB6DD49D-01BA-4049-828A-8CA7BE399418
Chk2_pT68-R-C	0.209898002
cIAP-R-V	-0.107016385
Claudin-7-R-V	-1.343785277
Collagen_VI-R-V	0.355312801
Cyclin_B1-R-V	0.0259493639999999
Cyclin_D1-R-V	0.240436834
Cyclin_E1-M-V	0.0202419379999998
Cyclin_E2-R-C	-0.194742743
DJ-1-R-E	-0.092706433
Dvl3-R-V	-0.313797154
E-Cadherin-R-V	-0.226591019
eEF2-R-C	-0.0845268570000001
eEF2K-R-V	0.533141809
EGFR-R-V	0.143369994
EGFR_pY1068-R-C	0.581672743
EGFR_pY1173-R-V	0.00891915999999993
eIF4E-R-V	-0.0298231520000001
eIF4G-R-C	0.115768042
ER-alpha-R-V	-0.114111465
ER-alpha_pS118-R-V	-0.181847716
ERCC1-M-V	-0.101314607
ERK2-R-E	-0.0803707090000001
ETS-1-R-V	-0.0991004609999999
FASN-R-V	-1.359427501
Fibronectin-R-V	-1.009068429
FoxM1-R-V	-0.371553514
FOXO3a-R-C	-0.0112545400000004
FOXO3a_pS318_S321-R-C	-0.153670016
G6PD-M-V	0.0496203119999996
GAB2-R-V	0.225467586
GAPDH-M-C	-0.53840348
GATA3-M-V	-0.341349335
GSK3-alpha-beta-M-V	0.15081045
GSK3-alpha-beta_pS21_S9-R-V	0.449661162
GSK3_pS9-R-V	0.917775824
HER2-M-V	-0.212810268
HER2_pY1248-R-C	0.299121499
HER3-R-V	-0.0734060160000001
HER3_pY1289-R-C	0.0734295639999999
Heregulin-R-V	-0.342008359
HSP70-R-C	0.133881386
IGFBP2-R-V	-0.450170681
INPP4B-R-V	0.108040877
IRS1-R-V	0.000555834000000033
JNK_pT183_pY185-R-V	-0.0623187719999998
JNK2-R-C	0.00564817299999998
Ku80-R-C	-0.370911423
Lck-R-V	0.773706204
LKB1-M-E	0.118026552
MAPK_pT202_Y204-R-V	0.0381302499999998
MEK1-R-V	0.46536555
MEK1_pS217_S221-R-V	0.071617963
MIG-6-M-V	-0.0470647479999999
Mre11-R-C	0.087893942
MSH2-M-V	-0.25991324
MSH6-R-C	-0.290695147
mTOR-R-V	-0.22913017
mTOR_pS2448-R-C	0.139630511
MYH11-R-V	-2.746044587
Myosin-IIa_pS1943-R-V	-0.68138337
N-Cadherin-R-V	-0.0749483400000001
N-Ras-M-V	-0.071581926
NDRG1_pT346-R-V	2.403805459
NF-kB-p65_pS536-R-C	-0.270457746
NF2-R-C	-0.323019759
Notch1-R-V	0.880165509
P-Cadherin-R-C	0.261033221
p21-R-V	0.533141809
p27-R-V	-0.234129659
p27_pT157-R-C	0.203519622
p27_pT198-R-V	0.107917285
p38_MAPK-R-V	0.299250702
p38_pT180_Y182-R-V	-0.018895087
p53-R-E	0.0174057480000003
p62-LCK-ligand-M-C	0.62385698
p70S6K-R-V	0.00467879299999996
p70S6K_pT389-R-V	0.338101128
p90RSK-R-C	0.123455383
p90RSK_pT359_S363-R-C	-0.1818915
PAI-1-M-E	1.074727854
PARP_cleaved-M-E	-0.0284356120000002
Paxillin-R-C	-0.316704504
PCNA-M-C	0.0277556929999999
PDCD4-R-C	-0.00788122099999999
PDK1-R-V	0.102449152
PDK1_pS241-R-V	0.255716769
PEA15-R-V	-0.228097378
PEA15_pS116-R-V	-0.46041912
PI3K-p110-alpha-R-C	0.194552013
PI3K-p85-R-V	0.434268242
PKC-alpha-M-V	0.141891937
PKC-alpha_pS657-R-C	-0.156271628
PKC-delta_pS664-R-V	0.0878405599999998
PKC-pan_BetaII_pS660-R-V	0.421508813
PR-R-V	-0.064489749
PRAS40_pT246-R-V	0.257311433
PRDX1-R-V	0.222724284
PREX1-R-E	0.488283935
PTEN-R-V	-1.223396979
Rab11-R-E	0.0306733210000001
Rab25-R-V	-0.0299858500000001
Rad50-M-V	-0.503886754
Rad51-R-V	0.346146425
Raptor-R-V	-0.092229777
Rb-M-E	-0.0766075090000002
Rb_pS807_S811-R-V	0.101381584
RBM15-R-V	-0.530291291
Rictor-R-C	-0.564152733
Rictor_pT1135-R-V	0.0713330619999999
S6-R-E	-0.0152660400000001
S6_pS235_S236-R-V	0.75788792
S6_pS240_S244-R-V	0.713174019
SCD-M-V	-0.089653322
SETD2-R-E	0.290336624
SF2-M-V	-0.620217364
Shc_pY317-R-E	0.369006708
Smac-M-E	-0.287659328
Smad1-R-V	0.131186727
Smad3-R-V	0
Smad4-M-V	-0.104929067
Snail-M-E	0.114583648
Src-M-V	-0.00160987200000007
Src_pY416-R-C	0.825809121
Src_pY527-R-V	0.571582451
STAT3_pY705-R-V	0.016090112
STAT5-alpha-R-V	1.146901558
Stathmin-R-V	-0.0643827260000001
Syk-M-V	0.480904296
TAZ-R-V	-0.492608082
TIGAR-R-V	0.0780993959999999
Transglutaminase-M-V	0.0494628959999999
TFRC-R-V	-0.371038496
TSC1-R-C	0.229081321
TTF1-R-V	-0.089291456
Tuberin-R-E	0.378592639
Tuberin_pT1462-R-V	0.142493757
VEGFR2-R-V	-0.103019042
EPPK1-M-E	0.200587474
XBP1-G-C	-0.60522582
XRCC1-R-E	-0.265988573
YAP-R-E	-0.437204128
YAP_pS127-R-E	-1.204694198
YB-1-R-V	-0.353782483
YB-1_pS102-R-V	-0.00422553200000009
JAB1-M-C	-0.075807057
PARP1-R-V	-0.76643602
A-Raf-R-V	0.096023336
ARID1A-R-C	-0.022291207
B-Raf_pS445-R-V	-0.018802754
Bcl2A1-R-V	0.239323877
BRD4-R-V	-0.248589322
c-Abl-R-V	-0.089991827
Caspase-3-R-C	0.428454704
CD26-R-V	-0.058160907
Chk1_pS296-R-V	-0.0127822510000001
COG3-R-V	0.231920047
DUSP4-R-V	-0.0807587360000004
ERCC5-R-C	0.0806445969999999
IGF1R_pY1135_Y1136-R-V	0.0738671730000001
IRF-1-R-C	0.501761702
Jak2-R-V	0.465701617
p16_INK4a-R-V	0.131480934
SHP-2_pY542-R-C	0.401168342
CDK1_pY15-R-C	0.271057336
