Sample REF	7E06C3E0-3B9D-4AEF-B73B-2793790747FA
GATA3-M-V	-0.02609568
GSK3-alpha-beta-M-V	0.480205298
GSK3-alpha-beta_pS21_S9-R-V	-0.742307488
GSK3_pS9-R-V	-1.344988534
HER2-M-V	-0.826726539
HER2_pY1248-R-C	0.035374097
HER3-R-V	0.145414133
HER3_pY1289-R-C	0.118635691
Heregulin-R-V	0.060827291
HSP70-R-C	0.830338635
IGFBP2-R-V	1.212405508
INPP4B-R-V	0.0554264790000004
IRS1-R-V	-0.142176067
JNK_pT183_pY185-R-V	0.168008904
JNK2-R-C	-0.27075034
Ku80-R-C	-0.218377143
Lck-R-V	-0.00696031500000005
LKB1-M-E	0.219348743
MAPK_pT202_Y204-R-V	0.00518183500000002
MEK1-R-V	0.102948479
MEK1_pS217_S221-R-V	0.364944575
MIG-6-M-V	0.059609594
Mre11-R-C	0.273590964
MSH2-M-V	-0.168295858
MSH6-R-C	0.026783825
mTOR-R-V	-0.69049733
mTOR_pS2448-R-C	-0.494893131
MYH11-R-V	-1.481580141
Myosin-IIa_pS1943-R-V	-0.442361457
N-Cadherin-R-V	0.155301395
N-Ras-M-V	0.320894592
NDRG1_pT346-R-V	-0.303800175
NF-kB-p65_pS536-R-C	0.116816859
NF2-R-C	-0.631543995
Notch1-R-V	-0.347338811
P-Cadherin-R-C	-0.178974138
p21-R-V	0.782920698
p27-R-V	0.530465688
p27_pT157-R-C	0.176155734
p27_pT198-R-V	0.196448018
p38_MAPK-R-V	0.070052286
p38_pT180_Y182-R-V	0.0109033130000001
p53-R-E	-0.0670848039999997
p62-LCK-ligand-M-C	0.0984643940000002
p70S6K-R-V	-0.116420956
p70S6K_pT389-R-V	-0.0375073410000001
p90RSK-R-C	-0.130403841
p90RSK_pT359_S363-R-C	0.057059504
PAI-1-M-E	-0.599904259
PARP_cleaved-M-E	0.147865662
Paxillin-R-C	-1.917799701
PCNA-M-C	1.007173951
PDCD4-R-C	-1.14663641
PDK1-R-V	0.224311438
PDK1_pS241-R-V	0.0235488690000001
PEA15-R-V	0.27713491
PEA15_pS116-R-V	-0.465562194
PI3K-p110-alpha-R-C	-0.256038468
PI3K-p85-R-V	-0.260859373
PKC-alpha-M-V	-0.483748612
PKC-alpha_pS657-R-C	-0.823753369
PKC-delta_pS664-R-V	-0.287669724
PKC-pan_BetaII_pS660-R-V	-2.074003805
PR-R-V	-0.108100684
PRAS40_pT246-R-V	0.025382939
PRDX1-R-V	0.245308142
PREX1-R-E	-0.652705021
PTEN-R-V	-1.432093646
Rab11-R-E	0.755472714
Rab25-R-V	1.435241331
Rad50-M-V	-0.912936948
Rad51-R-V	0.54341861
Raptor-R-V	-0.585304706
Rb-M-E	0.130035713
Rb_pS807_S811-R-V	0.128287751
RBM15-R-V	-0.226498107
Rictor-R-C	-1.430401937
Rictor_pT1135-R-V	-0.172082427
S6-R-E	-0.061003222
S6_pS235_S236-R-V	-0.346966048
S6_pS240_S244-R-V	-0.0853423899999995
SCD-M-V	-0.0235265699999999
SETD2-R-E	0.237760809
SF2-M-V	-0.00928344999999975
Shc_pY317-R-E	-0.6312924
Smac-M-E	0.629362337
Smad1-R-V	-0.124034838
Smad3-R-V	0.070931832
Smad4-M-V	0.140047945
Snail-M-E	-0.247656473
Src-M-V	0.193109981
Src_pY416-R-C	-0.297121658
Src_pY527-R-V	-0.553366369
STAT3_pY705-R-V	-1.226741694
STAT5-alpha-R-V	-2.213177597
Stathmin-R-V	0.504585364
Syk-M-V	-0.55056996
TAZ-R-V	0.503048198
TIGAR-R-V	0.713164656
Transglutaminase-M-V	0.105150898
TFRC-R-V	0.347852712
TSC1-R-C	-0.498269951
TTF1-R-V	-0.136328857
Tuberin-R-E	-1.346564705
Tuberin_pT1462-R-V	-0.599379567
VEGFR2-R-V	-0.353492237
EPPK1-M-E	-2.017770621
XBP1-G-C	-0.767861758
XRCC1-R-E	0.473033979
YAP-R-E	0.284822171
YAP_pS127-R-E	-0.823593264
YB-1-R-V	0.395998901
YB-1_pS102-R-V	-0.141082965
JAB1-M-C	0.243521764
PARP1-R-V	0.432108018
A-Raf-R-V	0.495200917
ARID1A-R-C	-0.535716275
B-Raf_pS445-R-V	0.470328315
Bcl2A1-R-V	0.387640763
BRD4-R-V	-0.127944561
c-Abl-R-V	0.0841178690000001
Caspase-3-R-C	0.594491082
CD26-R-V	0.0862751350000001
Chk1_pS296-R-V	0.275759267
COG3-R-V	-0.630898642
DUSP4-R-V	0.301647
ERCC5-R-C	0.361354538
IGF1R_pY1135_Y1136-R-V	0.312121038
IRF-1-R-C	-0.238387738
Jak2-R-V	-0.328226063
p16_INK4a-R-V	0.798209146
SHP-2_pY542-R-C	-0.39351407
CDK1_pY15-R-C	0.0325366509999999
