Sample REF	4FB37041-5A5A-492B-B730-CE4D9D0839F7
GSK3-alpha-beta_pS21_S9-R-V	0.42203872
GSK3_pS9-R-V	0.734611261
HER2-M-V	-0.648059502
HER2_pY1248-R-C	0.00192922500000003
HER3-R-V	-0.04423451
HER3_pY1289-R-C	-0.036652678
Heregulin-R-V	0.0502395910000001
HSP70-R-C	-0.087636553
IGFBP2-R-V	1.623255488
INPP4B-R-V	-0.044680663
IRS1-R-V	-0.058573648
JNK_pT183_pY185-R-V	-0.235180095
JNK2-R-C	-0.300677399
Ku80-R-C	-0.403882877
Lck-R-V	-0.080245404
LKB1-M-E	-0.0291801279999999
MAPK_pT202_Y204-R-V	1.03827986
MEK1-R-V	0.177135339
MEK1_pS217_S221-R-V	0.187797844
MIG-6-M-V	-0.052515464
Mre11-R-C	-0.0328497259999999
MSH2-M-V	0.113418006
MSH6-R-C	-0.338286997
mTOR-R-V	-0.561960651
mTOR_pS2448-R-C	-0.139290069
MYH11-R-V	0.315704726
Myosin-IIa_pS1943-R-V	0.524992452
N-Cadherin-R-V	-0.0421209789999999
N-Ras-M-V	0.02672631
NDRG1_pT346-R-V	2.697030969
NF-kB-p65_pS536-R-C	-0.40000151
NF2-R-C	0.190423082
Notch1-R-V	-0.206866987
P-Cadherin-R-C	0.207314876
p21-R-V	0.861873234
p27-R-V	-0.131064929
p27_pT157-R-C	-0.075309067
p27_pT198-R-V	-0.326664981
p38_MAPK-R-V	0.026675295
p38_pT180_Y182-R-V	0.320880548
p53-R-E	-0.0205018289999997
p62-LCK-ligand-M-C	-0.217864067
p70S6K-R-V	-0.056698793
p70S6K_pT389-R-V	-0.176742112
p90RSK-R-C	-0.26850255
p90RSK_pT359_S363-R-C	-0.252573007
PAI-1-M-E	1.450186864
PARP_cleaved-M-E	-0.46237522
Paxillin-R-C	-0.206950899
PCNA-M-C	-0.147859951
PDCD4-R-C	-0.131916751
PDK1-R-V	-0.085982191
PDK1_pS241-R-V	-0.068480858
PEA15-R-V	0.083705972
PEA15_pS116-R-V	-0.065756497
PI3K-p110-alpha-R-C	0.206010298
PI3K-p85-R-V	0.170650993
PKC-alpha-M-V	0.411658965
PKC-alpha_pS657-R-C	0.402850866
PKC-delta_pS664-R-V	-0.101516376
PKC-pan_BetaII_pS660-R-V	-0.346747549
PR-R-V	-0.132725024
PRAS40_pT246-R-V	-0.137409197
PRDX1-R-V	0.262614306
PREX1-R-E	0.0376428059999999
PTEN-R-V	-0.605689556
Rab11-R-E	0.0216793690000001
Rab25-R-V	0.524335726
Rad50-M-V	-0.369008462
Rad51-R-V	0.0691669380000001
Raptor-R-V	-0.298509422
Rb-M-E	-0.143480495
Rb_pS807_S811-R-V	-0.256606009
RBM15-R-V	-0.480735403
Rictor-R-C	-0.041116904
Rictor_pT1135-R-V	-0.02495088
S6-R-E	-0.400399178
S6_pS235_S236-R-V	0.159986297
S6_pS240_S244-R-V	0.188619396
SCD-M-V	-0.0851192200000001
SETD2-R-E	0.46302974
SF2-M-V	0.130141944
Shc_pY317-R-E	0.295807405
Smac-M-E	0.190423082
Smad1-R-V	0.04430343
Smad3-R-V	0.089992165
Smad4-M-V	0.238817604
Snail-M-E	-0.474374091999999
Src-M-V	0.04394363
Src_pY416-R-C	0.0798612860000002
Src_pY527-R-V	0.509745145
STAT3_pY705-R-V	0.270551281
STAT5-alpha-R-V	-1.460806027
Stathmin-R-V	-0.039750546
Syk-M-V	0.331613711
TAZ-R-V	0.098030148
TIGAR-R-V	-0.289768486
Transglutaminase-M-V	0.459373516
TFRC-R-V	0.771813253
TSC1-R-C	-0.214886408
TTF1-R-V	-0.142632013
Tuberin-R-E	-0.340763049
Tuberin_pT1462-R-V	0.0467741380000001
VEGFR2-R-V	0
EPPK1-M-E	0.11924237
XBP1-G-C	-0.607482024
XRCC1-R-E	0.103457097
YAP-R-E	0.198692653
YAP_pS127-R-E	0.724818526
YB-1-R-V	-0.138075832
YB-1_pS102-R-V	-0.03967572
JAB1-M-C	-0.00489557500000004
PARP1-R-V	0.144865392
A-Raf-R-V	0.188553383
ARID1A-R-C	-0.135990674
B-Raf_pS445-R-V	0.255721139
Bcl2A1-R-V	0.060405118
BRD4-R-V	-0.105017822
c-Abl-R-V	0.052092115
Caspase-3-R-C	-0.140840724
CD26-R-V	-0.107764443
Chk1_pS296-R-V	0.044810067
COG3-R-V	-0.544485248
DUSP4-R-V	0.190423082
ERCC5-R-C	0.476040274
IGF1R_pY1135_Y1136-R-V	-0.0203136079999999
IRF-1-R-C	-0.42043559
Jak2-R-V	-0.493118116
p16_INK4a-R-V	0.373408958
SHP-2_pY542-R-C	0.42554827
CDK1_pY15-R-C	-0.173785538
