Sample REF	A1308ED2-5DA8-4E39-A1D4-6290246973ED
Shc_pY317-R-E	-0.0469852189999999
Smac-M-E	0.54880566
Smad1-R-V	-0.199700928
Smad3-R-V	0.261055443
Smad4-M-V	-0.0180107110000002
Snail-M-E	0.571259353
Src-M-V	-0.088419408
Src_pY416-R-C	0.226066834
Src_pY527-R-V	-0.105861013
STAT3_pY705-R-V	-0.138063741
STAT5-alpha-R-V	-0.375651519
Stathmin-R-V	0
Syk-M-V	-0.135351076
TAZ-R-V	0.352746155
TIGAR-R-V	0.55384948
Transglutaminase-M-V	0.979739351
TFRC-R-V	0.596964814
TSC1-R-C	0.256906968
TTF1-R-V	0.18900341
Tuberin-R-E	-0.30175291
Tuberin_pT1462-R-V	-0.170060696
VEGFR2-R-V	0.930827935
EPPK1-M-E	0.505286033
XBP1-G-C	-0.0456991379999999
XRCC1-R-E	0.018511625
YAP-R-E	0.201812271
YAP_pS127-R-E	-0.424312885
YB-1-R-V	0.109398651
YB-1_pS102-R-V	-0.118170926
JAB1-M-C	0.103933124
PARP1-R-V	-0.481440993
A-Raf-R-V	0.194451507
ARID1A-R-C	-0.361383173
B-Raf_pS445-R-V	-0.149611349
Bcl2A1-R-V	0.22632893
BRD4-R-V	-0.657149117
c-Abl-R-V	0.0600271150000001
Caspase-3-R-C	-0.115257226
CD26-R-V	0.124518535
Chk1_pS296-R-V	0.022303924
COG3-R-V	-0.581091121
DUSP4-R-V	0.154965922
ERCC5-R-C	-0.569314077
IGF1R_pY1135_Y1136-R-V	0.128630443
IRF-1-R-C	-0.20652261
Jak2-R-V	-0.342650544
p16_INK4a-R-V	0.217593876
SHP-2_pY542-R-C	0.176232467
CDK1_pY15-R-C	-0.181692842
