Sample REF	AE69D647-895F-4476-873B-18BA147D1489
cIAP-R-V	-0.0192931689999999
Claudin-7-R-V	0.512826956
Collagen_VI-R-V	-0.229453202
Cyclin_B1-R-V	0.066838293
Cyclin_D1-R-V	-0.0588698859999999
Cyclin_E1-M-V	0.428491429
Cyclin_E2-R-C	-0.082120522
DJ-1-R-E	-0.433265443
Dvl3-R-V	0.186433378
E-Cadherin-R-V	0.179148613
eEF2-R-C	-0.150954077
eEF2K-R-V	-0.214034912
EGFR-R-V	-0.164973781
EGFR_pY1068-R-C	-0.0184466439999998
EGFR_pY1173-R-V	-0.124662627
eIF4E-R-V	-0.061184057
eIF4G-R-C	0.464528197
ER-alpha-R-V	0.836344258
ER-alpha_pS118-R-V	0.166735581
ERCC1-M-V	0.0157774740000002
ERK2-R-E	-0.246247527
ETS-1-R-V	-0.104320758
FASN-R-V	0.367896362
Fibronectin-R-V	-0.417768179
FoxM1-R-V	0.790791446
FOXO3a-R-C	0.12457604
FOXO3a_pS318_S321-R-C	0.0942407700000001
G6PD-M-V	-0.108561869
GAB2-R-V	0.330254305
GAPDH-M-C	0.55689473
GATA3-M-V	0.213828662
GSK3-alpha-beta-M-V	-0.018412524
GSK3-alpha-beta_pS21_S9-R-V	0.00743326600000002
GSK3_pS9-R-V	0.189722072
HER2-M-V	0.508741731
HER2_pY1248-R-C	0.248676859
HER3-R-V	0.0743070870000001
HER3_pY1289-R-C	-0.218770263
Heregulin-R-V	0.0788540649999999
HSP70-R-C	-0.301405161
IGFBP2-R-V	1.631946045
INPP4B-R-V	0.0719774800000003
IRS1-R-V	-0.149638196
JNK_pT183_pY185-R-V	0.12436635
JNK2-R-C	0.046414606
Ku80-R-C	0.292806268
Lck-R-V	0.121472316
LKB1-M-E	-0.246410577
MAPK_pT202_Y204-R-V	-0.13220082
MEK1-R-V	-0.104320758
MEK1_pS217_S221-R-V	-0.113340709
MIG-6-M-V	-0.072470253
Mre11-R-C	-0.120070154
MSH2-M-V	0.544368116
MSH6-R-C	0.546274206
mTOR-R-V	-0.500745276
mTOR_pS2448-R-C	-0.304954604
MYH11-R-V	0.0538753880000001
Myosin-IIa_pS1943-R-V	0.049348471
N-Cadherin-R-V	-0.112439867
N-Ras-M-V	-0.0315710789999999
NDRG1_pT346-R-V	0.244429979
NF-kB-p65_pS536-R-C	-0.228755858
NF2-R-C	-0.233059298
Notch1-R-V	0.581094075
P-Cadherin-R-C	0.24689857
p21-R-V	0.718658009
p27-R-V	0.363306337
p27_pT157-R-C	-0.0645991159999999
p27_pT198-R-V	0.0222105480000001
p38_MAPK-R-V	-0.0703678789999999
p38_pT180_Y182-R-V	0.454752856
p53-R-E	0.0204776980000002
p62-LCK-ligand-M-C	0.391473279
p70S6K-R-V	-0.122274762
p70S6K_pT389-R-V	-0.057902714
p90RSK-R-C	-0.11677336
p90RSK_pT359_S363-R-C	0.182280206
PAI-1-M-E	-0.576787544
PARP_cleaved-M-E	0.211671031
Paxillin-R-C	-0.171321863
PCNA-M-C	0.0875476550000001
PDCD4-R-C	0.72118407
PDK1-R-V	-0.164444918
PDK1_pS241-R-V	-0.166042548
PEA15-R-V	-0.39491302
PEA15_pS116-R-V	-0.296905941
PI3K-p110-alpha-R-C	0.311836117
PI3K-p85-R-V	-0.152096527
PKC-alpha-M-V	-0.454357283
PKC-alpha_pS657-R-C	-0.678771404
PKC-delta_pS664-R-V	-0.00289803600000005
PKC-pan_BetaII_pS660-R-V	0.250263781
PR-R-V	0.049383327
PRAS40_pT246-R-V	0.142815905
PRDX1-R-V	-0.119108768
PREX1-R-E	-0.226275356
PTEN-R-V	0.338626528
Rab11-R-E	-0.0411361609999999
Rab25-R-V	0.319623836
Rad50-M-V	-0.0739490449999999
Rad51-R-V	-0.202084894
Raptor-R-V	-0.143951815
Rb-M-E	-0.14088651
Rb_pS807_S811-R-V	0.396641787
RBM15-R-V	0.438956296
Rictor-R-C	-0.123856095
Rictor_pT1135-R-V	-0.163685795
S6-R-E	0.201376568
S6_pS235_S236-R-V	0.434531577
S6_pS240_S244-R-V	0.185473656
SCD-M-V	0.0232742400000001
SETD2-R-E	-0.192775735
SF2-M-V	0.244655163
Shc_pY317-R-E	0.100581531
Smac-M-E	-0.311222525
Smad1-R-V	-0.088269737
Smad3-R-V	-0.245219182
Smad4-M-V	0.079816945
Snail-M-E	0.075385774
Src-M-V	-0.524931356
Src_pY416-R-C	0.386063158
Src_pY527-R-V	-0.230384834
STAT3_pY705-R-V	0.746543205
STAT5-alpha-R-V	-0.127598594
Stathmin-R-V	-0.33172167
Syk-M-V	0.00505957600000007
TAZ-R-V	0.413386602
TIGAR-R-V	0.130463712
Transglutaminase-M-V	-0.291594248
TFRC-R-V	0.314883294
TSC1-R-C	0.045399121
TTF1-R-V	-0.0163758689999999
Tuberin-R-E	-0.191696727
Tuberin_pT1462-R-V	-0.118995554
VEGFR2-R-V	-0.199833497
EPPK1-M-E	0.151657557
XBP1-G-C	0.0875127559999999
XRCC1-R-E	0.0362227130000001
YAP-R-E	-0.345883287
YAP_pS127-R-E	-0.846884928
YB-1-R-V	-0.128976836
YB-1_pS102-R-V	0.38993952
JAB1-M-C	0.189138693
PARP1-R-V	0.942364707
A-Raf-R-V	-0.358692391
ARID1A-R-C	0.0744597870000001
B-Raf_pS445-R-V	0.102190065
Bcl2A1-R-V	-0.223654794
BRD4-R-V	0.895418019
c-Abl-R-V	-0.212344983
Caspase-3-R-C	-0.0712053309999999
CD26-R-V	-0.240525246
Chk1_pS296-R-V	-0.244050827
COG3-R-V	0.139500278
DUSP4-R-V	0.114090978
ERCC5-R-C	0.308930591
IGF1R_pY1135_Y1136-R-V	-0.227671746
IRF-1-R-C	-0.215145949
Jak2-R-V	-0.162707485
p16_INK4a-R-V	-0.039562482
SHP-2_pY542-R-C	-0.0918059959999998
CDK1_pY15-R-C	0.250072652
