Sample REF	485976D3-82C9-44C3-99E9-DC8A454E7225
ERCC1-M-V	-0.677654935
ERK2-R-E	-0.236588756
ETS-1-R-V	0.248210935
FASN-R-V	0.90861476
Fibronectin-R-V	-0.0870739960000002
FoxM1-R-V	-0.295006077
FOXO3a-R-C	0.217451704
FOXO3a_pS318_S321-R-C	0.257550591
G6PD-M-V	0.176908736
GAB2-R-V	-0.683765801
GAPDH-M-C	0.36223085
GATA3-M-V	0.350344483
GSK3-alpha-beta-M-V	0.0157483690000001
GSK3-alpha-beta_pS21_S9-R-V	0.0935413570000001
GSK3_pS9-R-V	-0.310875957
HER2-M-V	-1.50420382
HER2_pY1248-R-C	-0.440078704
HER3-R-V	-0.765993665
HER3_pY1289-R-C	0.38523476
Heregulin-R-V	-0.130645818
HSP70-R-C	0.307657316
IGFBP2-R-V	-0.463525432
INPP4B-R-V	-0.137104269
IRS1-R-V	-0.231635048
JNK_pT183_pY185-R-V	0.00568966100000012
JNK2-R-C	-0.629698363
Ku80-R-C	-0.818869513
Lck-R-V	-0.106751778
LKB1-M-E	0.047609847
MAPK_pT202_Y204-R-V	-0.253072333
MEK1-R-V	-2.811498512
MEK1_pS217_S221-R-V	0.302535812
MIG-6-M-V	0.286044959
Mre11-R-C	0.165297868
MSH2-M-V	0.0141262009999996
MSH6-R-C	-0.605070069
mTOR-R-V	-0.514708531
mTOR_pS2448-R-C	-0.00553390200000003
MYH11-R-V	-0.54268242
Myosin-IIa_pS1943-R-V	0.245864026
N-Cadherin-R-V	0.144900411
N-Ras-M-V	0.239582313
NDRG1_pT346-R-V	-0.310409955
NF-kB-p65_pS536-R-C	-0.222071234
NF2-R-C	0.235375953
Notch1-R-V	-0.247542622
P-Cadherin-R-C	0.489739081
p21-R-V	0.664735561
p27-R-V	-0.092449209
p27_pT157-R-C	0.0983764180000001
p27_pT198-R-V	0.033368619
p38_MAPK-R-V	0.560682796
p38_pT180_Y182-R-V	0.312706575
p53-R-E	0.126554317
p62-LCK-ligand-M-C	-0.388353482
p70S6K-R-V	-0.749248545
p70S6K_pT389-R-V	-0.240028615
p90RSK-R-C	-0.352878377
p90RSK_pT359_S363-R-C	-0.311403355
PAI-1-M-E	2.017776606
PARP_cleaved-M-E	0.0459799169999999
Paxillin-R-C	-1.714945606
PCNA-M-C	0.242923027
PDCD4-R-C	0.079334376
PDK1-R-V	-0.0427167429999999
PDK1_pS241-R-V	-0.097850475
PEA15-R-V	0.343248786
PEA15_pS116-R-V	-0.413498947
PI3K-p110-alpha-R-C	-0.189292716
PI3K-p85-R-V	-0.079225971
PKC-alpha-M-V	-0.646324519
PKC-alpha_pS657-R-C	-1.030562153
PKC-delta_pS664-R-V	-0.30719348
PKC-pan_BetaII_pS660-R-V	-0.799761787
PR-R-V	-0.03818075
PRAS40_pT246-R-V	-0.0616444509999999
PRDX1-R-V	0.628784425
PREX1-R-E	0.33340947
PTEN-R-V	-0.28913947
Rab11-R-E	0.295230177
Rab25-R-V	-0.659084884
Rad50-M-V	-0.030496568
Rad51-R-V	0.043067537
Raptor-R-V	-0.215185974
Rb-M-E	-0.04028052
Rb_pS807_S811-R-V	0.007919177
RBM15-R-V	-0.593719899
Rictor-R-C	-0.520124504
Rictor_pT1135-R-V	0.067624279
S6-R-E	0.117819065
S6_pS235_S236-R-V	0.9783553
S6_pS240_S244-R-V	0.322852868
SCD-M-V	0.177309907
SETD2-R-E	-0.00248338199999987
SF2-M-V	-0.121670148
Shc_pY317-R-E	-0.404918925
Smac-M-E	0.118743309
Smad1-R-V	-0.190848118
Smad3-R-V	0.13458988
Smad4-M-V	0.146019602
Snail-M-E	-0.131763573
Src-M-V	0.040100074
Src_pY416-R-C	-0.438236418
Src_pY527-R-V	-1.019006308
STAT3_pY705-R-V	0.727604647
STAT5-alpha-R-V	-1.530396815
Stathmin-R-V	0.260825048
Syk-M-V	-0.716579307
TAZ-R-V	0.133414529
TIGAR-R-V	-0.0766314730000001
Transglutaminase-M-V	1.445384701
TFRC-R-V	-0.147447042
TSC1-R-C	-0.272356854
TTF1-R-V	0.0224932180000001
Tuberin-R-E	-1.321126298
Tuberin_pT1462-R-V	-0.67893249
VEGFR2-R-V	0.84536305
EPPK1-M-E	-1.031541057
XBP1-G-C	-0.58393619
XRCC1-R-E	0.416511207
YAP-R-E	2.31794648
YAP_pS127-R-E	3.339614823
YB-1-R-V	-0.338888961
YB-1_pS102-R-V	0.220839302
JAB1-M-C	0.206026593
PARP1-R-V	0.432623289
A-Raf-R-V	0.179443624
ARID1A-R-C	-0.638387151
B-Raf_pS445-R-V	0.150611778
Bcl2A1-R-V	0.337554052
BRD4-R-V	-0.582262355
c-Abl-R-V	0.0714132940000001
Caspase-3-R-C	0.110978944
CD26-R-V	-0.100450175
Chk1_pS296-R-V	0.272340663
COG3-R-V	-0.962268776
DUSP4-R-V	0.406301045
ERCC5-R-C	0.124088672
IGF1R_pY1135_Y1136-R-V	0.297564294
IRF-1-R-C	-0.314820112
Jak2-R-V	-0.455364608
p16_INK4a-R-V	0.518628901
SHP-2_pY542-R-C	-0.119074374
CDK1_pY15-R-C	0.23000193
