Sample REF	9864C71F-FFC6-4BAD-99FA-EA39BEBD99DC
p70S6K-R-V	-0.083682367
p70S6K_pT389-R-V	-0.122227416
p90RSK-R-C	-0.295100777
p90RSK_pT359_S363-R-C	-0.34743766
PAI-1-M-E	0.251249344
PARP_cleaved-M-E	0.083957439
Paxillin-R-C	-0.170040027
PCNA-M-C	0.133486995
PDCD4-R-C	-0.35364598
PDK1-R-V	-0.045622154
PDK1_pS241-R-V	-0.018999151
PEA15-R-V	-0.082927711
PEA15_pS116-R-V	-0.194149396
PI3K-p110-alpha-R-C	0.0706923109999999
PI3K-p85-R-V	0.330999644
PKC-alpha-M-V	0.085058971
PKC-alpha_pS657-R-C	0.027890035
PKC-delta_pS664-R-V	0.00377999900000002
PKC-pan_BetaII_pS660-R-V	-0.390029019
PR-R-V	0.00913972000000006
PRAS40_pT246-R-V	-0.0918550429999999
PRDX1-R-V	0.115404663
PREX1-R-E	0.296561369
PTEN-R-V	0.115545804
Rab11-R-E	-0.173505513
Rab25-R-V	-0.113816335
Rad50-M-V	-0.0108636879999999
Rad51-R-V	0.155373496
Raptor-R-V	-0.083682367
Rb-M-E	-0.148758435
Rb_pS807_S811-R-V	-0.171870106
RBM15-R-V	-0.334652052
Rictor-R-C	-0.28453183
Rictor_pT1135-R-V	-0.165107769
S6-R-E	0.138754713
S6_pS235_S236-R-V	-0.714857968
S6_pS240_S244-R-V	-0.581143651
SCD-M-V	-0.083263105
SETD2-R-E	-0.178585513
SF2-M-V	0.00416669899999998
Shc_pY317-R-E	0.162912453
Smac-M-E	0.487005932
Smad1-R-V	0.157641434
Smad3-R-V	0.00575723300000001
Smad4-M-V	0.358573632
Snail-M-E	0.0123231830000001
Src-M-V	-0.00884144999999999
Src_pY416-R-C	0.387064402
Src_pY527-R-V	-0.297720746
STAT3_pY705-R-V	-0.03290993
STAT5-alpha-R-V	0.286656517
Stathmin-R-V	-0.011471219
Syk-M-V	0.383315477
TAZ-R-V	-0.110686849
TIGAR-R-V	-0.058296314
Transglutaminase-M-V	-0.067307782
TFRC-R-V	-0.810066687
TSC1-R-C	-0.083682367
TTF1-R-V	0.043375497
Tuberin-R-E	-0.174135042
Tuberin_pT1462-R-V	0.136638577
VEGFR2-R-V	0.067412053
EPPK1-M-E	-0.307623787
XBP1-G-C	0.0502728429999999
XRCC1-R-E	0.256409714
YAP-R-E	-0.308769189
YAP_pS127-R-E	-1.577740133
YB-1-R-V	-0.131201128
YB-1_pS102-R-V	-0.232265169
JAB1-M-C	0.355217554
PARP1-R-V	0.184784335
A-Raf-R-V	0.44485466
ARID1A-R-C	0.26936338
B-Raf_pS445-R-V	-0.054900818
Bcl2A1-R-V	-0.223756443
BRD4-R-V	0.513999437
c-Abl-R-V	-0.083682367
Caspase-3-R-C	0.146786266
CD26-R-V	-0.116158178
Chk1_pS296-R-V	-0.132965787
COG3-R-V	-0.389217357
DUSP4-R-V	0.0790156989999999
ERCC5-R-C	-0.249809904
IGF1R_pY1135_Y1136-R-V	-0.151765452
IRF-1-R-C	-0.093471462
Jak2-R-V	0.096240699
p16_INK4a-R-V	0.630261421
SHP-2_pY542-R-C	-0.19424381
CDK1_pY15-R-C	0.0603135889999999
