Sample REF	FC4D06F1-DFC3-4660-A049-EDED1CF39AE4
N-Cadherin-R-V	0.029292564
N-Ras-M-V	0.418954135
NDRG1_pT346-R-V	-0.749230621
NF-kB-p65_pS536-R-C	0.138944256
NF2-R-C	-0.682135688
Notch1-R-V	-0.46492395
P-Cadherin-R-C	0.262735687
p21-R-V	1.558839699
p27-R-V	0.142708593
p27_pT157-R-C	0.031715889
p27_pT198-R-V	-0.0116607000000001
p38_MAPK-R-V	0.759821093
p38_pT180_Y182-R-V	0.713794062
p53-R-E	-0.104612252
p62-LCK-ligand-M-C	-1.834751211
p70S6K-R-V	-2.603408402
p70S6K_pT389-R-V	-0.342116691
p90RSK-R-C	0.286727607
p90RSK_pT359_S363-R-C	-0.730259375
PAI-1-M-E	0.478953598
PARP_cleaved-M-E	-0.0205691270000001
Paxillin-R-C	-1.749907643
PCNA-M-C	0.365538099
PDCD4-R-C	-0.738852346
PDK1-R-V	0.384419141
PDK1_pS241-R-V	0.454489589
PEA15-R-V	-0.065427047
PEA15_pS116-R-V	-0.589540705
PI3K-p110-alpha-R-C	0.135873007
PI3K-p85-R-V	0.282025452
PKC-alpha-M-V	-0.314629202
PKC-alpha_pS657-R-C	-0.310057134
PKC-delta_pS664-R-V	-0.0250161740000001
PKC-pan_BetaII_pS660-R-V	-0.495104955
PR-R-V	0.221690786
PRAS40_pT246-R-V	-0.036811853
PRDX1-R-V	0.656352644
PREX1-R-E	0.855082093
PTEN-R-V	-1.594184268
Rab11-R-E	0.268970484
Rab25-R-V	-0.25502714
Rad50-M-V	0.0661093050000001
Rad51-R-V	0.0485240779999998
Raptor-R-V	-0.610620132
Rb-M-E	0.213047348
Rb_pS807_S811-R-V	-0.223827421
RBM15-R-V	-2.768158185
Rictor-R-C	-0.838553986
Rictor_pT1135-R-V	0.31517504
S6-R-E	-1.462786386
S6_pS235_S236-R-V	-1.056388994
S6_pS240_S244-R-V	-1.150247829
SCD-M-V	0.140430566
SETD2-R-E	0.02345697
SF2-M-V	0.355540405
Shc_pY317-R-E	-0.531295466
Smac-M-E	0.340485126
Smad1-R-V	-0.775335421
Smad3-R-V	0.071120556
Smad4-M-V	0.225222933
Snail-M-E	-1.299588785
Src-M-V	-0.894583364
Src_pY416-R-C	2.12661473
Src_pY527-R-V	0.108531128
STAT3_pY705-R-V	0.844145375
STAT5-alpha-R-V	-2.319946403
Stathmin-R-V	0.359955469
Syk-M-V	-0.5346334
TAZ-R-V	0.219695032
TIGAR-R-V	0.106305312
Transglutaminase-M-V	-0.151073961
TFRC-R-V	-0.868850027
TSC1-R-C	0.00719050200000004
TTF1-R-V	-0.031218784
Tuberin-R-E	-2.474792309
Tuberin_pT1462-R-V	-0.0314666989999999
VEGFR2-R-V	-0.68276109
EPPK1-M-E	-1.517464536
XBP1-G-C	-0.164554076
XRCC1-R-E	0.0106799960000001
YAP-R-E	-0.251693566
YAP_pS127-R-E	-1.230128216
YB-1-R-V	0.0750856630000001
YB-1_pS102-R-V	-0.241209866
JAB1-M-C	0.287726908
PARP1-R-V	0.705947809
A-Raf-R-V	-0.202478425
ARID1A-R-C	-1.897989765
B-Raf_pS445-R-V	0.101560041
Bcl2A1-R-V	0.319814268
BRD4-R-V	-1.290015501
c-Abl-R-V	0.210534462
Caspase-3-R-C	0.078574769
CD26-R-V	0.156301317
Chk1_pS296-R-V	0.304353975
COG3-R-V	-1.395724713
DUSP4-R-V	1.057175583
ERCC5-R-C	0.418929367
IGF1R_pY1135_Y1136-R-V	0.200809203
IRF-1-R-C	0.00434749300000004
Jak2-R-V	-0.834175382
p16_INK4a-R-V	0.237766165
SHP-2_pY542-R-C	0.498659538
CDK1_pY15-R-C	0.093031522
