Sample REF	5084B39A-9371-4D27-9812-371724EED76C
TTF1-R-V	-0.00160910299999983
Tuberin-R-E	0.194965013
Tuberin_pT1462-R-V	0.115754468
VEGFR2-R-V	-0.702594752
EPPK1-M-E	-0.766580461
XBP1-G-C	0.305736447
XRCC1-R-E	0.230142319
YAP-R-E	-0.209828156
YAP_pS127-R-E	-0.0166999739999998
YB-1-R-V	-0.0126814969999999
YB-1_pS102-R-V	-0.0878065049999999
JAB1-M-C	-0.008416902
PARP1-R-V	0.495264964
A-Raf-R-V	-0.0185426209999999
ARID1A-R-C	-0.101946091
B-Raf_pS445-R-V	0.0818988840000001
Bcl2A1-R-V	0.0215074730000002
BRD4-R-V	-0.101767468
c-Abl-R-V	0.12846237
Caspase-3-R-C	0.552316463
CD26-R-V	-0.0796848419999999
Chk1_pS296-R-V	0.0629835700000002
COG3-R-V	0.234816993
DUSP4-R-V	0.402445401
ERCC5-R-C	-0.694874062
IGF1R_pY1135_Y1136-R-V	0.0947613670000002
IRF-1-R-C	-0.207486398
Jak2-R-V	0.101022207
p16_INK4a-R-V	-0.829216289
SHP-2_pY542-R-C	-0.119428389
CDK1_pY15-R-C	-0.310437078
